value,date,id
1.0,2013-03-13 00:00:00,HF000004HZ
1.002,2013-04-03 00:00:00,HF000004HZ
1.0065,2013-04-12 00:00:00,HF000004HZ
1.0072,2013-04-19 00:00:00,HF000004HZ
1.0019,2013-04-26 00:00:00,HF000004HZ
1.0023,2013-05-03 00:00:00,HF000004HZ
1.0047,2013-05-10 00:00:00,HF000004HZ
1.0112,2013-05-17 00:00:00,HF000004HZ
1.0154,2013-05-24 00:00:00,HF000004HZ
1.0253,2013-05-31 00:00:00,HF000004HZ
1.0184,2013-06-07 00:00:00,HF000004HZ
1.0127,2013-06-14 00:00:00,HF000004HZ
1.0044,2013-06-21 00:00:00,HF000004HZ
1.0042,2013-06-28 00:00:00,HF000004HZ
1.0155,2013-07-05 00:00:00,HF000004HZ
1.0128,2013-07-12 00:00:00,HF000004HZ
1.0058,2013-07-19 00:00:00,HF000004HZ
1.0097,2013-07-26 00:00:00,HF000004HZ
1.0067,2013-07-31 00:00:00,HF000004HZ
1.0125,2013-08-02 00:00:00,HF000004HZ
1.0133,2013-08-09 00:00:00,HF000004HZ
1.0078,2013-08-16 00:00:00,HF000004HZ
1.0106,2013-08-23 00:00:00,HF000004HZ
1.0174,2013-08-30 00:00:00,HF000004HZ
1.024,2013-09-06 00:00:00,HF000004HZ
1.0225,2013-09-13 00:00:00,HF000004HZ
1.0238,2013-09-18 00:00:00,HF000004HZ
1.0251,2013-09-27 00:00:00,HF000004HZ
1.0253,2013-09-30 00:00:00,HF000004HZ
1.0321,2013-10-11 00:00:00,HF000004HZ
1.0371,2013-10-18 00:00:00,HF000004HZ
1.0345,2013-10-25 00:00:00,HF000004HZ
1.0261,2013-10-31 00:00:00,HF000004HZ
1.0258,2013-11-01 00:00:00,HF000004HZ
1.0248,2013-11-08 00:00:00,HF000004HZ
1.0202,2013-11-15 00:00:00,HF000004HZ
1.0278,2013-11-22 00:00:00,HF000004HZ
1.0279,2013-11-29 00:00:00,HF000004HZ
1.0263,2013-12-06 00:00:00,HF000004HZ
1.0374,2013-12-13 00:00:00,HF000004HZ
1.0343,2013-12-20 00:00:00,HF000004HZ
1.0291,2013-12-27 00:00:00,HF000004HZ
1.0286,2013-12-31 00:00:00,HF000004HZ
1.0282,2014-01-03 00:00:00,HF000004HZ
1.0292,2014-01-10 00:00:00,HF000004HZ
1.0263,2014-01-17 00:00:00,HF000004HZ
1.0276,2014-01-24 00:00:00,HF000004HZ
1.033,2014-01-30 00:00:00,HF000004HZ
1.0339,2014-02-07 00:00:00,HF000004HZ
1.0465,2014-02-14 00:00:00,HF000004HZ
1.0542,2014-02-21 00:00:00,HF000004HZ
1.0635,2014-02-28 00:00:00,HF000004HZ
1.0807,2014-03-07 00:00:00,HF000004HZ
1.0882,2014-03-14 00:00:00,HF000004HZ
1.0941,2014-03-21 00:00:00,HF000004HZ
1.0952,2014-03-28 00:00:00,HF000004HZ
1.0887,2014-03-31 00:00:00,HF000004HZ
1.0976,2014-04-04 00:00:00,HF000004HZ
1.0795,2014-04-11 00:00:00,HF000004HZ
1.0962,2014-04-18 00:00:00,HF000004HZ
1.0781,2014-04-25 00:00:00,HF000004HZ
1.07,2014-04-30 00:00:00,HF000004HZ
1.0716,2014-05-09 00:00:00,HF000004HZ
1.0729,2014-05-16 00:00:00,HF000004HZ
