value,date,id
1.0,2012-06-21 00:00:00,HF000004I5
0.95657,2012-06-29 00:00:00,HF000004I5
0.88187,2012-07-31 00:00:00,HF000004I5
0.893257,2012-08-31 00:00:00,HF000004I5
0.925,2012-09-28 00:00:00,HF000004I5
0.94719,2012-10-31 00:00:00,HF000004I5
0.93481,2012-11-30 00:00:00,HF000004I5
1.106558,2012-12-31 00:00:00,HF000004I5
1.150238,2013-01-31 00:00:00,HF000004I5
1.29464,2013-02-28 00:00:00,HF000004I5
1.27815,2013-03-08 00:00:00,HF000004I5
1.373,2013-03-15 00:00:00,HF000004I5
1.2973,2013-03-22 00:00:00,HF000004I5
1.2312,2013-03-29 00:00:00,HF000004I5
1.14168,2013-04-03 00:00:00,HF000004I5
1.0659,2013-04-12 00:00:00,HF000004I5
1.06789,2013-04-19 00:00:00,HF000004I5
1.1372,2013-04-26 00:00:00,HF000004I5
1.1607,2013-05-03 00:00:00,HF000004I5
1.08647,2013-05-10 00:00:00,HF000004I5
1.12045,2013-05-17 00:00:00,HF000004I5
1.08928,2013-05-24 00:00:00,HF000004I5
1.13778,2013-05-31 00:00:00,HF000004I5
1.16269,2013-06-07 00:00:00,HF000004I5
1.17339,2013-06-14 00:00:00,HF000004I5
1.15176,2013-06-21 00:00:00,HF000004I5
1.3498,2013-06-28 00:00:00,HF000004I5
1.2907,2013-07-05 00:00:00,HF000004I5
1.452,2013-07-12 00:00:00,HF000004I5
1.4372,2013-07-19 00:00:00,HF000004I5
1.3645,2013-07-26 00:00:00,HF000004I5
1.32,2013-08-02 00:00:00,HF000004I5
1.3136,2013-08-09 00:00:00,HF000004I5
1.33128,2013-08-16 00:00:00,HF000004I5
1.35587,2013-08-23 00:00:00,HF000004I5
1.25959,2013-08-30 00:00:00,HF000004I5
1.16907,2013-09-06 00:00:00,HF000004I5
1.25844,2013-09-13 00:00:00,HF000004I5
1.26224,2013-09-18 00:00:00,HF000004I5
1.2143,2013-09-30 00:00:00,HF000004I5
1.2383,2013-10-11 00:00:00,HF000004I5
1.2018,2013-10-18 00:00:00,HF000004I5
1.3205,2013-10-25 00:00:00,HF000004I5
1.2954,2013-10-31 00:00:00,HF000004I5
1.2884,2013-11-01 00:00:00,HF000004I5
1.299,2013-11-08 00:00:00,HF000004I5
1.2917,2013-11-15 00:00:00,HF000004I5
1.2962,2013-11-22 00:00:00,HF000004I5
1.2812,2013-11-29 00:00:00,HF000004I5
1.2702,2013-12-06 00:00:00,HF000004I5
1.2528,2013-12-13 00:00:00,HF000004I5
1.2918,2013-12-20 00:00:00,HF000004I5
1.2716,2013-12-27 00:00:00,HF000004I5
1.2654,2013-12-31 00:00:00,HF000004I5
1.2512,2014-01-03 00:00:00,HF000004I5
1.2725,2014-01-10 00:00:00,HF000004I5
1.2526,2014-01-17 00:00:00,HF000004I5
1.262,2014-01-24 00:00:00,HF000004I5
1.2074,2014-01-30 00:00:00,HF000004I5
1.2166,2014-02-07 00:00:00,HF000004I5
1.2684,2014-02-14 00:00:00,HF000004I5
1.3016,2014-02-21 00:00:00,HF000004I5
1.4016,2014-02-28 00:00:00,HF000004I5
1.3741,2014-03-07 00:00:00,HF000004I5
1.4035,2014-03-14 00:00:00,HF000004I5
1.3973,2014-03-31 00:00:00,HF000004I5
1.4764,2014-04-30 00:00:00,HF000004I5
1.4209,2014-05-30 00:00:00,HF000004I5
1.3709,2014-06-30 00:00:00,HF000004I5
1.5743,2014-07-31 00:00:00,HF000004I5
1.479,2014-08-29 00:00:00,HF000004I5
1.5746,2014-09-30 00:00:00,HF000004I5
1.6519,2014-10-31 00:00:00,HF000004I5
1.6354,2014-11-04 00:00:00,HF000004I5
1.8955,2014-11-28 00:00:00,HF000004I5
2.3128,2014-12-31 00:00:00,HF000004I5
2.1293,2015-01-30 00:00:00,HF000004I5
2.1979,2015-02-27 00:00:00,HF000004I5
