value,date,id
1.0,2013-04-03 00:00:00,HF000004N2
0.9921,2013-04-12 00:00:00,HF000004N2
1.0085,2013-04-19 00:00:00,HF000004N2
0.9863,2013-04-26 00:00:00,HF000004N2
1.002,2013-05-03 00:00:00,HF000004N2
1.0106,2013-05-06 00:00:00,HF000004N2
1.0122,2013-05-10 00:00:00,HF000004N2
1.0415,2013-05-17 00:00:00,HF000004N2
1.0518,2013-05-20 00:00:00,HF000004N2
1.0338,2013-05-24 00:00:00,HF000004N2
1.0231,2013-05-27 00:00:00,HF000004N2
1.0267,2013-05-31 00:00:00,HF000004N2
0.9921,2013-06-07 00:00:00,HF000004N2
0.9713,2013-06-14 00:00:00,HF000004N2
0.9328,2013-06-21 00:00:00,HF000004N2
0.9174,2013-06-28 00:00:00,HF000004N2
0.9009,2013-07-05 00:00:00,HF000004N2
0.935,2013-07-11 00:00:00,HF000004N2
0.9182,2013-07-12 00:00:00,HF000004N2
0.8952,2013-07-19 00:00:00,HF000004N2
0.8771,2013-07-26 00:00:00,HF000004N2
0.8758,2013-08-02 00:00:00,HF000004N2
0.8783,2013-08-09 00:00:00,HF000004N2
0.8824,2013-08-16 00:00:00,HF000004N2
0.8829,2013-08-23 00:00:00,HF000004N2
0.8935,2013-08-30 00:00:00,HF000004N2
0.8943,2013-09-03 00:00:00,HF000004N2
0.8955,2013-09-06 00:00:00,HF000004N2
0.9086,2013-09-09 00:00:00,HF000004N2
0.9135,2013-09-12 00:00:00,HF000004N2
0.91,2013-09-13 00:00:00,HF000004N2
0.9127,2013-09-18 00:00:00,HF000004N2
0.9023,2013-09-30 00:00:00,HF000004N2
0.9082,2013-10-11 00:00:00,HF000004N2
0.9128,2013-10-14 00:00:00,HF000004N2
0.9206,2013-10-18 00:00:00,HF000004N2
0.9166,2013-10-25 00:00:00,HF000004N2
0.9058,2013-11-01 00:00:00,HF000004N2
0.9118,2013-11-08 00:00:00,HF000004N2
0.9087,2013-11-15 00:00:00,HF000004N2
0.9155,2013-11-18 00:00:00,HF000004N2
0.9109,2013-11-22 00:00:00,HF000004N2
0.907,2013-11-29 00:00:00,HF000004N2
0.9123,2013-12-02 00:00:00,HF000004N2
0.916,2013-12-03 00:00:00,HF000004N2
0.9165,2013-12-04 00:00:00,HF000004N2
0.9111,2013-12-06 00:00:00,HF000004N2
0.9055,2013-12-13 00:00:00,HF000004N2
0.889,2013-12-20 00:00:00,HF000004N2
0.9022,2013-12-27 00:00:00,HF000004N2
0.9034,2014-01-03 00:00:00,HF000004N2
0.8987,2014-01-10 00:00:00,HF000004N2
0.8947,2014-01-17 00:00:00,HF000004N2
0.9016,2014-01-24 00:00:00,HF000004N2
0.9059,2014-01-30 00:00:00,HF000004N2
0.9096,2014-02-10 00:00:00,HF000004N2
0.9148,2014-02-11 00:00:00,HF000004N2
0.9144,2014-02-14 00:00:00,HF000004N2
0.918,2014-02-19 00:00:00,HF000004N2
0.9208,2014-02-21 00:00:00,HF000004N2
0.8984,2014-02-28 00:00:00,HF000004N2
0.9045,2014-03-07 00:00:00,HF000004N2
0.912,2014-03-13 00:00:00,HF000004N2
0.9099,2014-03-14 00:00:00,HF000004N2
0.9153,2014-03-18 00:00:00,HF000004N2
0.9103,2014-03-21 00:00:00,HF000004N2
0.9179,2014-03-27 00:00:00,HF000004N2
0.9205,2014-03-28 00:00:00,HF000004N2
0.9163,2014-04-04 00:00:00,HF000004N2
0.9363,2014-04-08 00:00:00,HF000004N2
0.9386,2014-04-10 00:00:00,HF000004N2
0.9364,2014-04-11 00:00:00,HF000004N2
0.9222,2014-04-18 00:00:00,HF000004N2
0.921,2014-04-25 00:00:00,HF000004N2
0.9204,2014-04-30 00:00:00,HF000004N2
0.9118,2014-05-09 00:00:00,HF000004N2
0.9149,2014-05-16 00:00:00,HF000004N2
0.9104,2014-05-23 00:00:00,HF000004N2
0.9102,2014-05-30 00:00:00,HF000004N2
0.9128,2014-06-06 00:00:00,HF000004N2
0.9146,2014-06-09 00:00:00,HF000004N2
0.9214,2014-06-10 00:00:00,HF000004N2
0.9277,2014-06-13 00:00:00,HF000004N2
0.9391,2014-06-16 00:00:00,HF000004N2
0.9277,2014-06-20 00:00:00,HF000004N2
0.9278,2014-06-27 00:00:00,HF000004N2
0.934,2014-07-03 00:00:00,HF000004N2
0.9332,2014-07-04 00:00:00,HF000004N2
0.9234,2014-07-11 00:00:00,HF000004N2
0.9231,2014-07-18 00:00:00,HF000004N2
0.9451,2014-07-24 00:00:00,HF000004N2
0.9482,2014-07-25 00:00:00,HF000004N2
0.9744,2014-07-28 00:00:00,HF000004N2
0.9776,2014-07-29 00:00:00,HF000004N2
0.9786,2014-07-31 00:00:00,HF000004N2
0.9762,2014-08-01 00:00:00,HF000004N2
0.99,2014-08-04 00:00:00,HF000004N2
0.9696,2014-08-08 00:00:00,HF000004N2
0.9644,2014-08-15 00:00:00,HF000004N2
0.9641,2014-08-22 00:00:00,HF000004N2
0.9644,2014-08-29 00:00:00,HF000004N2
0.9953,2014-09-04 00:00:00,HF000004N2
0.9985,2014-09-05 00:00:00,HF000004N2
0.9854,2014-09-12 00:00:00,HF000004N2
0.9922,2014-09-19 00:00:00,HF000004N2
0.9858,2014-09-26 00:00:00,HF000004N2
0.9946,2014-09-30 00:00:00,HF000004N2
1.0018,2014-10-08 00:00:00,HF000004N2
0.9942,2014-10-10 00:00:00,HF000004N2
0.9835,2014-10-17 00:00:00,HF000004N2
0.9797,2014-10-24 00:00:00,HF000004N2
1.0126,2014-10-30 00:00:00,HF000004N2
1.0675,2014-10-31 00:00:00,HF000004N2
1.0445,2014-11-07 00:00:00,HF000004N2
1.0707,2014-11-10 00:00:00,HF000004N2
1.0894,2014-11-11 00:00:00,HF000004N2
1.0931,2014-11-12 00:00:00,HF000004N2
1.0906,2014-11-14 00:00:00,HF000004N2
1.0645,2014-11-21 00:00:00,HF000004N2
1.0691,2014-11-25 00:00:00,HF000004N2
1.1757,2014-11-28 00:00:00,HF000004N2
1.2179,2014-12-02 00:00:00,HF000004N2
1.2678,2014-12-04 00:00:00,HF000004N2
1.3577,2014-12-05 00:00:00,HF000004N2
1.2575,2014-12-12 00:00:00,HF000004N2
1.3659,2014-12-19 00:00:00,HF000004N2
1.4714,2014-12-22 00:00:00,HF000004N2
1.3551,2014-12-25 00:00:00,HF000004N2
1.4106,2014-12-26 00:00:00,HF000004N2
1.4848,2014-12-31 00:00:00,HF000004N2
1.6182,2015-01-06 00:00:00,HF000004N2
1.4773,2015-01-09 00:00:00,HF000004N2
1.5534,2015-01-16 00:00:00,HF000004N2
1.4999,2015-01-23 00:00:00,HF000004N2
1.348,2015-01-30 00:00:00,HF000004N2
1.2729,2015-02-06 00:00:00,HF000004N2
1.3062,2015-02-13 00:00:00,HF000004N2
1.309,2015-02-17 00:00:00,HF000004N2
1.3255,2015-02-27 00:00:00,HF000004N2
1.2547,2015-03-06 00:00:00,HF000004N2
1.3313,2015-03-13 00:00:00,HF000004N2
1.3927,2015-03-20 00:00:00,HF000004N2
1.3911,2015-03-27 00:00:00,HF000004N2
1.431,2015-04-01 00:00:00,HF000004N2
1.4202,2015-04-03 00:00:00,HF000004N2
1.4905,2015-04-10 00:00:00,HF000004N2
1.5536,2015-04-13 00:00:00,HF000004N2
1.5734,2015-04-15 00:00:00,HF000004N2
1.6204,2015-04-16 00:00:00,HF000004N2
1.6206,2015-04-17 00:00:00,HF000004N2
1.54,2015-04-24 00:00:00,HF000004N2
1.5398,2015-04-30 00:00:00,HF000004N2
1.4728,2015-05-08 00:00:00,HF000004N2
1.446,2015-05-15 00:00:00,HF000004N2
1.5081,2015-05-22 00:00:00,HF000004N2
1.3951,2015-05-29 00:00:00,HF000004N2
1.497,2015-06-05 00:00:00,HF000004N2
1.5429,2015-06-12 00:00:00,HF000004N2
1.3615,2015-06-19 00:00:00,HF000004N2
1.3539,2015-06-26 00:00:00,HF000004N2
1.3939,2015-07-03 00:00:00,HF000004N2
1.5734,2015-07-10 00:00:00,HF000004N2
1.4905,2015-07-17 00:00:00,HF000004N2
1.4474,2015-07-24 00:00:00,HF000004N2
1.3793,2015-07-31 00:00:00,HF000004N2
1.393,2015-08-07 00:00:00,HF000004N2
