value,date,id
1.0,2013-04-11 00:00:00,HF000004OC
1.0,2013-04-12 00:00:00,HF000004OC
0.9998,2013-04-19 00:00:00,HF000004OC
0.9995,2013-04-26 00:00:00,HF000004OC
0.9992,2013-05-03 00:00:00,HF000004OC
1.0017,2013-05-10 00:00:00,HF000004OC
1.0017,2013-05-13 00:00:00,HF000004OC
1.0018,2013-05-14 00:00:00,HF000004OC
1.0036,2013-05-17 00:00:00,HF000004OC
1.0099,2013-05-24 00:00:00,HF000004OC
1.0038,2013-05-31 00:00:00,HF000004OC
0.9659,2013-06-07 00:00:00,HF000004OC
0.9475,2013-06-13 00:00:00,HF000004OC
0.9637,2013-06-14 00:00:00,HF000004OC
0.9464,2013-06-21 00:00:00,HF000004OC
0.9049,2013-06-28 00:00:00,HF000004OC
0.9101,2013-07-05 00:00:00,HF000004OC
0.9049,2013-07-10 00:00:00,HF000004OC
0.9047,2013-07-11 00:00:00,HF000004OC
0.9116,2013-07-12 00:00:00,HF000004OC
0.9111,2013-07-19 00:00:00,HF000004OC
0.9096,2013-07-26 00:00:00,HF000004OC
0.9134,2013-08-02 00:00:00,HF000004OC
0.9513,2013-08-09 00:00:00,HF000004OC
0.9467,2013-08-12 00:00:00,HF000004OC
0.9539,2013-08-13 00:00:00,HF000004OC
0.915,2013-08-16 00:00:00,HF000004OC
0.9437,2013-08-23 00:00:00,HF000004OC
0.9359,2013-08-30 00:00:00,HF000004OC
0.979,2013-09-06 00:00:00,HF000004OC
0.9863,2013-09-10 00:00:00,HF000004OC
0.9879,2013-09-11 00:00:00,HF000004OC
0.9973,2013-09-12 00:00:00,HF000004OC
1.0031,2013-09-13 00:00:00,HF000004OC
1.0036,2013-09-18 00:00:00,HF000004OC
1.0299,2013-09-27 00:00:00,HF000004OC
1.0394,2013-09-30 00:00:00,HF000004OC
1.1342,2013-10-10 00:00:00,HF000004OC
1.1802,2013-10-11 00:00:00,HF000004OC
1.2147,2013-10-14 00:00:00,HF000004OC
1.3337,2013-10-18 00:00:00,HF000004OC
1.3335,2013-10-25 00:00:00,HF000004OC
1.3356,2013-11-01 00:00:00,HF000004OC
1.347207,2013-11-08 00:00:00,HF000004OC
1.351205,2013-11-11 00:00:00,HF000004OC
1.354042,2013-11-12 00:00:00,HF000004OC
1.39183,2013-11-15 00:00:00,HF000004OC
1.422782,2013-11-22 00:00:00,HF000004OC
1.439677,2013-11-29 00:00:00,HF000004OC
1.396344,2013-12-06 00:00:00,HF000004OC
1.404082,2013-12-10 00:00:00,HF000004OC
1.39428,2013-12-11 00:00:00,HF000004OC
1.395699,2013-12-12 00:00:00,HF000004OC
1.400858,2013-12-13 00:00:00,HF000004OC
1.397505,2013-12-20 00:00:00,HF000004OC
1.432327,2013-12-27 00:00:00,HF000004OC
1.420075,2014-01-03 00:00:00,HF000004OC
1.406662,2014-01-10 00:00:00,HF000004OC
1.400987,2014-01-13 00:00:00,HF000004OC
1.411691,2014-01-14 00:00:00,HF000004OC
1.411175,2014-01-17 00:00:00,HF000004OC
1.472306,2014-01-24 00:00:00,HF000004OC
1.582574,2014-01-30 00:00:00,HF000004OC
1.617524,2014-02-07 00:00:00,HF000004OC
1.630034,2014-02-10 00:00:00,HF000004OC
1.616621,2014-02-11 00:00:00,HF000004OC
1.627454,2014-02-12 00:00:00,HF000004OC
1.595986,2014-02-14 00:00:00,HF000004OC
1.602692,2014-02-21 00:00:00,HF000004OC
1.539884,2014-02-28 00:00:00,HF000004OC
1.518862,2014-03-07 00:00:00,HF000004OC
1.512414,2014-03-10 00:00:00,HF000004OC
1.508158,2014-03-11 00:00:00,HF000004OC
1.508287,2014-03-12 00:00:00,HF000004OC
1.51035,2014-03-14 00:00:00,HF000004OC
1.514735,2014-03-21 00:00:00,HF000004OC
1.501064,2014-03-28 00:00:00,HF000004OC
1.513187,2014-04-04 00:00:00,HF000004OC
1.510479,2014-04-10 00:00:00,HF000004OC
1.514993,2014-04-11 00:00:00,HF000004OC
1.514348,2014-04-14 00:00:00,HF000004OC
1.520796,2014-04-18 00:00:00,HF000004OC
1.41156,2014-04-25 00:00:00,HF000004OC
1.396987,2014-04-30 00:00:00,HF000004OC
1.394279,2014-05-09 00:00:00,HF000004OC
1.410658,2014-05-12 00:00:00,HF000004OC
1.405886,2014-05-13 00:00:00,HF000004OC
1.399567,2014-05-16 00:00:00,HF000004OC
1.4055,2014-05-23 00:00:00,HF000004OC
1.412593,2014-05-30 00:00:00,HF000004OC
1.421363,2014-06-06 00:00:00,HF000004OC
1.429617,2014-06-10 00:00:00,HF000004OC
1.432196,2014-06-11 00:00:00,HF000004OC
1.43039,2014-06-12 00:00:00,HF000004OC
1.436838,2014-06-13 00:00:00,HF000004OC
1.429487,2014-06-20 00:00:00,HF000004OC
1.44161,2014-06-27 00:00:00,HF000004OC
1.494874,2014-07-04 00:00:00,HF000004OC
1.51164,2014-07-10 00:00:00,HF000004OC
1.504934,2014-07-11 00:00:00,HF000004OC
1.507255,2014-07-14 00:00:00,HF000004OC
1.468435,2014-07-18 00:00:00,HF000004OC
1.443157,2014-07-25 00:00:00,HF000004OC
1.492552,2014-08-01 00:00:00,HF000004OC
1.506481,2014-08-08 00:00:00,HF000004OC
1.509834,2014-08-11 00:00:00,HF000004OC
1.512155,2014-08-12 00:00:00,HF000004OC
1.526342,2014-08-15 00:00:00,HF000004OC
1.555618,2014-08-22 00:00:00,HF000004OC
1.506997,2014-08-29 00:00:00,HF000004OC
1.570836,2014-09-05 00:00:00,HF000004OC
1.571481,2014-09-10 00:00:00,HF000004OC
1.563356,2014-09-11 00:00:00,HF000004OC
1.572771,2014-09-12 00:00:00,HF000004OC
1.595727,2014-09-19 00:00:00,HF000004OC
1.668594,2014-09-26 00:00:00,HF000004OC
1.667433,2014-09-30 00:00:00,HF000004OC
1.714249,2014-10-13 00:00:00,HF000004OC
1.692195,2014-10-14 00:00:00,HF000004OC
1.672463,2014-10-17 00:00:00,HF000004OC
1.668465,2014-10-24 00:00:00,HF000004OC
1.679556,2014-10-31 00:00:00,HF000004OC
1.705995,2014-11-07 00:00:00,HF000004OC
1.729371,2014-11-10 00:00:00,HF000004OC
