value,date,id
1.0,2013-04-23 00:00:00,HF000004TG
0.9867,2013-04-26 00:00:00,HF000004TG
0.985,2013-05-03 00:00:00,HF000004TG
0.9941,2013-05-10 00:00:00,HF000004TG
0.9912,2013-05-17 00:00:00,HF000004TG
0.9758,2013-05-24 00:00:00,HF000004TG
0.9579,2013-05-31 00:00:00,HF000004TG
0.9561,2013-06-07 00:00:00,HF000004TG
0.9561,2013-06-14 00:00:00,HF000004TG
1.0201,2013-06-21 00:00:00,HF000004TG
1.114,2013-06-28 00:00:00,HF000004TG
1.0619,2013-07-05 00:00:00,HF000004TG
1.0368,2013-07-12 00:00:00,HF000004TG
1.0402,2013-07-19 00:00:00,HF000004TG
1.0271,2013-07-26 00:00:00,HF000004TG
1.0411,2013-08-02 00:00:00,HF000004TG
1.0498,2013-08-09 00:00:00,HF000004TG
1.1109,2013-08-16 00:00:00,HF000004TG
1.0925,2013-08-23 00:00:00,HF000004TG
1.069,2013-08-30 00:00:00,HF000004TG
1.0489,2013-09-06 00:00:00,HF000004TG
1.106,2013-09-13 00:00:00,HF000004TG
1.1207,2013-09-18 00:00:00,HF000004TG
1.1818,2013-09-30 00:00:00,HF000004TG
1.2107,2013-10-11 00:00:00,HF000004TG
1.1225,2013-10-18 00:00:00,HF000004TG
1.1243,2013-10-25 00:00:00,HF000004TG
1.089,2013-11-01 00:00:00,HF000004TG
1.0737,2013-11-08 00:00:00,HF000004TG
1.0838,2013-11-15 00:00:00,HF000004TG
1.0798,2013-11-22 00:00:00,HF000004TG
1.0653,2013-11-29 00:00:00,HF000004TG
1.0653,2013-12-06 00:00:00,HF000004TG
1.0648,2013-12-13 00:00:00,HF000004TG
