value,date,id
1.0,2013-04-19 00:00:00,HF000004WE
0.9885,2013-04-26 00:00:00,HF000004WE
0.9894,2013-05-03 00:00:00,HF000004WE
0.9915,2013-05-10 00:00:00,HF000004WE
1.0071,2013-05-17 00:00:00,HF000004WE
1.0643,2013-05-24 00:00:00,HF000004WE
1.0572,2013-05-31 00:00:00,HF000004WE
1.0121,2013-06-07 00:00:00,HF000004WE
1.0322,2013-06-14 00:00:00,HF000004WE
1.0081,2013-06-21 00:00:00,HF000004WE
1.0095,2013-06-28 00:00:00,HF000004WE
1.0094,2013-07-05 00:00:00,HF000004WE
0.995,2013-07-12 00:00:00,HF000004WE
0.9794,2013-07-19 00:00:00,HF000004WE
0.971,2013-07-26 00:00:00,HF000004WE
0.9641,2013-08-02 00:00:00,HF000004WE
0.9757,2013-08-09 00:00:00,HF000004WE
0.9693,2013-08-16 00:00:00,HF000004WE
0.9743,2013-08-23 00:00:00,HF000004WE
0.9813,2013-08-30 00:00:00,HF000004WE
1.0201,2013-09-06 00:00:00,HF000004WE
1.0243,2013-09-13 00:00:00,HF000004WE
1.0612,2013-09-18 00:00:00,HF000004WE
1.1395,2013-10-11 00:00:00,HF000004WE
1.087,2013-10-18 00:00:00,HF000004WE
1.0387,2013-10-25 00:00:00,HF000004WE
1.0604,2013-11-01 00:00:00,HF000004WE
1.0216,2013-11-08 00:00:00,HF000004WE
1.1147,2013-11-15 00:00:00,HF000004WE
1.1453,2013-11-22 00:00:00,HF000004WE
1.2148,2013-11-29 00:00:00,HF000004WE
1.127,2013-12-06 00:00:00,HF000004WE
1.1015,2013-12-13 00:00:00,HF000004WE
1.0282,2013-12-20 00:00:00,HF000004WE
1.0618,2013-12-27 00:00:00,HF000004WE
1.0452,2014-01-03 00:00:00,HF000004WE
0.9506,2014-01-10 00:00:00,HF000004WE
0.9395,2014-01-17 00:00:00,HF000004WE
1.0181,2014-01-24 00:00:00,HF000004WE
1.0464,2014-01-30 00:00:00,HF000004WE
1.0712,2014-02-07 00:00:00,HF000004WE
1.0803,2014-02-14 00:00:00,HF000004WE
1.0781,2014-02-21 00:00:00,HF000004WE
1.0872,2014-02-28 00:00:00,HF000004WE
1.09,2014-03-07 00:00:00,HF000004WE
1.0215,2014-03-14 00:00:00,HF000004WE
1.024,2014-03-21 00:00:00,HF000004WE
0.9715,2014-03-28 00:00:00,HF000004WE
1.0097,2014-04-04 00:00:00,HF000004WE
1.0388,2014-04-11 00:00:00,HF000004WE
0.9756,2014-04-18 00:00:00,HF000004WE
0.9096,2014-04-30 00:00:00,HF000004WE
0.9096,2014-05-09 00:00:00,HF000004WE
0.9106,2014-05-16 00:00:00,HF000004WE
0.911,2014-05-23 00:00:00,HF000004WE
0.9074,2014-06-06 00:00:00,HF000004WE
0.9112,2014-06-13 00:00:00,HF000004WE
0.8918,2014-06-20 00:00:00,HF000004WE
0.8956,2014-07-04 00:00:00,HF000004WE
0.9082,2014-07-11 00:00:00,HF000004WE
0.919,2014-07-18 00:00:00,HF000004WE
0.9505,2014-07-25 00:00:00,HF000004WE
0.9867,2014-08-01 00:00:00,HF000004WE
0.9917,2014-08-08 00:00:00,HF000004WE
0.9983,2014-08-15 00:00:00,HF000004WE
0.9957,2014-08-22 00:00:00,HF000004WE
0.9743,2014-08-29 00:00:00,HF000004WE
1.0422,2014-09-05 00:00:00,HF000004WE
1.0407,2014-09-12 00:00:00,HF000004WE
1.0188,2014-09-19 00:00:00,HF000004WE
1.0411,2014-09-26 00:00:00,HF000004WE
1.0631,2014-10-10 00:00:00,HF000004WE
1.0233,2014-10-17 00:00:00,HF000004WE
1.0373,2014-11-07 00:00:00,HF000004WE
1.0528,2014-11-21 00:00:00,HF000004WE
1.2114,2014-11-28 00:00:00,HF000004WE
1.3784,2014-12-05 00:00:00,HF000004WE
1.3252,2014-12-12 00:00:00,HF000004WE
1.3285,2014-12-19 00:00:00,HF000004WE
1.2998,2014-12-26 00:00:00,HF000004WE
1.276,2014-12-31 00:00:00,HF000004WE
1.3668,2015-01-16 00:00:00,HF000004WE
1.3884,2015-01-30 00:00:00,HF000004WE
1.3475,2015-02-07 00:00:00,HF000004WE
1.3475,2015-02-08 00:00:00,HF000004WE
1.366,2015-02-09 00:00:00,HF000004WE
1.3884,2015-02-10 00:00:00,HF000004WE
1.4032,2015-02-11 00:00:00,HF000004WE
1.3986,2015-02-12 00:00:00,HF000004WE
1.4254,2015-02-13 00:00:00,HF000004WE
1.4254,2015-02-14 00:00:00,HF000004WE
1.4254,2015-02-15 00:00:00,HF000004WE
1.4447,2015-02-16 00:00:00,HF000004WE
1.4565,2015-02-17 00:00:00,HF000004WE
1.4565,2015-02-18 00:00:00,HF000004WE
1.4565,2015-02-19 00:00:00,HF000004WE
1.4565,2015-02-20 00:00:00,HF000004WE
1.4565,2015-02-21 00:00:00,HF000004WE
1.4564,2015-02-22 00:00:00,HF000004WE
1.4564,2015-02-23 00:00:00,HF000004WE
1.4564,2015-02-24 00:00:00,HF000004WE
1.4266,2015-02-25 00:00:00,HF000004WE
1.4829,2015-02-26 00:00:00,HF000004WE
1.4862,2015-02-27 00:00:00,HF000004WE
1.5003,2015-03-06 00:00:00,HF000004WE
1.6297,2015-04-10 00:00:00,HF000004WE
1.6276,2015-04-17 00:00:00,HF000004WE
