value,date,id
1.0,2013-07-09 00:00:00,HF000004YH
0.9993,2013-07-12 00:00:00,HF000004YH
1.002,2013-07-15 00:00:00,HF000004YH
0.9818,2013-07-19 00:00:00,HF000004YH
1.0112,2013-07-26 00:00:00,HF000004YH
0.9965,2013-07-31 00:00:00,HF000004YH
1.0157,2013-08-02 00:00:00,HF000004YH
1.0212,2013-08-09 00:00:00,HF000004YH
1.0108,2013-08-15 00:00:00,HF000004YH
0.995,2013-08-16 00:00:00,HF000004YH
1.0083,2013-08-23 00:00:00,HF000004YH
0.9932,2013-08-30 00:00:00,HF000004YH
0.9949,2013-09-06 00:00:00,HF000004YH
0.9799,2013-09-13 00:00:00,HF000004YH
0.9814,2013-09-18 00:00:00,HF000004YH
0.9775,2013-09-27 00:00:00,HF000004YH
0.9871,2013-09-30 00:00:00,HF000004YH
1.0118,2013-10-11 00:00:00,HF000004YH
1.018,2013-10-15 00:00:00,HF000004YH
1.0033,2013-10-18 00:00:00,HF000004YH
0.9723,2013-10-25 00:00:00,HF000004YH
0.9517,2013-10-31 00:00:00,HF000004YH
0.9481,2013-11-01 00:00:00,HF000004YH
0.9439,2013-11-08 00:00:00,HF000004YH
0.9701,2013-11-15 00:00:00,HF000004YH
0.9831,2013-11-22 00:00:00,HF000004YH
1.0122,2013-11-29 00:00:00,HF000004YH
0.9983,2013-12-06 00:00:00,HF000004YH
1.0062,2013-12-13 00:00:00,HF000004YH
0.9935,2013-12-20 00:00:00,HF000004YH
1.0065,2013-12-27 00:00:00,HF000004YH
1.0158,2013-12-31 00:00:00,HF000004YH
1.0177,2014-01-03 00:00:00,HF000004YH
1.0017,2014-01-10 00:00:00,HF000004YH
1.0164,2014-01-15 00:00:00,HF000004YH
1.0039,2014-01-17 00:00:00,HF000004YH
1.0367,2014-01-24 00:00:00,HF000004YH
1.0352,2014-01-30 00:00:00,HF000004YH
1.0481,2014-02-07 00:00:00,HF000004YH
1.0503,2014-02-14 00:00:00,HF000004YH
1.0431,2014-02-21 00:00:00,HF000004YH
1.0109,2014-02-28 00:00:00,HF000004YH
1.0226,2014-03-07 00:00:00,HF000004YH
1.0152,2014-03-14 00:00:00,HF000004YH
1.0112,2014-03-21 00:00:00,HF000004YH
0.9801,2014-03-28 00:00:00,HF000004YH
0.9736,2014-03-31 00:00:00,HF000004YH
0.9978,2014-04-04 00:00:00,HF000004YH
1.0198,2014-04-11 00:00:00,HF000004YH
1.0143,2014-04-15 00:00:00,HF000004YH
1.0121,2014-04-18 00:00:00,HF000004YH
0.9749,2014-04-25 00:00:00,HF000004YH
0.9677,2014-04-30 00:00:00,HF000004YH
0.9479,2014-05-09 00:00:00,HF000004YH
0.9492,2014-05-15 00:00:00,HF000004YH
0.9439,2014-05-16 00:00:00,HF000004YH
0.955,2014-05-23 00:00:00,HF000004YH
0.9571,2014-05-30 00:00:00,HF000004YH
0.957,2014-06-06 00:00:00,HF000004YH
0.9702,2014-06-13 00:00:00,HF000004YH
0.9526,2014-06-20 00:00:00,HF000004YH
0.9667,2014-06-27 00:00:00,HF000004YH
0.9718,2014-06-30 00:00:00,HF000004YH
0.9854,2014-07-04 00:00:00,HF000004YH
0.9925,2014-07-11 00:00:00,HF000004YH
0.9937,2014-07-15 00:00:00,HF000004YH
0.9794,2014-07-18 00:00:00,HF000004YH
0.9846,2014-07-25 00:00:00,HF000004YH
1.0129,2014-07-31 00:00:00,HF000004YH
1.0058,2014-08-01 00:00:00,HF000004YH
1.0063,2014-08-08 00:00:00,HF000004YH
1.002,2014-08-15 00:00:00,HF000004YH
1.02,2014-08-22 00:00:00,HF000004YH
0.9946,2014-08-29 00:00:00,HF000004YH
1.0935,2014-09-05 00:00:00,HF000004YH
1.1024,2014-09-12 00:00:00,HF000004YH
1.0907,2014-09-15 00:00:00,HF000004YH
1.076,2014-09-19 00:00:00,HF000004YH
1.0838,2014-09-26 00:00:00,HF000004YH
1.0886,2014-09-30 00:00:00,HF000004YH
1.0755,2014-10-10 00:00:00,HF000004YH
1.0751,2014-10-15 00:00:00,HF000004YH
1.0623,2014-10-17 00:00:00,HF000004YH
1.0636,2014-10-24 00:00:00,HF000004YH
1.069,2014-10-31 00:00:00,HF000004YH
1.0762,2014-11-07 00:00:00,HF000004YH
1.0645,2014-11-14 00:00:00,HF000004YH
1.0667,2014-11-21 00:00:00,HF000004YH
1.0828,2014-11-28 00:00:00,HF000004YH
1.0728,2014-12-05 00:00:00,HF000004YH
1.0842,2014-12-12 00:00:00,HF000004YH
1.0868,2014-12-15 00:00:00,HF000004YH
1.077,2014-12-19 00:00:00,HF000004YH
1.0743,2014-12-26 00:00:00,HF000004YH
1.0779,2014-12-31 00:00:00,HF000004YH
1.1065,2015-01-09 00:00:00,HF000004YH
1.1254,2015-01-15 00:00:00,HF000004YH
1.1303,2015-01-16 00:00:00,HF000004YH
1.1159,2015-01-23 00:00:00,HF000004YH
1.102,2015-01-30 00:00:00,HF000004YH
1.0521,2015-02-06 00:00:00,HF000004YH
1.0992,2015-02-13 00:00:00,HF000004YH
1.1284,2015-02-17 00:00:00,HF000004YH
1.1445,2015-02-27 00:00:00,HF000004YH
1.154,2015-03-06 00:00:00,HF000004YH
1.1857,2015-03-13 00:00:00,HF000004YH
1.2143,2015-03-20 00:00:00,HF000004YH
1.3044,2015-03-27 00:00:00,HF000004YH
1.3069,2015-03-31 00:00:00,HF000004YH
1.4255,2015-04-03 00:00:00,HF000004YH
1.4276,2015-04-10 00:00:00,HF000004YH
1.3463,2015-04-15 00:00:00,HF000004YH
1.345,2015-04-17 00:00:00,HF000004YH
1.403,2015-04-24 00:00:00,HF000004YH
1.4005,2015-04-30 00:00:00,HF000004YH
1.4911,2015-05-08 00:00:00,HF000004YH
1.6025,2015-05-15 00:00:00,HF000004YH
1.8796,2015-05-22 00:00:00,HF000004YH
2.0041,2015-05-29 00:00:00,HF000004YH
2.2882,2015-06-05 00:00:00,HF000004YH
2.2164,2015-06-12 00:00:00,HF000004YH
2.0624,2015-06-15 00:00:00,HF000004YH
1.7297,2015-06-19 00:00:00,HF000004YH
1.4348,2015-06-26 00:00:00,HF000004YH
1.36,2015-06-30 00:00:00,HF000004YH
0.9867,2015-07-03 00:00:00,HF000004YH
0.9379,2015-07-10 00:00:00,HF000004YH
0.9702,2015-07-15 00:00:00,HF000004YH
0.9934,2015-07-17 00:00:00,HF000004YH
1.0401,2015-07-24 00:00:00,HF000004YH
0.9733,2015-07-31 00:00:00,HF000004YH
0.9976,2015-08-07 00:00:00,HF000004YH
