value,date,id
1.0,2013-07-19 00:00:00,HF000005LO
1.0002,2013-07-22 00:00:00,HF000005LO
1.0768,2013-08-22 00:00:00,HF000005LO
1.0881,2013-09-22 00:00:00,HF000005LO
1.1817,2013-10-22 00:00:00,HF000005LO
1.117,2013-11-22 00:00:00,HF000005LO
1.0733,2013-12-23 00:00:00,HF000005LO
1.1072,2014-02-24 00:00:00,HF000005LO
1.1248,2014-03-24 00:00:00,HF000005LO
1.0152,2014-04-22 00:00:00,HF000005LO
0.9516,2014-05-22 00:00:00,HF000005LO
0.9905,2014-06-23 00:00:00,HF000005LO
1.0359,2014-07-03 00:00:00,HF000005LO
1.033,2014-07-11 00:00:00,HF000005LO
1.0335,2014-07-18 00:00:00,HF000005LO
1.0274,2014-07-22 00:00:00,HF000005LO
1.0375,2014-07-25 00:00:00,HF000005LO
1.0637,2014-07-31 00:00:00,HF000005LO
1.0717,2014-08-08 00:00:00,HF000005LO
1.1448,2014-08-15 00:00:00,HF000005LO
1.1381,2014-08-22 00:00:00,HF000005LO
1.1477,2014-08-29 00:00:00,HF000005LO
1.1847,2014-09-05 00:00:00,HF000005LO
1.2412,2014-09-12 00:00:00,HF000005LO
1.2431,2014-09-19 00:00:00,HF000005LO
1.2193,2014-09-22 00:00:00,HF000005LO
1.2456,2014-09-30 00:00:00,HF000005LO
1.2453,2014-10-10 00:00:00,HF000005LO
1.2203,2014-10-17 00:00:00,HF000005LO
1.2122,2014-10-22 00:00:00,HF000005LO
1.2111,2014-10-24 00:00:00,HF000005LO
1.2286,2014-10-31 00:00:00,HF000005LO
1.3608,2014-11-07 00:00:00,HF000005LO
1.3365,2014-11-14 00:00:00,HF000005LO
1.3311,2014-11-21 00:00:00,HF000005LO
1.3267,2014-11-24 00:00:00,HF000005LO
1.394,2014-11-28 00:00:00,HF000005LO
1.4124,2014-12-05 00:00:00,HF000005LO
1.4897,2014-12-12 00:00:00,HF000005LO
1.467,2014-12-19 00:00:00,HF000005LO
1.39024,2014-12-22 00:00:00,HF000005LO
1.4179,2014-12-26 00:00:00,HF000005LO
1.3772,2014-12-31 00:00:00,HF000005LO
1.4108,2015-01-09 00:00:00,HF000005LO
1.4562,2015-01-16 00:00:00,HF000005LO
1.5166,2015-01-22 00:00:00,HF000005LO
1.5425,2015-01-30 00:00:00,HF000005LO
1.5211,2015-02-06 00:00:00,HF000005LO
1.6156,2015-02-12 00:00:00,HF000005LO
1.6156,2015-02-13 00:00:00,HF000005LO
1.5932,2015-02-25 00:00:00,HF000005LO
1.5999,2015-02-27 00:00:00,HF000005LO
1.5832,2015-03-06 00:00:00,HF000005LO
1.5961,2015-03-13 00:00:00,HF000005LO
1.775,2015-03-20 00:00:00,HF000005LO
1.8158,2015-03-23 00:00:00,HF000005LO
1.7766,2015-03-27 00:00:00,HF000005LO
1.8212,2015-04-02 00:00:00,HF000005LO
1.8832,2015-04-10 00:00:00,HF000005LO
1.9775,2015-04-17 00:00:00,HF000005LO
2.0471,2015-04-22 00:00:00,HF000005LO
2.1968,2015-05-08 00:00:00,HF000005LO
2.5397,2015-05-15 00:00:00,HF000005LO
2.5174,2015-05-22 00:00:00,HF000005LO
2.3972,2015-05-28 00:00:00,HF000005LO
2.496,2015-06-04 00:00:00,HF000005LO
2.4624,2015-06-11 00:00:00,HF000005LO
2.3606,2015-06-18 00:00:00,HF000005LO
2.2665,2015-06-23 00:00:00,HF000005LO
1.8306,2015-07-22 00:00:00,HF000005LO
