value,date,id
1.0,2012-12-10 00:00:00,HF000005NO
0.9762,2012-12-14 00:00:00,HF000005NO
0.9797,2012-12-21 00:00:00,HF000005NO
0.9727,2012-12-28 00:00:00,HF000005NO
0.9461,2013-01-04 00:00:00,HF000005NO
0.9972,2013-01-11 00:00:00,HF000005NO
1.0084,2013-01-18 00:00:00,HF000005NO
1.035,2013-01-25 00:00:00,HF000005NO
1.042,2013-02-01 00:00:00,HF000005NO
1.0532,2013-02-08 00:00:00,HF000005NO
1.0777,2013-02-22 00:00:00,HF000005NO
1.0833,2013-03-01 00:00:00,HF000005NO
1.0854,2013-03-08 00:00:00,HF000005NO
1.0819,2013-03-15 00:00:00,HF000005NO
1.0784,2013-03-22 00:00:00,HF000005NO
1.0798,2013-03-29 00:00:00,HF000005NO
1.0931,2013-04-03 00:00:00,HF000005NO
1.1141,2013-04-12 00:00:00,HF000005NO
1.1148,2013-04-19 00:00:00,HF000005NO
1.098,2013-04-26 00:00:00,HF000005NO
1.1071,2013-05-03 00:00:00,HF000005NO
1.1127,2013-05-10 00:00:00,HF000005NO
1.1169,2013-05-17 00:00:00,HF000005NO
1.1323,2013-05-24 00:00:00,HF000005NO
1.1344,2013-05-31 00:00:00,HF000005NO
1.1323,2013-06-07 00:00:00,HF000005NO
1.1029,2013-06-14 00:00:00,HF000005NO
1.063,2013-06-21 00:00:00,HF000005NO
1.07,2013-06-28 00:00:00,HF000005NO
1.0868,2013-07-05 00:00:00,HF000005NO
1.0791,2013-07-12 00:00:00,HF000005NO
1.0714,2013-07-19 00:00:00,HF000005NO
1.0588,2013-07-26 00:00:00,HF000005NO
1.0658,2013-08-02 00:00:00,HF000005NO
1.0525,2013-08-09 00:00:00,HF000005NO
1.0315,2013-08-16 00:00:00,HF000005NO
1.0294,2013-08-23 00:00:00,HF000005NO
1.0294,2013-08-30 00:00:00,HF000005NO
1.0357,2013-09-06 00:00:00,HF000005NO
1.0364,2013-09-13 00:00:00,HF000005NO
1.0455,2013-09-27 00:00:00,HF000005NO
1.0511,2013-10-11 00:00:00,HF000005NO
1.0539,2013-10-18 00:00:00,HF000005NO
1.0308,2013-10-25 00:00:00,HF000005NO
1.0308,2013-11-01 00:00:00,HF000005NO
0.9776,2013-12-06 00:00:00,HF000005NO
0.993,2013-12-13 00:00:00,HF000005NO
0.9783,2013-12-20 00:00:00,HF000005NO
0.9678,2013-12-27 00:00:00,HF000005NO
0.9692,2014-01-03 00:00:00,HF000005NO
0.9706,2014-01-10 00:00:00,HF000005NO
0.9762,2014-01-17 00:00:00,HF000005NO
0.9881,2014-01-24 00:00:00,HF000005NO
0.9909,2014-01-30 00:00:00,HF000005NO
0.9944,2014-02-07 00:00:00,HF000005NO
1.0077,2014-02-14 00:00:00,HF000005NO
1.0259,2014-02-21 00:00:00,HF000005NO
1.0469,2014-02-28 00:00:00,HF000005NO
1.0476,2014-03-07 00:00:00,HF000005NO
1.0455,2014-03-14 00:00:00,HF000005NO
1.0385,2014-03-21 00:00:00,HF000005NO
1.0406,2014-03-28 00:00:00,HF000005NO
1.0448,2014-04-04 00:00:00,HF000005NO
1.0532,2014-04-11 00:00:00,HF000005NO
1.0553,2014-04-18 00:00:00,HF000005NO
1.0553,2014-04-25 00:00:00,HF000005NO
1.0728,2014-05-09 00:00:00,HF000005NO
1.0742,2014-05-16 00:00:00,HF000005NO
1.0742,2014-05-23 00:00:00,HF000005NO
1.0819,2014-05-30 00:00:00,HF000005NO
1.0917,2014-06-06 00:00:00,HF000005NO
1.0735,2014-06-13 00:00:00,HF000005NO
1.0714,2014-06-20 00:00:00,HF000005NO
1.0826,2014-06-27 00:00:00,HF000005NO
1.0826,2014-07-04 00:00:00,HF000005NO
1.0903,2014-07-11 00:00:00,HF000005NO
1.084,2014-07-18 00:00:00,HF000005NO
1.0903,2014-07-25 00:00:00,HF000005NO
1.0924,2014-08-01 00:00:00,HF000005NO
1.1008,2014-08-08 00:00:00,HF000005NO
1.1106,2014-08-15 00:00:00,HF000005NO
1.119,2014-08-22 00:00:00,HF000005NO
1.1197,2014-08-29 00:00:00,HF000005NO
1.1267,2014-09-05 00:00:00,HF000005NO
1.1295,2014-09-12 00:00:00,HF000005NO
1.1414,2014-09-19 00:00:00,HF000005NO
1.1442,2014-09-26 00:00:00,HF000005NO
1.147,2014-10-09 00:00:00,HF000005NO
1.1624,2014-10-17 00:00:00,HF000005NO
1.1897,2014-10-24 00:00:00,HF000005NO
1.2156,2014-10-31 00:00:00,HF000005NO
1.252,2014-11-07 00:00:00,HF000005NO
1.2604,2014-11-14 00:00:00,HF000005NO
1.2513,2014-11-21 00:00:00,HF000005NO
1.2548,2014-11-28 00:00:00,HF000005NO
1.2464,2014-12-05 00:00:00,HF000005NO
