value,date,id
1.0,2013-07-24 00:00:00,HF000005T1
1.0,2013-07-26 00:00:00,HF000005T1
1.0087,2013-08-02 00:00:00,HF000005T1
1.0837,2013-08-09 00:00:00,HF000005T1
1.014,2013-08-16 00:00:00,HF000005T1
1.0404,2013-08-23 00:00:00,HF000005T1
1.0075,2013-08-30 00:00:00,HF000005T1
1.0197,2013-09-06 00:00:00,HF000005T1
1.003,2013-09-13 00:00:00,HF000005T1
1.0423,2013-09-18 00:00:00,HF000005T1
1.0375,2013-09-27 00:00:00,HF000005T1
1.0443,2013-09-30 00:00:00,HF000005T1
1.0787,2013-10-11 00:00:00,HF000005T1
1.0381,2013-10-18 00:00:00,HF000005T1
1.0143,2013-10-25 00:00:00,HF000005T1
0.9663,2013-11-01 00:00:00,HF000005T1
0.9539,2013-11-08 00:00:00,HF000005T1
0.98,2013-11-15 00:00:00,HF000005T1
0.9956,2013-11-22 00:00:00,HF000005T1
1.0413,2013-11-29 00:00:00,HF000005T1
1.0019,2013-12-06 00:00:00,HF000005T1
1.0101,2013-12-13 00:00:00,HF000005T1
0.9566,2013-12-20 00:00:00,HF000005T1
1.0132,2013-12-27 00:00:00,HF000005T1
1.0211,2014-01-03 00:00:00,HF000005T1
1.0282,2014-01-10 00:00:00,HF000005T1
1.0566,2014-01-17 00:00:00,HF000005T1
1.1175,2014-01-24 00:00:00,HF000005T1
1.1323,2014-01-30 00:00:00,HF000005T1
1.1566,2014-02-07 00:00:00,HF000005T1
1.1316,2014-02-14 00:00:00,HF000005T1
1.13,2014-02-21 00:00:00,HF000005T1
1.0487,2014-02-28 00:00:00,HF000005T1
1.047,2014-03-07 00:00:00,HF000005T1
1.0275,2014-03-14 00:00:00,HF000005T1
1.0141,2014-03-21 00:00:00,HF000005T1
0.9644,2014-03-28 00:00:00,HF000005T1
0.933,2014-04-04 00:00:00,HF000005T1
0.9903,2014-04-11 00:00:00,HF000005T1
0.9849,2014-04-18 00:00:00,HF000005T1
0.9496,2014-04-25 00:00:00,HF000005T1
0.9436,2014-04-30 00:00:00,HF000005T1
0.9262,2014-05-09 00:00:00,HF000005T1
0.9314,2014-05-16 00:00:00,HF000005T1
0.9385,2014-05-23 00:00:00,HF000005T1
0.9335,2014-05-30 00:00:00,HF000005T1
0.9285,2014-06-06 00:00:00,HF000005T1
0.9438,2014-06-10 00:00:00,HF000005T1
0.9635,2014-06-13 00:00:00,HF000005T1
0.9625,2014-06-20 00:00:00,HF000005T1
0.9962,2014-06-27 00:00:00,HF000005T1
1.0333,2014-07-04 00:00:00,HF000005T1
1.0232,2014-07-10 00:00:00,HF000005T1
1.0303,2014-07-11 00:00:00,HF000005T1
1.0155,2014-07-18 00:00:00,HF000005T1
1.0073,2014-07-25 00:00:00,HF000005T1
1.0422,2014-08-01 00:00:00,HF000005T1
1.066,2014-08-08 00:00:00,HF000005T1
1.0744,2014-08-11 00:00:00,HF000005T1
1.0995,2014-08-15 00:00:00,HF000005T1
1.1305,2014-08-22 00:00:00,HF000005T1
1.0975,2014-08-29 00:00:00,HF000005T1
1.1476,2014-09-05 00:00:00,HF000005T1
1.1625,2014-09-10 00:00:00,HF000005T1
1.1751,2014-09-12 00:00:00,HF000005T1
1.1926,2014-09-19 00:00:00,HF000005T1
1.2357,2014-09-26 00:00:00,HF000005T1
1.2496,2014-09-30 00:00:00,HF000005T1
1.2872,2014-10-10 00:00:00,HF000005T1
1.2405,2014-10-17 00:00:00,HF000005T1
1.2391,2014-10-24 00:00:00,HF000005T1
1.2734,2014-10-31 00:00:00,HF000005T1
1.2859,2014-11-07 00:00:00,HF000005T1
1.3098,2014-11-14 00:00:00,HF000005T1
1.3341,2014-11-21 00:00:00,HF000005T1
1.4283,2014-11-28 00:00:00,HF000005T1
1.5869,2014-12-05 00:00:00,HF000005T1
1.5197,2014-12-12 00:00:00,HF000005T1
1.6198,2014-12-19 00:00:00,HF000005T1
1.5814,2014-12-26 00:00:00,HF000005T1
1.5821,2014-12-31 00:00:00,HF000005T1
1.5341,2015-01-09 00:00:00,HF000005T1
1.5935,2015-01-16 00:00:00,HF000005T1
1.6607,2015-01-23 00:00:00,HF000005T1
1.6151,2015-01-30 00:00:00,HF000005T1
1.6031,2015-02-06 00:00:00,HF000005T1
1.6387,2015-02-10 00:00:00,HF000005T1
1.6911,2015-02-13 00:00:00,HF000005T1
1.7507,2015-02-17 00:00:00,HF000005T1
1.7024,2015-02-27 00:00:00,HF000005T1
1.7241,2015-03-06 00:00:00,HF000005T1
1.7169,2015-03-10 00:00:00,HF000005T1
1.7364,2015-03-13 00:00:00,HF000005T1
1.8728,2015-03-20 00:00:00,HF000005T1
1.9882,2015-03-27 00:00:00,HF000005T1
2.1299,2015-04-03 00:00:00,HF000005T1
2.0531,2015-04-10 00:00:00,HF000005T1
2.051,2015-04-17 00:00:00,HF000005T1
2.0778,2015-04-24 00:00:00,HF000005T1
2.1289,2015-04-30 00:00:00,HF000005T1
2.0708,2015-05-08 00:00:00,HF000005T1
2.1323,2015-05-11 00:00:00,HF000005T1
2.2505,2015-05-15 00:00:00,HF000005T1
2.4994,2015-05-22 00:00:00,HF000005T1
2.5256,2015-05-29 00:00:00,HF000005T1
2.7734,2015-06-05 00:00:00,HF000005T1
2.6534,2015-06-10 00:00:00,HF000005T1
2.7651,2015-06-12 00:00:00,HF000005T1
2.4836,2015-06-19 00:00:00,HF000005T1
2.227,2015-06-26 00:00:00,HF000005T1
1.7828,2015-07-03 00:00:00,HF000005T1
1.6823,2015-07-10 00:00:00,HF000005T1
1.7945,2015-07-17 00:00:00,HF000005T1
2.0017,2015-07-24 00:00:00,HF000005T1
1.8136,2015-07-31 00:00:00,HF000005T1
1.8272,2015-08-07 00:00:00,HF000005T1
1.881,2015-08-10 00:00:00,HF000005T1
