value,date,id
1.0,2013-08-13 00:00:00,HF000005VK
0.9999,2013-08-16 00:00:00,HF000005VK
0.9996,2013-08-23 00:00:00,HF000005VK
0.9999,2013-08-30 00:00:00,HF000005VK
1.018,2013-09-06 00:00:00,HF000005VK
1.0094,2013-09-13 00:00:00,HF000005VK
1.0181,2013-09-18 00:00:00,HF000005VK
1.039,2013-09-27 00:00:00,HF000005VK
1.0571,2013-09-30 00:00:00,HF000005VK
1.0712,2013-10-11 00:00:00,HF000005VK
1.0573,2013-10-18 00:00:00,HF000005VK
1.0315,2013-10-25 00:00:00,HF000005VK
1.0151,2013-10-31 00:00:00,HF000005VK
0.9942,2013-11-01 00:00:00,HF000005VK
0.9829,2013-11-08 00:00:00,HF000005VK
0.9951,2013-11-15 00:00:00,HF000005VK
1.0116,2013-11-22 00:00:00,HF000005VK
1.0327,2013-11-29 00:00:00,HF000005VK
1.0229,2013-12-06 00:00:00,HF000005VK
1.0188,2013-12-13 00:00:00,HF000005VK
0.9914,2013-12-20 00:00:00,HF000005VK
1.0022,2013-12-27 00:00:00,HF000005VK
1.0187,2013-12-31 00:00:00,HF000005VK
1.0176,2014-01-03 00:00:00,HF000005VK
0.9967,2014-01-10 00:00:00,HF000005VK
0.9994,2014-01-17 00:00:00,HF000005VK
1.029,2014-01-24 00:00:00,HF000005VK
1.0274,2014-01-30 00:00:00,HF000005VK
1.0363,2014-02-07 00:00:00,HF000005VK
1.0612,2014-02-14 00:00:00,HF000005VK
1.075,2014-02-21 00:00:00,HF000005VK
1.0428,2014-02-28 00:00:00,HF000005VK
1.0545,2014-03-07 00:00:00,HF000005VK
1.0475,2014-03-14 00:00:00,HF000005VK
1.0493,2014-03-21 00:00:00,HF000005VK
1.0378,2014-03-28 00:00:00,HF000005VK
1.0316,2014-03-31 00:00:00,HF000005VK
1.0524,2014-04-04 00:00:00,HF000005VK
1.0657,2014-04-11 00:00:00,HF000005VK
1.0657,2014-04-18 00:00:00,HF000005VK
1.044,2014-04-25 00:00:00,HF000005VK
1.038,2014-04-30 00:00:00,HF000005VK
1.036,2014-05-09 00:00:00,HF000005VK
1.0372,2014-05-16 00:00:00,HF000005VK
1.041,2014-05-23 00:00:00,HF000005VK
1.0478,2014-05-30 00:00:00,HF000005VK
1.0478,2014-06-06 00:00:00,HF000005VK
1.0561,2014-06-13 00:00:00,HF000005VK
1.0511,2014-06-20 00:00:00,HF000005VK
1.0679,2014-06-27 00:00:00,HF000005VK
1.0741,2014-06-30 00:00:00,HF000005VK
1.0914,2014-07-04 00:00:00,HF000005VK
1.0817,2014-07-11 00:00:00,HF000005VK
1.0813,2014-07-18 00:00:00,HF000005VK
1.1032,2014-07-25 00:00:00,HF000005VK
1.1268,2014-07-31 00:00:00,HF000005VK
1.1303,2014-08-01 00:00:00,HF000005VK
1.1442,2014-08-08 00:00:00,HF000005VK
1.1588,2014-08-15 00:00:00,HF000005VK
1.1779,2014-08-22 00:00:00,HF000005VK
1.1662,2014-08-29 00:00:00,HF000005VK
1.1994,2014-09-05 00:00:00,HF000005VK
1.2047,2014-09-12 00:00:00,HF000005VK
1.1981,2014-09-19 00:00:00,HF000005VK
1.212,2014-09-26 00:00:00,HF000005VK
1.2373,2014-09-30 00:00:00,HF000005VK
1.2685,2014-10-10 00:00:00,HF000005VK
1.2497,2014-10-17 00:00:00,HF000005VK
1.2241,2014-10-24 00:00:00,HF000005VK
1.2742,2014-10-31 00:00:00,HF000005VK
1.2758,2014-11-07 00:00:00,HF000005VK
1.2689,2014-11-14 00:00:00,HF000005VK
1.2761,2014-11-21 00:00:00,HF000005VK
1.3172,2014-11-28 00:00:00,HF000005VK
1.3702,2014-12-05 00:00:00,HF000005VK
1.3817,2014-12-12 00:00:00,HF000005VK
1.4001,2014-12-19 00:00:00,HF000005VK
1.3794,2014-12-26 00:00:00,HF000005VK
1.3411,2014-12-31 00:00:00,HF000005VK
1.3583,2015-01-09 00:00:00,HF000005VK
1.3871,2015-01-16 00:00:00,HF000005VK
1.4115,2015-01-23 00:00:00,HF000005VK
1.4034,2015-02-06 00:00:00,HF000005VK
1.4376,2015-02-13 00:00:00,HF000005VK
1.4373,2015-02-17 00:00:00,HF000005VK
1.4528,2015-02-27 00:00:00,HF000005VK
1.4772,2015-03-06 00:00:00,HF000005VK
1.5287,2015-03-13 00:00:00,HF000005VK
1.6063,2015-03-20 00:00:00,HF000005VK
1.6395,2015-03-27 00:00:00,HF000005VK
1.6266,2015-03-31 00:00:00,HF000005VK
1.6803,2015-04-03 00:00:00,HF000005VK
1.7049,2015-04-10 00:00:00,HF000005VK
1.7299,2015-04-17 00:00:00,HF000005VK
1.7707,2015-04-24 00:00:00,HF000005VK
1.7672,2015-04-30 00:00:00,HF000005VK
1.7387,2015-05-08 00:00:00,HF000005VK
1.8057,2015-05-15 00:00:00,HF000005VK
1.9263,2015-05-22 00:00:00,HF000005VK
1.9076,2015-05-29 00:00:00,HF000005VK
1.9837,2015-06-05 00:00:00,HF000005VK
2.0319,2015-06-12 00:00:00,HF000005VK
1.9078,2015-06-19 00:00:00,HF000005VK
1.8806,2015-06-26 00:00:00,HF000005VK
1.9063,2015-06-30 00:00:00,HF000005VK
