value,date,id
1.0,2013-08-15 00:00:00,HF000005YQ
0.9903,2013-08-16 00:00:00,HF000005YQ
0.9956,2013-08-19 00:00:00,HF000005YQ
0.986,2013-08-20 00:00:00,HF000005YQ
0.9766,2013-08-21 00:00:00,HF000005YQ
0.9745,2013-08-22 00:00:00,HF000005YQ
0.9675,2013-08-23 00:00:00,HF000005YQ
0.9924,2013-08-26 00:00:00,HF000005YQ
0.9944,2013-08-27 00:00:00,HF000005YQ
0.9837,2013-08-28 00:00:00,HF000005YQ
0.989,2013-08-29 00:00:00,HF000005YQ
0.9955,2013-08-30 00:00:00,HF000005YQ
0.9953,2013-08-31 00:00:00,HF000005YQ
0.9951,2013-09-01 00:00:00,HF000005YQ
0.9946,2013-09-02 00:00:00,HF000005YQ
1.0185,2013-09-03 00:00:00,HF000005YQ
1.0193,2013-09-04 00:00:00,HF000005YQ
1.0094,2013-09-05 00:00:00,HF000005YQ
1.0218,2013-09-06 00:00:00,HF000005YQ
1.0216,2013-09-07 00:00:00,HF000005YQ
1.0214,2013-09-08 00:00:00,HF000005YQ
1.1156,2013-09-09 00:00:00,HF000005YQ
1.1471,2013-09-10 00:00:00,HF000005YQ
1.1487,2013-09-11 00:00:00,HF000005YQ
1.1707,2013-09-12 00:00:00,HF000005YQ
1.137,2013-09-13 00:00:00,HF000005YQ
1.1367,2013-09-14 00:00:00,HF000005YQ
1.1365,2013-09-15 00:00:00,HF000005YQ
1.1268,2013-09-16 00:00:00,HF000005YQ
1.0794,2013-09-17 00:00:00,HF000005YQ
1.0939,2013-09-18 00:00:00,HF000005YQ
1.0937,2013-09-19 00:00:00,HF000005YQ
1.0935,2013-09-20 00:00:00,HF000005YQ
1.0932,2013-09-21 00:00:00,HF000005YQ
1.093,2013-09-22 00:00:00,HF000005YQ
1.0998,2013-09-23 00:00:00,HF000005YQ
1.0576,2013-09-24 00:00:00,HF000005YQ
1.0411,2013-09-25 00:00:00,HF000005YQ
1.0051,2013-09-26 00:00:00,HF000005YQ
1.0097,2013-09-27 00:00:00,HF000005YQ
1.0095,2013-09-28 00:00:00,HF000005YQ
1.0093,2013-09-29 00:00:00,HF000005YQ
1.019,2013-09-30 00:00:00,HF000005YQ
1.0187,2013-10-01 00:00:00,HF000005YQ
1.0185,2013-10-02 00:00:00,HF000005YQ
1.0183,2013-10-03 00:00:00,HF000005YQ
1.018,2013-10-04 00:00:00,HF000005YQ
1.0178,2013-10-05 00:00:00,HF000005YQ
1.0176,2013-10-06 00:00:00,HF000005YQ
1.0173,2013-10-07 00:00:00,HF000005YQ
1.0368,2013-10-08 00:00:00,HF000005YQ
1.0367,2013-10-09 00:00:00,HF000005YQ
1.0086,2013-10-10 00:00:00,HF000005YQ
1.0321,2013-10-11 00:00:00,HF000005YQ
1.0319,2013-10-12 00:00:00,HF000005YQ
1.0316,2013-10-13 00:00:00,HF000005YQ
0.9978,2013-10-14 00:00:00,HF000005YQ
0.9911,2013-10-15 00:00:00,HF000005YQ
0.9838,2013-10-16 00:00:00,HF000005YQ
0.9669,2013-10-17 00:00:00,HF000005YQ
0.9692,2013-10-18 00:00:00,HF000005YQ
0.969,2013-10-19 00:00:00,HF000005YQ
0.9687,2013-10-20 00:00:00,HF000005YQ
0.9917,2013-10-21 00:00:00,HF000005YQ
0.9804,2013-10-22 00:00:00,HF000005YQ
0.9872,2013-10-23 00:00:00,HF000005YQ
0.974,2013-10-24 00:00:00,HF000005YQ
0.9588,2013-10-25 00:00:00,HF000005YQ
0.9586,2013-10-26 00:00:00,HF000005YQ
0.9583,2013-10-27 00:00:00,HF000005YQ
0.9685,2013-10-28 00:00:00,HF000005YQ
0.999,2013-10-29 00:00:00,HF000005YQ
1.0236,2013-10-30 00:00:00,HF000005YQ
0.9969,2013-10-31 00:00:00,HF000005YQ
1.0097,2013-11-01 00:00:00,HF000005YQ
1.0094,2013-11-02 00:00:00,HF000005YQ
1.0091,2013-11-03 00:00:00,HF000005YQ
1.0096,2013-11-04 00:00:00,HF000005YQ
1.0023,2013-11-05 00:00:00,HF000005YQ
0.9724,2013-11-06 00:00:00,HF000005YQ
0.979,2013-11-07 00:00:00,HF000005YQ
0.9667,2013-11-08 00:00:00,HF000005YQ
0.9664,2013-11-09 00:00:00,HF000005YQ
0.9661,2013-11-10 00:00:00,HF000005YQ
0.9663,2013-11-11 00:00:00,HF000005YQ
0.9789,2013-11-12 00:00:00,HF000005YQ
0.9423,2013-11-13 00:00:00,HF000005YQ
0.9306,2013-11-14 00:00:00,HF000005YQ
0.9558,2013-11-15 00:00:00,HF000005YQ
0.9555,2013-11-16 00:00:00,HF000005YQ
0.9552,2013-11-17 00:00:00,HF000005YQ
0.9997,2013-11-18 00:00:00,HF000005YQ
0.9843,2013-11-19 00:00:00,HF000005YQ
0.9886,2013-11-20 00:00:00,HF000005YQ
0.9674,2013-11-21 00:00:00,HF000005YQ
0.9547,2013-11-22 00:00:00,HF000005YQ
0.9545,2013-11-23 00:00:00,HF000005YQ
0.9542,2013-11-24 00:00:00,HF000005YQ
0.9448,2013-11-25 00:00:00,HF000005YQ
0.9404,2013-11-26 00:00:00,HF000005YQ
0.9467,2013-11-27 00:00:00,HF000005YQ
0.9552,2013-11-28 00:00:00,HF000005YQ
0.9568,2013-11-29 00:00:00,HF000005YQ
0.9565,2013-11-30 00:00:00,HF000005YQ
0.9562,2013-12-01 00:00:00,HF000005YQ
0.9541,2013-12-02 00:00:00,HF000005YQ
0.9593,2013-12-03 00:00:00,HF000005YQ
0.9739,2013-12-04 00:00:00,HF000005YQ
0.9324,2013-12-12 00:00:00,HF000005YQ
0.9261,2013-12-13 00:00:00,HF000005YQ
0.9258,2013-12-14 00:00:00,HF000005YQ
0.9256,2013-12-15 00:00:00,HF000005YQ
0.9079,2013-12-16 00:00:00,HF000005YQ
0.8969,2013-12-17 00:00:00,HF000005YQ
0.896,2013-12-18 00:00:00,HF000005YQ
0.8811,2013-12-19 00:00:00,HF000005YQ
0.8256,2013-12-20 00:00:00,HF000005YQ
0.8254,2013-12-21 00:00:00,HF000005YQ
0.8252,2013-12-22 00:00:00,HF000005YQ
0.8329,2013-12-23 00:00:00,HF000005YQ
0.8325,2013-12-24 00:00:00,HF000005YQ
0.836,2013-12-25 00:00:00,HF000005YQ
0.8197,2013-12-26 00:00:00,HF000005YQ
0.8453,2013-12-27 00:00:00,HF000005YQ
0.8451,2013-12-28 00:00:00,HF000005YQ
