value,date,id
1.0,2013-08-22 00:00:00,HF000005YW
1.0006,2013-08-30 00:00:00,HF000005YW
1.0017,2013-09-06 00:00:00,HF000005YW
1.0025,2013-09-13 00:00:00,HF000005YW
1.003,2013-09-18 00:00:00,HF000005YW
1.0079,2013-09-30 00:00:00,HF000005YW
1.0098,2013-10-11 00:00:00,HF000005YW
1.0042,2013-10-25 00:00:00,HF000005YW
1.001,2013-11-01 00:00:00,HF000005YW
0.9972,2013-11-08 00:00:00,HF000005YW
0.9883,2013-11-15 00:00:00,HF000005YW
0.9835,2013-11-20 00:00:00,HF000005YW
0.9836,2013-11-22 00:00:00,HF000005YW
0.9949,2013-12-06 00:00:00,HF000005YW
0.9952,2013-12-13 00:00:00,HF000005YW
0.9912,2013-12-20 00:00:00,HF000005YW
0.9917,2013-12-27 00:00:00,HF000005YW
0.9917,2014-01-03 00:00:00,HF000005YW
0.9923,2014-01-10 00:00:00,HF000005YW
0.9934,2014-01-20 00:00:00,HF000005YW
0.9997,2014-01-24 00:00:00,HF000005YW
1.0037,2014-02-07 00:00:00,HF000005YW
1.0084,2014-02-14 00:00:00,HF000005YW
1.0092,2014-02-20 00:00:00,HF000005YW
1.0102,2014-02-21 00:00:00,HF000005YW
1.0172,2014-03-07 00:00:00,HF000005YW
1.0199,2014-03-14 00:00:00,HF000005YW
1.0201,2014-03-20 00:00:00,HF000005YW
1.0203,2014-03-21 00:00:00,HF000005YW
1.0211,2014-03-28 00:00:00,HF000005YW
1.0224,2014-04-04 00:00:00,HF000005YW
1.0244,2014-04-11 00:00:00,HF000005YW
1.0282,2014-04-18 00:00:00,HF000005YW
1.0293,2014-04-25 00:00:00,HF000005YW
1.031,2014-04-30 00:00:00,HF000005YW
1.0377,2014-05-09 00:00:00,HF000005YW
1.0395,2014-05-16 00:00:00,HF000005YW
1.0396,2014-05-20 00:00:00,HF000005YW
1.0406,2014-05-23 00:00:00,HF000005YW
1.0438,2014-05-30 00:00:00,HF000005YW
1.0473,2014-06-06 00:00:00,HF000005YW
1.0527,2014-06-13 00:00:00,HF000005YW
1.0546,2014-06-20 00:00:00,HF000005YW
1.058,2014-06-27 00:00:00,HF000005YW
1.0391,2014-07-04 00:00:00,HF000005YW
1.0411,2014-07-11 00:00:00,HF000005YW
1.0412,2014-07-18 00:00:00,HF000005YW
1.0432,2014-07-25 00:00:00,HF000005YW
1.0459,2014-08-01 00:00:00,HF000005YW
1.0495,2014-08-08 00:00:00,HF000005YW
1.0532,2014-08-15 00:00:00,HF000005YW
1.0545,2014-08-20 00:00:00,HF000005YW
1.0563,2014-08-22 00:00:00,HF000005YW
1.0594,2014-08-29 00:00:00,HF000005YW
1.054,2014-09-05 00:00:00,HF000005YW
1.0374,2014-09-12 00:00:00,HF000005YW
1.0413,2014-09-19 00:00:00,HF000005YW
1.043,2014-09-26 00:00:00,HF000005YW
1.0438,2014-09-30 00:00:00,HF000005YW
1.046,2014-10-10 00:00:00,HF000005YW
1.0412,2014-10-17 00:00:00,HF000005YW
1.0449,2014-10-20 00:00:00,HF000005YW
1.0503,2014-10-24 00:00:00,HF000005YW
1.0556,2014-10-31 00:00:00,HF000005YW
1.0637,2014-11-07 00:00:00,HF000005YW
1.0679,2014-11-14 00:00:00,HF000005YW
1.068,2014-11-20 00:00:00,HF000005YW
1.0668,2014-11-21 00:00:00,HF000005YW
1.056,2014-11-28 00:00:00,HF000005YW
1.0502,2014-12-05 00:00:00,HF000005YW
1.0392,2014-12-12 00:00:00,HF000005YW
1.0375,2014-12-19 00:00:00,HF000005YW
1.0336,2014-12-26 00:00:00,HF000005YW
1.0358,2014-12-31 00:00:00,HF000005YW
1.0418,2015-01-09 00:00:00,HF000005YW
1.0475,2015-01-16 00:00:00,HF000005YW
1.049,2015-01-20 00:00:00,HF000005YW
1.0511,2015-01-23 00:00:00,HF000005YW
1.0517,2015-01-30 00:00:00,HF000005YW
1.0532,2015-02-06 00:00:00,HF000005YW
1.0577,2015-02-13 00:00:00,HF000005YW
1.0595,2015-02-17 00:00:00,HF000005YW
1.0619,2015-02-27 00:00:00,HF000005YW
1.0618,2015-03-06 00:00:00,HF000005YW
1.0632,2015-03-13 00:00:00,HF000005YW
1.0624,2015-03-20 00:00:00,HF000005YW
1.0595,2015-03-27 00:00:00,HF000005YW
1.06,2015-04-03 00:00:00,HF000005YW
1.0613,2015-04-10 00:00:00,HF000005YW
1.0688,2015-04-17 00:00:00,HF000005YW
1.0685,2015-04-20 00:00:00,HF000005YW
1.0706,2015-04-24 00:00:00,HF000005YW
1.0602,2015-04-30 00:00:00,HF000005YW
1.0643,2015-05-08 00:00:00,HF000005YW
1.0616,2015-05-15 00:00:00,HF000005YW
1.0638,2015-05-20 00:00:00,HF000005YW
