value,date,id
1.0,2013-09-06 00:00:00,HF0000065Q
0.9897,2013-09-18 00:00:00,HF0000065Q
1.0231,2013-10-11 00:00:00,HF0000065Q
1.0049,2013-10-18 00:00:00,HF0000065Q
0.9717,2013-10-25 00:00:00,HF0000065Q
0.9573,2013-11-01 00:00:00,HF0000065Q
0.936,2013-11-15 00:00:00,HF0000065Q
0.9268,2013-11-22 00:00:00,HF0000065Q
0.944,2013-11-29 00:00:00,HF0000065Q
0.8851,2013-12-06 00:00:00,HF0000065Q
0.8914,2013-12-13 00:00:00,HF0000065Q
0.8626,2013-12-20 00:00:00,HF0000065Q
0.8635,2013-12-27 00:00:00,HF0000065Q
0.8606,2014-01-03 00:00:00,HF0000065Q
0.8534,2014-01-10 00:00:00,HF0000065Q
0.8534,2014-01-17 00:00:00,HF0000065Q
0.8543,2014-02-07 00:00:00,HF0000065Q
0.8534,2014-02-14 00:00:00,HF0000065Q
0.8532,2014-02-21 00:00:00,HF0000065Q
0.8541,2014-02-28 00:00:00,HF0000065Q
0.8566,2014-03-07 00:00:00,HF0000065Q
0.8682,2014-03-14 00:00:00,HF0000065Q
0.8604,2014-03-21 00:00:00,HF0000065Q
0.8517,2014-04-04 00:00:00,HF0000065Q
0.8515,2014-04-11 00:00:00,HF0000065Q
0.8507,2014-04-18 00:00:00,HF0000065Q
0.8505,2014-04-25 00:00:00,HF0000065Q
0.8504,2014-04-30 00:00:00,HF0000065Q
0.8504,2014-05-09 00:00:00,HF0000065Q
0.8511,2014-05-23 00:00:00,HF0000065Q
0.8523,2014-06-06 00:00:00,HF0000065Q
0.8628,2014-06-13 00:00:00,HF0000065Q
0.8562,2014-06-20 00:00:00,HF0000065Q
0.8642,2014-06-27 00:00:00,HF0000065Q
0.8683,2014-07-04 00:00:00,HF0000065Q
0.8967,2014-07-21 00:00:00,HF0000065Q
0.9426,2014-07-25 00:00:00,HF0000065Q
0.9566,2014-08-01 00:00:00,HF0000065Q
1.0026,2014-08-08 00:00:00,HF0000065Q
1.0976,2014-08-15 00:00:00,HF0000065Q
1.0604,2014-08-22 00:00:00,HF0000065Q
1.044,2014-08-29 00:00:00,HF0000065Q
1.0553,2014-09-05 00:00:00,HF0000065Q
1.0,2015-07-17 00:00:00,HF0000065Q
1.0,2015-07-24 00:00:00,HF0000065Q
1.0,2015-07-31 00:00:00,HF0000065Q
1.0,2015-08-07 00:00:00,HF0000065Q
