value,date,id
1.0,2013-09-09 00:00:00,HF0000067C
1.001,2013-09-10 00:00:00,HF0000067C
0.997,2013-09-11 00:00:00,HF0000067C
1.0,2013-09-12 00:00:00,HF0000067C
0.996,2013-09-13 00:00:00,HF0000067C
0.996,2013-09-16 00:00:00,HF0000067C
1.005,2013-09-17 00:00:00,HF0000067C
1.01,2013-09-18 00:00:00,HF0000067C
1.013,2013-09-23 00:00:00,HF0000067C
0.986,2013-09-24 00:00:00,HF0000067C
0.998,2013-09-25 00:00:00,HF0000067C
0.988,2013-09-26 00:00:00,HF0000067C
1.008,2013-09-27 00:00:00,HF0000067C
1.017,2013-09-30 00:00:00,HF0000067C
1.025,2013-10-08 00:00:00,HF0000067C
0.999,2013-10-09 00:00:00,HF0000067C
1.0,2013-10-10 00:00:00,HF0000067C
0.982,2013-10-11 00:00:00,HF0000067C
0.999,2013-10-14 00:00:00,HF0000067C
0.985,2013-10-15 00:00:00,HF0000067C
0.973,2013-10-16 00:00:00,HF0000067C
0.973,2013-10-17 00:00:00,HF0000067C
0.95,2013-10-18 00:00:00,HF0000067C
0.956,2013-10-21 00:00:00,HF0000067C
0.949,2013-10-22 00:00:00,HF0000067C
0.95,2013-10-23 00:00:00,HF0000067C
0.948,2013-10-24 00:00:00,HF0000067C
0.942,2013-10-25 00:00:00,HF0000067C
0.948,2013-10-28 00:00:00,HF0000067C
0.944,2013-10-29 00:00:00,HF0000067C
0.928,2013-10-30 00:00:00,HF0000067C
0.927,2013-10-31 00:00:00,HF0000067C
0.906,2013-11-01 00:00:00,HF0000067C
0.906,2013-11-04 00:00:00,HF0000067C
0.906,2013-11-05 00:00:00,HF0000067C
0.884,2013-11-08 00:00:00,HF0000067C
0.89,2013-11-15 00:00:00,HF0000067C
0.902,2013-11-22 00:00:00,HF0000067C
0.896,2013-11-29 00:00:00,HF0000067C
0.898,2013-12-02 00:00:00,HF0000067C
0.885,2013-12-06 00:00:00,HF0000067C
0.9,2013-12-09 00:00:00,HF0000067C
0.867,2013-12-13 00:00:00,HF0000067C
0.871,2013-12-20 00:00:00,HF0000067C
0.913,2013-12-27 00:00:00,HF0000067C
0.959,2013-12-31 00:00:00,HF0000067C
0.992,2014-01-03 00:00:00,HF0000067C
1.057,2014-01-10 00:00:00,HF0000067C
1.089,2014-01-17 00:00:00,HF0000067C
1.062,2014-01-24 00:00:00,HF0000067C
1.113,2014-01-30 00:00:00,HF0000067C
1.079,2014-02-07 00:00:00,HF0000067C
1.055,2014-02-10 00:00:00,HF0000067C
1.062,2014-02-11 00:00:00,HF0000067C
1.075,2014-02-12 00:00:00,HF0000067C
1.071,2014-02-13 00:00:00,HF0000067C
1.084,2014-02-14 00:00:00,HF0000067C
1.076,2014-02-17 00:00:00,HF0000067C
1.072,2014-02-18 00:00:00,HF0000067C
1.09,2014-02-19 00:00:00,HF0000067C
1.078,2014-02-20 00:00:00,HF0000067C
1.076,2014-02-21 00:00:00,HF0000067C
1.091,2014-02-28 00:00:00,HF0000067C
1.141,2014-03-03 00:00:00,HF0000067C
1.173,2014-03-04 00:00:00,HF0000067C
1.243,2014-03-07 00:00:00,HF0000067C
1.322,2014-03-10 00:00:00,HF0000067C
1.36,2014-03-11 00:00:00,HF0000067C
1.35,2014-03-12 00:00:00,HF0000067C
1.323,2014-03-13 00:00:00,HF0000067C
1.322,2014-03-14 00:00:00,HF0000067C
1.294,2014-03-17 00:00:00,HF0000067C
1.281,2014-03-18 00:00:00,HF0000067C
1.262,2014-03-19 00:00:00,HF0000067C
1.239,2014-03-20 00:00:00,HF0000067C
1.255,2014-03-21 00:00:00,HF0000067C
1.189,2014-03-28 00:00:00,HF0000067C
1.185,2014-03-31 00:00:00,HF0000067C
1.191,2014-04-04 00:00:00,HF0000067C
1.161,2014-04-11 00:00:00,HF0000067C
1.153,2014-04-18 00:00:00,HF0000067C
1.157,2014-04-25 00:00:00,HF0000067C
1.219,2014-04-30 00:00:00,HF0000067C
1.199,2014-05-05 00:00:00,HF0000067C
1.195,2014-05-06 00:00:00,HF0000067C
1.204,2014-05-07 00:00:00,HF0000067C
1.234,2014-05-08 00:00:00,HF0000067C
1.24,2014-05-09 00:00:00,HF0000067C
1.201,2014-05-12 00:00:00,HF0000067C
