value,date,id
1.0,2013-09-22 00:00:00,HF0000069D
1.0,2013-09-24 00:00:00,HF0000069D
0.9787,2013-09-27 00:00:00,HF0000069D
1.0029,2013-09-30 00:00:00,HF0000069D
1.0315,2013-10-11 00:00:00,HF0000069D
1.0184,2013-10-15 00:00:00,HF0000069D
0.9967,2013-10-18 00:00:00,HF0000069D
0.9589,2013-10-25 00:00:00,HF0000069D
0.9299,2013-10-31 00:00:00,HF0000069D
0.9186,2013-11-01 00:00:00,HF0000069D
0.9026,2013-11-08 00:00:00,HF0000069D
0.9771,2013-11-15 00:00:00,HF0000069D
1.0034,2013-11-22 00:00:00,HF0000069D
1.085,2013-11-29 00:00:00,HF0000069D
0.9581,2013-12-06 00:00:00,HF0000069D
1.0291,2013-12-13 00:00:00,HF0000069D
1.0031,2013-12-20 00:00:00,HF0000069D
1.0738,2013-12-27 00:00:00,HF0000069D
1.0841,2013-12-31 00:00:00,HF0000069D
1.1049,2014-01-03 00:00:00,HF0000069D
1.0815,2014-01-10 00:00:00,HF0000069D
1.1319,2014-01-15 00:00:00,HF0000069D
1.1451,2014-01-17 00:00:00,HF0000069D
1.2338,2014-01-24 00:00:00,HF0000069D
1.2738,2014-01-30 00:00:00,HF0000069D
1.3102,2014-02-07 00:00:00,HF0000069D
1.321,2014-02-14 00:00:00,HF0000069D
1.3565,2014-02-21 00:00:00,HF0000069D
1.2651,2014-02-28 00:00:00,HF0000069D
1.3651,2014-03-07 00:00:00,HF0000069D
1.3922,2014-03-14 00:00:00,HF0000069D
1.4825,2014-03-21 00:00:00,HF0000069D
1.3339,2014-03-28 00:00:00,HF0000069D
1.3393,2014-03-31 00:00:00,HF0000069D
1.38,2014-04-04 00:00:00,HF0000069D
1.3769,2014-04-11 00:00:00,HF0000069D
1.3723,2014-04-15 00:00:00,HF0000069D
1.4004,2014-04-18 00:00:00,HF0000069D
1.3419,2014-04-25 00:00:00,HF0000069D
1.3464,2014-04-30 00:00:00,HF0000069D
1.2963,2014-05-09 00:00:00,HF0000069D
1.3206,2014-05-15 00:00:00,HF0000069D
1.2721,2014-05-16 00:00:00,HF0000069D
1.381,2014-05-23 00:00:00,HF0000069D
1.4192,2014-05-30 00:00:00,HF0000069D
1.4027,2014-06-06 00:00:00,HF0000069D
1.4114,2014-06-13 00:00:00,HF0000069D
1.3878,2014-06-20 00:00:00,HF0000069D
1.4416,2014-06-27 00:00:00,HF0000069D
1.4574,2014-06-30 00:00:00,HF0000069D
1.4584,2014-07-04 00:00:00,HF0000069D
1.405,2014-07-11 00:00:00,HF0000069D
1.3592,2014-07-15 00:00:00,HF0000069D
1.3613,2014-07-18 00:00:00,HF0000069D
1.2907,2014-07-25 00:00:00,HF0000069D
1.3399,2014-07-31 00:00:00,HF0000069D
1.3188,2014-08-01 00:00:00,HF0000069D
1.3514,2014-08-08 00:00:00,HF0000069D
1.3348,2014-08-15 00:00:00,HF0000069D
1.4094,2014-08-22 00:00:00,HF0000069D
1.3795,2014-08-29 00:00:00,HF0000069D
1.4629,2014-09-05 00:00:00,HF0000069D
1.4562,2014-09-12 00:00:00,HF0000069D
1.4653,2014-09-15 00:00:00,HF0000069D
1.4521,2014-09-19 00:00:00,HF0000069D
1.4793,2014-09-26 00:00:00,HF0000069D
1.4978,2014-09-30 00:00:00,HF0000069D
1.5191,2014-10-10 00:00:00,HF0000069D
1.5058,2014-10-15 00:00:00,HF0000069D
1.4936,2014-10-17 00:00:00,HF0000069D
1.4789,2014-10-24 00:00:00,HF0000069D
1.5244,2014-10-31 00:00:00,HF0000069D
1.5049,2014-11-07 00:00:00,HF0000069D
1.4574,2014-11-14 00:00:00,HF0000069D
1.5268,2014-11-21 00:00:00,HF0000069D
1.5843,2014-11-28 00:00:00,HF0000069D
1.6004,2014-12-05 00:00:00,HF0000069D
1.5524,2014-12-12 00:00:00,HF0000069D
1.5984,2014-12-15 00:00:00,HF0000069D
1.5431,2014-12-19 00:00:00,HF0000069D
1.4869,2014-12-26 00:00:00,HF0000069D
1.4573,2014-12-31 00:00:00,HF0000069D
1.4207,2015-01-09 00:00:00,HF0000069D
1.4644,2015-01-15 00:00:00,HF0000069D
1.4871,2015-01-16 00:00:00,HF0000069D
1.5775,2015-01-23 00:00:00,HF0000069D
1.5587,2015-01-30 00:00:00,HF0000069D
1.5227,2015-02-06 00:00:00,HF0000069D
1.6262,2015-02-13 00:00:00,HF0000069D
1.636,2015-02-17 00:00:00,HF0000069D
1.6349,2015-02-27 00:00:00,HF0000069D
1.6309,2015-03-06 00:00:00,HF0000069D
1.6655,2015-03-13 00:00:00,HF0000069D
1.8534,2015-03-20 00:00:00,HF0000069D
2.0096,2015-03-27 00:00:00,HF0000069D
1.9626,2015-03-31 00:00:00,HF0000069D
2.1106,2015-04-03 00:00:00,HF0000069D
2.3353,2015-04-10 00:00:00,HF0000069D
2.2162,2015-04-15 00:00:00,HF0000069D
2.2578,2015-04-17 00:00:00,HF0000069D
2.3519,2015-04-24 00:00:00,HF0000069D
2.255,2015-04-30 00:00:00,HF0000069D
2.2286,2015-05-08 00:00:00,HF0000069D
2.1689,2015-05-15 00:00:00,HF0000069D
2.3686,2015-05-22 00:00:00,HF0000069D
2.3014,2015-05-29 00:00:00,HF0000069D
2.4104,2015-06-05 00:00:00,HF0000069D
2.4454,2015-06-12 00:00:00,HF0000069D
2.4185,2015-06-15 00:00:00,HF0000069D
2.1829,2015-06-19 00:00:00,HF0000069D
1.9915,2015-06-26 00:00:00,HF0000069D
1.9488,2015-06-30 00:00:00,HF0000069D
1.7646,2015-07-03 00:00:00,HF0000069D
1.7543,2015-07-10 00:00:00,HF0000069D
1.7549,2015-07-15 00:00:00,HF0000069D
1.7546,2015-07-17 00:00:00,HF0000069D
1.7544,2015-07-24 00:00:00,HF0000069D
1.7397,2015-07-31 00:00:00,HF0000069D
1.7432,2015-08-07 00:00:00,HF0000069D
