value,date,id
1.0,2013-10-15 00:00:00,HF000006EI
0.995,2013-10-25 00:00:00,HF000006EI
0.9952,2013-11-01 00:00:00,HF000006EI
0.9832,2013-11-08 00:00:00,HF000006EI
0.9967,2013-11-15 00:00:00,HF000006EI
1.0002,2013-11-22 00:00:00,HF000006EI
1.034,2013-11-29 00:00:00,HF000006EI
1.0161,2013-12-06 00:00:00,HF000006EI
1.0115,2013-12-13 00:00:00,HF000006EI
0.9987,2013-12-20 00:00:00,HF000006EI
1.0013,2013-12-27 00:00:00,HF000006EI
1.0291,2014-01-03 00:00:00,HF000006EI
1.0301,2014-01-10 00:00:00,HF000006EI
1.0263,2014-01-17 00:00:00,HF000006EI
1.0538,2014-01-24 00:00:00,HF000006EI
1.0648,2014-01-30 00:00:00,HF000006EI
1.0683,2014-02-07 00:00:00,HF000006EI
1.1029,2014-02-14 00:00:00,HF000006EI
1.1129,2014-02-21 00:00:00,HF000006EI
1.0981,2014-02-28 00:00:00,HF000006EI
1.0911,2014-03-07 00:00:00,HF000006EI
1.0841,2014-03-14 00:00:00,HF000006EI
1.0885,2014-03-21 00:00:00,HF000006EI
1.08,2014-03-28 00:00:00,HF000006EI
1.0872,2014-04-04 00:00:00,HF000006EI
1.0976,2014-04-11 00:00:00,HF000006EI
1.0985,2014-04-18 00:00:00,HF000006EI
1.0728,2014-04-25 00:00:00,HF000006EI
1.0722,2014-04-30 00:00:00,HF000006EI
1.0681,2014-05-09 00:00:00,HF000006EI
1.0682,2014-05-16 00:00:00,HF000006EI
1.0706,2014-05-23 00:00:00,HF000006EI
1.0762,2014-05-30 00:00:00,HF000006EI
1.075,2014-06-06 00:00:00,HF000006EI
1.0893,2014-06-13 00:00:00,HF000006EI
1.0798,2014-06-20 00:00:00,HF000006EI
1.0926,2014-06-27 00:00:00,HF000006EI
1.1093,2014-07-04 00:00:00,HF000006EI
1.114,2014-07-11 00:00:00,HF000006EI
1.1164,2014-07-18 00:00:00,HF000006EI
1.1293,2014-07-25 00:00:00,HF000006EI
1.1493,2014-08-01 00:00:00,HF000006EI
1.1573,2014-08-08 00:00:00,HF000006EI
1.1577,2014-08-15 00:00:00,HF000006EI
1.1645,2014-08-22 00:00:00,HF000006EI
1.1563,2014-08-29 00:00:00,HF000006EI
1.1714,2014-09-05 00:00:00,HF000006EI
1.1775,2014-09-12 00:00:00,HF000006EI
1.1831,2014-09-19 00:00:00,HF000006EI
1.1936,2014-09-26 00:00:00,HF000006EI
1.2,2014-09-30 00:00:00,HF000006EI
1.2059,2014-10-10 00:00:00,HF000006EI
1.1889,2014-10-17 00:00:00,HF000006EI
1.1761,2014-10-24 00:00:00,HF000006EI
1.2064,2014-10-31 00:00:00,HF000006EI
1.198,2014-11-07 00:00:00,HF000006EI
1.2008,2014-11-14 00:00:00,HF000006EI
1.2043,2014-11-21 00:00:00,HF000006EI
1.2771,2014-11-28 00:00:00,HF000006EI
1.4174,2014-12-05 00:00:00,HF000006EI
1.4115,2014-12-12 00:00:00,HF000006EI
1.4886,2014-12-19 00:00:00,HF000006EI
1.4866,2014-12-26 00:00:00,HF000006EI
1.4983,2014-12-31 00:00:00,HF000006EI
1.4838,2015-01-09 00:00:00,HF000006EI
1.5272,2015-01-16 00:00:00,HF000006EI
1.5076,2015-01-23 00:00:00,HF000006EI
1.4657,2015-01-30 00:00:00,HF000006EI
1.4351,2015-02-06 00:00:00,HF000006EI
1.5058,2015-02-13 00:00:00,HF000006EI
1.5441,2015-02-17 00:00:00,HF000006EI
1.5647,2015-02-27 00:00:00,HF000006EI
1.5009,2015-03-06 00:00:00,HF000006EI
1.5453,2015-03-13 00:00:00,HF000006EI
1.6693,2015-03-20 00:00:00,HF000006EI
1.7616,2015-03-27 00:00:00,HF000006EI
1.8065,2015-04-03 00:00:00,HF000006EI
1.8653,2015-04-10 00:00:00,HF000006EI
1.924,2015-04-17 00:00:00,HF000006EI
1.9258,2015-04-24 00:00:00,HF000006EI
1.9737,2015-04-30 00:00:00,HF000006EI
1.8669,2015-05-08 00:00:00,HF000006EI
1.9082,2015-05-15 00:00:00,HF000006EI
2.091,2015-05-22 00:00:00,HF000006EI
2.0609,2015-05-29 00:00:00,HF000006EI
2.2246,2015-06-05 00:00:00,HF000006EI
2.2669,2015-06-12 00:00:00,HF000006EI
1.9851,2015-06-19 00:00:00,HF000006EI
1.8781,2015-06-26 00:00:00,HF000006EI
1.6717,2015-07-03 00:00:00,HF000006EI
1.641,2015-07-10 00:00:00,HF000006EI
1.6903,2015-07-17 00:00:00,HF000006EI
1.7014,2015-07-24 00:00:00,HF000006EI
1.6205,2015-07-31 00:00:00,HF000006EI
1.6455,2015-08-07 00:00:00,HF000006EI
