value,date,id
1.0,2013-11-01 00:00:00,HF000006HB
0.987,2013-11-08 00:00:00,HF000006HB
1.01,2013-11-15 00:00:00,HF000006HB
1.031,2013-11-22 00:00:00,HF000006HB
1.043,2013-11-29 00:00:00,HF000006HB
1.039,2013-12-06 00:00:00,HF000006HB
1.041,2013-12-13 00:00:00,HF000006HB
1.032,2013-12-17 00:00:00,HF000006HB
1.033,2013-12-18 00:00:00,HF000006HB
1.012,2013-12-20 00:00:00,HF000006HB
1.017,2013-12-27 00:00:00,HF000006HB
1.021,2013-12-31 00:00:00,HF000006HB
1.018,2014-01-03 00:00:00,HF000006HB
0.981,2014-01-10 00:00:00,HF000006HB
0.987,2014-01-17 00:00:00,HF000006HB
1.018,2014-01-24 00:00:00,HF000006HB
1.012,2014-01-30 00:00:00,HF000006HB
1.019,2014-02-07 00:00:00,HF000006HB
1.037,2014-02-10 00:00:00,HF000006HB
1.044,2014-02-11 00:00:00,HF000006HB
1.053,2014-02-12 00:00:00,HF000006HB
1.052,2014-02-14 00:00:00,HF000006HB
1.052,2014-02-21 00:00:00,HF000006HB
1.026,2014-02-28 00:00:00,HF000006HB
1.024,2014-03-07 00:00:00,HF000006HB
0.999,2014-03-10 00:00:00,HF000006HB
1.001,2014-03-11 00:00:00,HF000006HB
1.002,2014-03-12 00:00:00,HF000006HB
1.006,2014-03-14 00:00:00,HF000006HB
1.024,2014-03-21 00:00:00,HF000006HB
1.01,2014-03-28 00:00:00,HF000006HB
1.022,2014-04-04 00:00:00,HF000006HB
1.039,2014-04-10 00:00:00,HF000006HB
1.04,2014-04-11 00:00:00,HF000006HB
1.043,2014-04-14 00:00:00,HF000006HB
1.039,2014-04-18 00:00:00,HF000006HB
1.005,2014-04-30 00:00:00,HF000006HB
0.995873,2014-05-09 00:00:00,HF000006HB
1.009057,2014-05-12 00:00:00,HF000006HB
1.008043,2014-05-13 00:00:00,HF000006HB
1.006015,2014-05-14 00:00:00,HF000006HB
0.99486,2014-05-16 00:00:00,HF000006HB
1.00703,2014-05-23 00:00:00,HF000006HB
1.010072,2014-05-30 00:00:00,HF000006HB
1.013114,2014-06-06 00:00:00,HF000006HB
1.017171,2014-06-10 00:00:00,HF000006HB
1.019199,2014-06-11 00:00:00,HF000006HB
1.016157,2014-06-12 00:00:00,HF000006HB
1.022242,2014-06-13 00:00:00,HF000006HB
1.010072,2014-06-20 00:00:00,HF000006HB
1.026298,2014-06-27 00:00:00,HF000006HB
1.044552,2014-07-04 00:00:00,HF000006HB
1.036439,2014-07-10 00:00:00,HF000006HB
1.040496,2014-07-11 00:00:00,HF000006HB
1.047595,2014-07-14 00:00:00,HF000006HB
1.039482,2014-07-18 00:00:00,HF000006HB
1.042524,2014-07-25 00:00:00,HF000006HB
1.05875,2014-08-01 00:00:00,HF000006HB
1.065849,2014-08-08 00:00:00,HF000006HB
1.07599,2014-08-11 00:00:00,HF000006HB
1.07599,2014-08-12 00:00:00,HF000006HB
1.077004,2014-08-13 00:00:00,HF000006HB
1.080046,2014-08-15 00:00:00,HF000006HB
1.089173,2014-08-22 00:00:00,HF000006HB
1.075989,2014-08-29 00:00:00,HF000006HB
1.108441,2014-09-05 00:00:00,HF000006HB
1.107427,2014-09-10 00:00:00,HF000006HB
1.107427,2014-09-11 00:00:00,HF000006HB
1.111484,2014-09-12 00:00:00,HF000006HB
1.115541,2014-09-19 00:00:00,HF000006HB
1.131767,2014-09-26 00:00:00,HF000006HB
1.143937,2014-09-30 00:00:00,HF000006HB
1.150022,2014-10-13 00:00:00,HF000006HB
1.150022,2014-10-14 00:00:00,HF000006HB
1.138867,2014-10-17 00:00:00,HF000006HB
1.131768,2014-10-24 00:00:00,HF000006HB
1.175376,2014-10-31 00:00:00,HF000006HB
1.176466,2014-11-07 00:00:00,HF000006HB
1.187369,2014-11-10 00:00:00,HF000006HB
1.177556,2014-11-11 00:00:00,HF000006HB
1.185188,2014-11-12 00:00:00,HF000006HB
1.169923,2014-11-14 00:00:00,HF000006HB
1.180826,2014-11-21 00:00:00,HF000006HB
