value,date,id
1.0,2013-11-07 00:00:00,HF000006JS
1.0213,2013-11-22 00:00:00,HF000006JS
1.0436,2013-11-29 00:00:00,HF000006JS
0.9832,2013-12-06 00:00:00,HF000006JS
1.0275,2013-12-13 00:00:00,HF000006JS
1.0154,2013-12-20 00:00:00,HF000006JS
1.0798,2013-12-27 00:00:00,HF000006JS
1.0895,2013-12-31 00:00:00,HF000006JS
1.0987,2014-01-03 00:00:00,HF000006JS
1.0396,2014-01-10 00:00:00,HF000006JS
1.0621,2014-01-17 00:00:00,HF000006JS
1.1129,2014-01-24 00:00:00,HF000006JS
1.1239,2014-01-30 00:00:00,HF000006JS
1.1516,2014-02-07 00:00:00,HF000006JS
1.1405,2014-02-14 00:00:00,HF000006JS
1.1532,2014-02-21 00:00:00,HF000006JS
1.0824,2014-02-28 00:00:00,HF000006JS
1.0953,2014-03-07 00:00:00,HF000006JS
1.0582,2014-03-14 00:00:00,HF000006JS
1.0174,2014-03-21 00:00:00,HF000006JS
0.9527,2014-03-28 00:00:00,HF000006JS
0.9393,2014-03-31 00:00:00,HF000006JS
0.9516,2014-04-04 00:00:00,HF000006JS
0.9991,2014-04-11 00:00:00,HF000006JS
0.968,2014-04-18 00:00:00,HF000006JS
0.9195,2014-04-25 00:00:00,HF000006JS
0.9244,2014-04-30 00:00:00,HF000006JS
0.8936,2014-05-09 00:00:00,HF000006JS
0.8986,2014-05-16 00:00:00,HF000006JS
0.906,2014-05-23 00:00:00,HF000006JS
0.9042,2014-05-30 00:00:00,HF000006JS
0.9071,2014-06-06 00:00:00,HF000006JS
0.9178,2014-06-13 00:00:00,HF000006JS
0.8899,2014-06-20 00:00:00,HF000006JS
0.9272,2014-06-27 00:00:00,HF000006JS
0.9347,2014-06-30 00:00:00,HF000006JS
0.9543,2014-07-04 00:00:00,HF000006JS
0.9493,2014-07-11 00:00:00,HF000006JS
0.9794,2014-07-18 00:00:00,HF000006JS
1.0302,2014-07-25 00:00:00,HF000006JS
1.0467,2014-07-31 00:00:00,HF000006JS
1.0353,2014-08-01 00:00:00,HF000006JS
1.0401,2014-08-08 00:00:00,HF000006JS
1.0511,2014-08-15 00:00:00,HF000006JS
1.0488,2014-08-22 00:00:00,HF000006JS
1.0346,2014-08-29 00:00:00,HF000006JS
1.0635,2014-09-05 00:00:00,HF000006JS
1.0647,2014-09-12 00:00:00,HF000006JS
1.0053,2014-09-19 00:00:00,HF000006JS
1.0096,2014-09-26 00:00:00,HF000006JS
1.0377,2014-09-30 00:00:00,HF000006JS
1.053,2014-10-10 00:00:00,HF000006JS
1.0411,2014-10-17 00:00:00,HF000006JS
1.041,2014-10-24 00:00:00,HF000006JS
1.077,2014-10-31 00:00:00,HF000006JS
1.0747,2014-11-07 00:00:00,HF000006JS
1.0287,2014-11-14 00:00:00,HF000006JS
1.0548,2014-11-21 00:00:00,HF000006JS
1.1079,2014-11-28 00:00:00,HF000006JS
1.0696,2014-12-05 00:00:00,HF000006JS
1.0281,2014-12-12 00:00:00,HF000006JS
1.2368,2014-12-19 00:00:00,HF000006JS
1.362,2014-12-26 00:00:00,HF000006JS
1.3628,2014-12-31 00:00:00,HF000006JS
1.3511,2015-01-09 00:00:00,HF000006JS
1.3913,2015-01-16 00:00:00,HF000006JS
1.4899,2015-01-23 00:00:00,HF000006JS
1.3376,2015-01-30 00:00:00,HF000006JS
1.3541,2015-02-06 00:00:00,HF000006JS
1.4868,2015-02-13 00:00:00,HF000006JS
1.4933,2015-02-27 00:00:00,HF000006JS
1.5003,2015-03-06 00:00:00,HF000006JS
1.5232,2015-03-13 00:00:00,HF000006JS
1.6543,2015-03-20 00:00:00,HF000006JS
1.7486,2015-03-27 00:00:00,HF000006JS
1.7145,2015-03-31 00:00:00,HF000006JS
1.8332,2015-04-03 00:00:00,HF000006JS
1.8855,2015-04-10 00:00:00,HF000006JS
1.8962,2015-04-17 00:00:00,HF000006JS
1.8397,2015-04-24 00:00:00,HF000006JS
1.7933,2015-04-30 00:00:00,HF000006JS
1.9491,2015-05-08 00:00:00,HF000006JS
2.0749,2015-05-15 00:00:00,HF000006JS
2.201,2015-05-22 00:00:00,HF000006JS
2.0263,2015-05-29 00:00:00,HF000006JS
2.2628,2015-06-05 00:00:00,HF000006JS
2.2875,2015-06-12 00:00:00,HF000006JS
1.9767,2015-06-19 00:00:00,HF000006JS
1.854,2015-06-26 00:00:00,HF000006JS
1.8783,2015-07-03 00:00:00,HF000006JS
1.8785,2015-07-10 00:00:00,HF000006JS
1.8786,2015-07-17 00:00:00,HF000006JS
1.8787,2015-07-24 00:00:00,HF000006JS
1.9804,2015-07-31 00:00:00,HF000006JS
1.9546,2015-08-07 00:00:00,HF000006JS
