value,date,id
1.0,2013-10-31 00:00:00,HF000006KC
0.997,2013-11-01 00:00:00,HF000006KC
0.9772,2013-11-08 00:00:00,HF000006KC
1.0046,2013-11-15 00:00:00,HF000006KC
1.0451,2013-11-22 00:00:00,HF000006KC
1.1181,2013-11-29 00:00:00,HF000006KC
1.0403,2013-12-06 00:00:00,HF000006KC
1.0392,2013-12-13 00:00:00,HF000006KC
1.0391,2013-12-20 00:00:00,HF000006KC
1.0398,2013-12-27 00:00:00,HF000006KC
1.0388,2013-12-31 00:00:00,HF000006KC
1.0386,2014-01-03 00:00:00,HF000006KC
1.0377,2014-01-10 00:00:00,HF000006KC
1.0387,2014-01-17 00:00:00,HF000006KC
1.0444,2014-01-24 00:00:00,HF000006KC
1.0406,2014-01-30 00:00:00,HF000006KC
1.0708,2014-02-07 00:00:00,HF000006KC
1.0627,2014-02-14 00:00:00,HF000006KC
1.0431,2014-02-21 00:00:00,HF000006KC
1.0191,2014-02-28 00:00:00,HF000006KC
1.0184,2014-03-07 00:00:00,HF000006KC
1.0057,2014-03-14 00:00:00,HF000006KC
1.0142,2014-03-21 00:00:00,HF000006KC
0.9779,2014-03-31 00:00:00,HF000006KC
0.9859,2014-04-04 00:00:00,HF000006KC
0.986,2014-04-11 00:00:00,HF000006KC
0.9935,2014-04-18 00:00:00,HF000006KC
0.9698,2014-04-25 00:00:00,HF000006KC
0.9621,2014-04-30 00:00:00,HF000006KC
0.9632,2014-05-09 00:00:00,HF000006KC
0.9552,2014-05-16 00:00:00,HF000006KC
0.9581,2014-05-23 00:00:00,HF000006KC
0.9692,2014-05-30 00:00:00,HF000006KC
0.9807,2014-06-06 00:00:00,HF000006KC
1.0049,2014-06-13 00:00:00,HF000006KC
0.9809,2014-06-20 00:00:00,HF000006KC
1.0206,2014-06-27 00:00:00,HF000006KC
1.0322,2014-06-30 00:00:00,HF000006KC
1.0435,2014-07-04 00:00:00,HF000006KC
1.0325,2014-07-11 00:00:00,HF000006KC
0.9996,2014-07-18 00:00:00,HF000006KC
0.9854,2014-07-25 00:00:00,HF000006KC
1.0299,2014-07-31 00:00:00,HF000006KC
1.0176,2014-08-01 00:00:00,HF000006KC
1.0514,2014-08-08 00:00:00,HF000006KC
1.0725,2014-08-15 00:00:00,HF000006KC
1.1146,2014-08-22 00:00:00,HF000006KC
1.0918,2014-08-29 00:00:00,HF000006KC
1.1571,2014-09-05 00:00:00,HF000006KC
1.1892,2014-09-12 00:00:00,HF000006KC
1.1922,2014-09-19 00:00:00,HF000006KC
1.2213,2014-09-26 00:00:00,HF000006KC
1.2186,2014-09-30 00:00:00,HF000006KC
1.2253,2014-10-10 00:00:00,HF000006KC
1.1888,2014-10-17 00:00:00,HF000006KC
1.1664,2014-10-24 00:00:00,HF000006KC
1.2062,2014-10-31 00:00:00,HF000006KC
1.2171,2014-11-07 00:00:00,HF000006KC
1.1587,2014-11-14 00:00:00,HF000006KC
1.2078,2014-11-21 00:00:00,HF000006KC
1.2669,2014-11-28 00:00:00,HF000006KC
1.2632,2014-12-05 00:00:00,HF000006KC
1.2419,2014-12-12 00:00:00,HF000006KC
1.1988,2014-12-19 00:00:00,HF000006KC
1.1742,2014-12-26 00:00:00,HF000006KC
1.1409,2014-12-31 00:00:00,HF000006KC
1.1613,2015-01-09 00:00:00,HF000006KC
1.189,2015-01-16 00:00:00,HF000006KC
1.2196,2015-01-23 00:00:00,HF000006KC
1.2241,2015-01-30 00:00:00,HF000006KC
1.2692,2015-02-06 00:00:00,HF000006KC
1.3462,2015-02-13 00:00:00,HF000006KC
1.3752,2015-02-27 00:00:00,HF000006KC
1.4082,2015-03-06 00:00:00,HF000006KC
1.4925,2015-03-13 00:00:00,HF000006KC
1.6163,2015-03-20 00:00:00,HF000006KC
1.7232,2015-03-27 00:00:00,HF000006KC
1.6632,2015-03-31 00:00:00,HF000006KC
1.8156,2015-04-03 00:00:00,HF000006KC
1.8773,2015-04-10 00:00:00,HF000006KC
1.8445,2015-04-17 00:00:00,HF000006KC
1.9951,2015-04-24 00:00:00,HF000006KC
1.946,2015-04-30 00:00:00,HF000006KC
2.0392,2015-05-08 00:00:00,HF000006KC
2.2362,2015-05-15 00:00:00,HF000006KC
2.5153,2015-05-22 00:00:00,HF000006KC
2.4662,2015-05-29 00:00:00,HF000006KC
2.6066,2015-06-05 00:00:00,HF000006KC
2.5682,2015-06-12 00:00:00,HF000006KC
2.5517,2015-06-19 00:00:00,HF000006KC
2.4008,2015-06-26 00:00:00,HF000006KC
2.3087,2015-06-30 00:00:00,HF000006KC
1.7993,2015-07-17 00:00:00,HF000006KC
1.8295,2015-07-24 00:00:00,HF000006KC
1.8183,2015-07-31 00:00:00,HF000006KC
