value,date,id
1.0,2013-11-04 00:00:00,HF000006LH
1.0003,2013-11-05 00:00:00,HF000006LH
1.0005,2013-11-06 00:00:00,HF000006LH
1.0007,2013-11-07 00:00:00,HF000006LH
1.0009,2013-11-08 00:00:00,HF000006LH
1.0016,2013-11-11 00:00:00,HF000006LH
1.0018,2013-11-12 00:00:00,HF000006LH
1.002,2013-11-13 00:00:00,HF000006LH
1.0022,2013-11-14 00:00:00,HF000006LH
1.003,2013-11-18 00:00:00,HF000006LH
1.0032,2013-11-19 00:00:00,HF000006LH
1.0037,2013-11-22 00:00:00,HF000006LH
1.0052,2013-11-29 00:00:00,HF000006LH
1.0066,2013-12-06 00:00:00,HF000006LH
1.008,2013-12-13 00:00:00,HF000006LH
1.0093,2013-12-20 00:00:00,HF000006LH
1.0107,2013-12-27 00:00:00,HF000006LH
1.0121,2014-01-03 00:00:00,HF000006LH
1.0135,2014-01-10 00:00:00,HF000006LH
1.015,2014-01-17 00:00:00,HF000006LH
1.0164,2014-01-24 00:00:00,HF000006LH
1.0177,2014-01-30 00:00:00,HF000006LH
1.0193,2014-02-07 00:00:00,HF000006LH
1.0208,2014-02-14 00:00:00,HF000006LH
1.0222,2014-02-21 00:00:00,HF000006LH
1.0237,2014-02-28 00:00:00,HF000006LH
1.0252,2014-03-07 00:00:00,HF000006LH
1.0266,2014-03-14 00:00:00,HF000006LH
1.028,2014-03-21 00:00:00,HF000006LH
1.0295,2014-03-28 00:00:00,HF000006LH
1.031,2014-04-04 00:00:00,HF000006LH
1.0325,2014-04-11 00:00:00,HF000006LH
1.034,2014-04-18 00:00:00,HF000006LH
1.0355,2014-04-25 00:00:00,HF000006LH
1.0365,2014-04-30 00:00:00,HF000006LH
1.007,2014-05-09 00:00:00,HF000006LH
1.0084,2014-05-16 00:00:00,HF000006LH
1.0099,2014-05-23 00:00:00,HF000006LH
1.0115,2014-05-30 00:00:00,HF000006LH
1.013,2014-06-06 00:00:00,HF000006LH
1.0145,2014-06-13 00:00:00,HF000006LH
1.016,2014-06-20 00:00:00,HF000006LH
1.0175,2014-06-27 00:00:00,HF000006LH
1.019,2014-07-04 00:00:00,HF000006LH
1.0205,2014-07-11 00:00:00,HF000006LH
1.022,2014-07-18 00:00:00,HF000006LH
1.0235,2014-07-25 00:00:00,HF000006LH
1.025,2014-08-01 00:00:00,HF000006LH
1.0266,2014-08-08 00:00:00,HF000006LH
1.0281,2014-08-15 00:00:00,HF000006LH
1.0296,2014-08-22 00:00:00,HF000006LH
1.0311,2014-08-29 00:00:00,HF000006LH
1.0326,2014-09-05 00:00:00,HF000006LH
1.0341,2014-09-12 00:00:00,HF000006LH
1.0357,2014-09-19 00:00:00,HF000006LH
1.0361,2014-09-26 00:00:00,HF000006LH
1.037,2014-09-30 00:00:00,HF000006LH
1.0406,2014-10-17 00:00:00,HF000006LH
1.0421,2014-10-24 00:00:00,HF000006LH
1.0436,2014-10-31 00:00:00,HF000006LH
1.0099,2014-11-07 00:00:00,HF000006LH
1.0115,2014-11-14 00:00:00,HF000006LH
1.0237,2014-11-21 00:00:00,HF000006LH
1.0256,2014-11-28 00:00:00,HF000006LH
1.0273,2014-12-05 00:00:00,HF000006LH
1.0289,2014-12-12 00:00:00,HF000006LH
1.0306,2014-12-19 00:00:00,HF000006LH
1.0323,2014-12-26 00:00:00,HF000006LH
1.0335,2014-12-31 00:00:00,HF000006LH
1.0357,2015-01-09 00:00:00,HF000006LH
1.0374,2015-01-16 00:00:00,HF000006LH
1.0391,2015-01-23 00:00:00,HF000006LH
1.0408,2015-01-30 00:00:00,HF000006LH
1.0425,2015-02-06 00:00:00,HF000006LH
1.0442,2015-02-13 00:00:00,HF000006LH
1.0452,2015-02-17 00:00:00,HF000006LH
1.0476,2015-02-27 00:00:00,HF000006LH
1.0493,2015-03-06 00:00:00,HF000006LH
1.051,2015-03-13 00:00:00,HF000006LH
1.0499,2015-03-20 00:00:00,HF000006LH
1.0516,2015-03-27 00:00:00,HF000006LH
1.0533,2015-04-03 00:00:00,HF000006LH
1.0471,2015-04-10 00:00:00,HF000006LH
1.0466,2015-04-17 00:00:00,HF000006LH
1.0483,2015-04-24 00:00:00,HF000006LH
1.0497,2015-04-30 00:00:00,HF000006LH
1.0083,2015-05-08 00:00:00,HF000006LH
1.0094,2015-05-15 00:00:00,HF000006LH
1.0112,2015-05-22 00:00:00,HF000006LH
1.0129,2015-05-29 00:00:00,HF000006LH
1.0146,2015-06-05 00:00:00,HF000006LH
1.0163,2015-06-12 00:00:00,HF000006LH
1.0179,2015-06-19 00:00:00,HF000006LH
1.0196,2015-06-26 00:00:00,HF000006LH
1.0213,2015-07-03 00:00:00,HF000006LH
1.023,2015-07-10 00:00:00,HF000006LH
1.0247,2015-07-17 00:00:00,HF000006LH
1.0264,2015-07-24 00:00:00,HF000006LH
1.0281,2015-07-31 00:00:00,HF000006LH
1.0298,2015-08-07 00:00:00,HF000006LH
1.0315,2015-08-14 00:00:00,HF000006LH
