value,date,id
1.0,2013-11-15 00:00:00,HF000006LS
1.0018,2013-11-22 00:00:00,HF000006LS
1.0033,2013-11-29 00:00:00,HF000006LS
1.0048,2013-12-06 00:00:00,HF000006LS
1.0064,2013-12-13 00:00:00,HF000006LS
1.0079,2013-12-20 00:00:00,HF000006LS
1.0094,2013-12-27 00:00:00,HF000006LS
1.011,2014-01-03 00:00:00,HF000006LS
1.0125,2014-01-10 00:00:00,HF000006LS
1.014,2014-01-17 00:00:00,HF000006LS
1.0156,2014-01-24 00:00:00,HF000006LS
1.0169,2014-01-30 00:00:00,HF000006LS
1.0186,2014-02-07 00:00:00,HF000006LS
1.0201,2014-02-14 00:00:00,HF000006LS
1.0217,2014-02-21 00:00:00,HF000006LS
1.0232,2014-02-28 00:00:00,HF000006LS
1.0247,2014-03-07 00:00:00,HF000006LS
1.0263,2014-03-14 00:00:00,HF000006LS
1.0278,2014-03-21 00:00:00,HF000006LS
1.0293,2014-03-28 00:00:00,HF000006LS
1.0309,2014-04-04 00:00:00,HF000006LS
1.0324,2014-04-11 00:00:00,HF000006LS
1.0339,2014-04-18 00:00:00,HF000006LS
1.0355,2014-04-25 00:00:00,HF000006LS
1.0366,2014-04-30 00:00:00,HF000006LS
1.0385,2014-05-09 00:00:00,HF000006LS
1.0401,2014-05-16 00:00:00,HF000006LS
1.0416,2014-05-23 00:00:00,HF000006LS
1.0431,2014-05-30 00:00:00,HF000006LS
1.0446,2014-06-06 00:00:00,HF000006LS
1.0462,2014-06-13 00:00:00,HF000006LS
1.0477,2014-06-20 00:00:00,HF000006LS
1.0492,2014-06-27 00:00:00,HF000006LS
1.0507,2014-07-04 00:00:00,HF000006LS
1.0523,2014-07-11 00:00:00,HF000006LS
1.0538,2014-07-18 00:00:00,HF000006LS
1.0553,2014-07-25 00:00:00,HF000006LS
1.0569,2014-08-01 00:00:00,HF000006LS
1.0584,2014-08-08 00:00:00,HF000006LS
1.0599,2014-08-15 00:00:00,HF000006LS
1.0615,2014-08-22 00:00:00,HF000006LS
1.063,2014-08-29 00:00:00,HF000006LS
1.0645,2014-09-05 00:00:00,HF000006LS
1.0661,2014-09-12 00:00:00,HF000006LS
1.0676,2014-09-19 00:00:00,HF000006LS
1.0691,2014-09-26 00:00:00,HF000006LS
1.07,2014-09-30 00:00:00,HF000006LS
1.0722,2014-10-10 00:00:00,HF000006LS
1.0737,2014-10-17 00:00:00,HF000006LS
1.0753,2014-10-24 00:00:00,HF000006LS
1.0768,2014-10-31 00:00:00,HF000006LS
1.0783,2014-11-07 00:00:00,HF000006LS
1.0801,2014-11-14 00:00:00,HF000006LS
1.08172,2014-11-21 00:00:00,HF000006LS
1.08334,2014-11-28 00:00:00,HF000006LS
1.085068,2014-12-05 00:00:00,HF000006LS
1.086688,2014-12-12 00:00:00,HF000006LS
1.088308,2014-12-19 00:00:00,HF000006LS
1.090036,2014-12-26 00:00:00,HF000006LS
1.091224,2014-12-31 00:00:00,HF000006LS
1.093276,2015-01-09 00:00:00,HF000006LS
1.095004,2015-01-16 00:00:00,HF000006LS
1.096624,2015-01-23 00:00:00,HF000006LS
1.098244,2015-01-30 00:00:00,HF000006LS
1.099972,2015-02-06 00:00:00,HF000006LS
1.101592,2015-02-13 00:00:00,HF000006LS
1.102564,2015-02-17 00:00:00,HF000006LS
1.10494,2015-02-27 00:00:00,HF000006LS
1.10656,2015-03-06 00:00:00,HF000006LS
1.10818,2015-03-13 00:00:00,HF000006LS
1.109908,2015-03-20 00:00:00,HF000006LS
1.111528,2015-03-27 00:00:00,HF000006LS
1.113148,2015-04-03 00:00:00,HF000006LS
1.114876,2015-04-10 00:00:00,HF000006LS
1.116496,2015-04-17 00:00:00,HF000006LS
1.118116,2015-04-24 00:00:00,HF000006LS
1.11952,2015-04-30 00:00:00,HF000006LS
1.121356,2015-05-08 00:00:00,HF000006LS
1.123084,2015-05-15 00:00:00,HF000006LS
1.124704,2015-05-22 00:00:00,HF000006LS
1.126324,2015-05-29 00:00:00,HF000006LS
1.128052,2015-06-05 00:00:00,HF000006LS
1.129672,2015-06-12 00:00:00,HF000006LS
1.131292,2015-06-19 00:00:00,HF000006LS
1.132912,2015-06-26 00:00:00,HF000006LS
1.13464,2015-07-03 00:00:00,HF000006LS
1.13626,2015-07-10 00:00:00,HF000006LS
1.13788,2015-07-17 00:00:00,HF000006LS
1.139608,2015-07-24 00:00:00,HF000006LS
1.141228,2015-07-31 00:00:00,HF000006LS
