value,date,id
1.0,2013-11-14 00:00:00,HF000006LZ
1.013,2013-11-15 00:00:00,HF000006LZ
1.0123,2013-11-22 00:00:00,HF000006LZ
0.987,2013-11-29 00:00:00,HF000006LZ
1.0052,2013-12-06 00:00:00,HF000006LZ
0.9922,2013-12-20 00:00:00,HF000006LZ
1.0721,2013-12-27 00:00:00,HF000006LZ
0.9998,2014-01-03 00:00:00,HF000006LZ
1.0703,2014-01-10 00:00:00,HF000006LZ
1.0813,2014-01-24 00:00:00,HF000006LZ
1.0601,2014-02-07 00:00:00,HF000006LZ
1.1203,2014-02-14 00:00:00,HF000006LZ
1.1137,2014-02-21 00:00:00,HF000006LZ
1.123,2014-02-28 00:00:00,HF000006LZ
1.0883,2014-03-07 00:00:00,HF000006LZ
1.1064,2014-03-14 00:00:00,HF000006LZ
1.1298,2014-03-21 00:00:00,HF000006LZ
1.1052,2014-03-28 00:00:00,HF000006LZ
1.1284,2014-04-04 00:00:00,HF000006LZ
1.1475,2014-04-11 00:00:00,HF000006LZ
1.195,2014-04-18 00:00:00,HF000006LZ
1.2334,2014-04-25 00:00:00,HF000006LZ
1.2625,2014-04-30 00:00:00,HF000006LZ
1.2622,2014-05-09 00:00:00,HF000006LZ
1.2197,2014-05-16 00:00:00,HF000006LZ
1.2453,2014-05-23 00:00:00,HF000006LZ
1.2839,2014-05-30 00:00:00,HF000006LZ
1.3247,2014-06-06 00:00:00,HF000006LZ
1.339,2014-06-13 00:00:00,HF000006LZ
1.3639,2014-06-20 00:00:00,HF000006LZ
1.3914,2014-06-27 00:00:00,HF000006LZ
1.3624,2014-07-04 00:00:00,HF000006LZ
1.4122,2014-07-11 00:00:00,HF000006LZ
1.4225,2014-07-18 00:00:00,HF000006LZ
1.3501,2014-07-25 00:00:00,HF000006LZ
1.4048,2014-08-01 00:00:00,HF000006LZ
1.4181,2014-08-08 00:00:00,HF000006LZ
1.4598,2014-08-15 00:00:00,HF000006LZ
1.4328,2014-08-22 00:00:00,HF000006LZ
1.4328,2014-08-29 00:00:00,HF000006LZ
1.4671,2014-09-05 00:00:00,HF000006LZ
1.5249,2014-09-12 00:00:00,HF000006LZ
1.5438,2014-09-19 00:00:00,HF000006LZ
1.5271,2014-09-26 00:00:00,HF000006LZ
1.5992,2014-10-10 00:00:00,HF000006LZ
1.7554,2014-10-17 00:00:00,HF000006LZ
1.905,2014-10-24 00:00:00,HF000006LZ
1.8196,2014-10-31 00:00:00,HF000006LZ
1.7076,2014-11-07 00:00:00,HF000006LZ
1.7023,2014-11-14 00:00:00,HF000006LZ
1.6858,2014-11-21 00:00:00,HF000006LZ
1.769401,2014-11-28 00:00:00,HF000006LZ
1.60014,2014-12-05 00:00:00,HF000006LZ
1.703058,2014-12-12 00:00:00,HF000006LZ
1.816268,2014-12-19 00:00:00,HF000006LZ
1.852052,2014-12-26 00:00:00,HF000006LZ
1.893694,2014-12-31 00:00:00,HF000006LZ
1.881027,2015-01-09 00:00:00,HF000006LZ
2.068338,2015-01-16 00:00:00,HF000006LZ
2.127081,2015-01-23 00:00:00,HF000006LZ
2.211157,2015-01-30 00:00:00,HF000006LZ
2.155581,2015-02-06 00:00:00,HF000006LZ
2.129772,2015-02-13 00:00:00,HF000006LZ
2.08338,2015-02-17 00:00:00,HF000006LZ
2.174265,2015-02-27 00:00:00,HF000006LZ
2.17379,2015-03-06 00:00:00,HF000006LZ
2.201024,2015-03-13 00:00:00,HF000006LZ
2.264992,2015-03-20 00:00:00,HF000006LZ
2.268634,2015-03-27 00:00:00,HF000006LZ
2.192475,2015-04-03 00:00:00,HF000006LZ
2.124866,2015-04-10 00:00:00,HF000006LZ
2.291435,2015-04-17 00:00:00,HF000006LZ
2.334502,2015-04-24 00:00:00,HF000006LZ
2.439162,2015-04-30 00:00:00,HF000006LZ
2.522447,2015-05-08 00:00:00,HF000006LZ
2.609532,2015-05-15 00:00:00,HF000006LZ
2.60114,2015-05-22 00:00:00,HF000006LZ
2.594648,2015-05-29 00:00:00,HF000006LZ
2.521972,2015-06-26 00:00:00,HF000006LZ
2.535431,2015-07-03 00:00:00,HF000006LZ
2.531789,2015-07-10 00:00:00,HF000006LZ
2.620299,2015-07-17 00:00:00,HF000006LZ
2.704217,2015-07-24 00:00:00,HF000006LZ
2.740476,2015-07-31 00:00:00,HF000006LZ
