value,date,id
1.0,2013-11-07 00:00:00,HF000006MP
1.0301,2013-11-22 00:00:00,HF000006MP
1.0377,2013-11-29 00:00:00,HF000006MP
1.0135,2013-12-06 00:00:00,HF000006MP
1.0111,2013-12-13 00:00:00,HF000006MP
0.964,2013-12-20 00:00:00,HF000006MP
0.957,2013-12-27 00:00:00,HF000006MP
0.9511,2014-01-03 00:00:00,HF000006MP
0.9336,2014-01-10 00:00:00,HF000006MP
0.9258,2014-01-17 00:00:00,HF000006MP
0.9684,2014-01-24 00:00:00,HF000006MP
0.9523,2014-01-30 00:00:00,HF000006MP
0.952,2014-02-07 00:00:00,HF000006MP
0.9813,2014-02-14 00:00:00,HF000006MP
0.9772,2014-02-21 00:00:00,HF000006MP
0.9328,2014-02-28 00:00:00,HF000006MP
0.9121,2014-03-07 00:00:00,HF000006MP
0.8731,2014-03-14 00:00:00,HF000006MP
0.8825,2014-03-21 00:00:00,HF000006MP
0.8856,2014-03-28 00:00:00,HF000006MP
0.8957,2014-04-04 00:00:00,HF000006MP
0.9023,2014-04-11 00:00:00,HF000006MP
0.9006,2014-04-18 00:00:00,HF000006MP
0.8653,2014-04-25 00:00:00,HF000006MP
0.9251,2014-04-30 00:00:00,HF000006MP
0.9168,2014-05-09 00:00:00,HF000006MP
0.9221,2014-05-16 00:00:00,HF000006MP
0.9261,2014-05-23 00:00:00,HF000006MP
0.9307,2014-05-30 00:00:00,HF000006MP
0.9317,2014-06-06 00:00:00,HF000006MP
0.9515,2014-06-13 00:00:00,HF000006MP
0.9147,2014-06-20 00:00:00,HF000006MP
0.9194,2014-06-27 00:00:00,HF000006MP
0.9402,2014-07-04 00:00:00,HF000006MP
0.9283,2014-07-11 00:00:00,HF000006MP
0.9384,2014-07-18 00:00:00,HF000006MP
0.9826,2014-07-25 00:00:00,HF000006MP
0.9998,2014-08-01 00:00:00,HF000006MP
1.0089,2014-08-08 00:00:00,HF000006MP
1.0317,2014-08-15 00:00:00,HF000006MP
1.0298,2014-08-22 00:00:00,HF000006MP
1.0134,2014-08-29 00:00:00,HF000006MP
1.0622,2014-09-05 00:00:00,HF000006MP
1.0586,2014-09-12 00:00:00,HF000006MP
1.0575,2014-09-19 00:00:00,HF000006MP
1.0492,2014-09-26 00:00:00,HF000006MP
1.046,2014-09-30 00:00:00,HF000006MP
1.0318,2014-10-10 00:00:00,HF000006MP
1.0011,2014-10-17 00:00:00,HF000006MP
0.9907,2014-10-24 00:00:00,HF000006MP
1.0523,2014-10-31 00:00:00,HF000006MP
1.0377,2014-11-07 00:00:00,HF000006MP
1.0041,2014-11-14 00:00:00,HF000006MP
1.0211,2014-11-21 00:00:00,HF000006MP
1.1449,2014-11-28 00:00:00,HF000006MP
1.2627,2014-12-05 00:00:00,HF000006MP
1.211,2014-12-12 00:00:00,HF000006MP
1.281,2014-12-19 00:00:00,HF000006MP
1.3359,2014-12-26 00:00:00,HF000006MP
1.3877,2014-12-31 00:00:00,HF000006MP
1.3936,2015-01-09 00:00:00,HF000006MP
1.4545,2015-01-16 00:00:00,HF000006MP
1.4029,2015-01-23 00:00:00,HF000006MP
1.3615,2015-01-30 00:00:00,HF000006MP
1.3161,2015-02-06 00:00:00,HF000006MP
1.3771,2015-02-27 00:00:00,HF000006MP
1.3449,2015-03-06 00:00:00,HF000006MP
1.3443,2015-03-13 00:00:00,HF000006MP
1.4109,2015-03-20 00:00:00,HF000006MP
1.401,2015-03-27 00:00:00,HF000006MP
1.4408,2015-04-03 00:00:00,HF000006MP
1.5088,2015-04-10 00:00:00,HF000006MP
1.5439,2015-04-17 00:00:00,HF000006MP
1.5187,2015-04-24 00:00:00,HF000006MP
1.5072,2015-04-30 00:00:00,HF000006MP
1.5368,2015-05-08 00:00:00,HF000006MP
1.6035,2015-05-15 00:00:00,HF000006MP
1.6829,2015-05-22 00:00:00,HF000006MP
1.6261,2015-05-29 00:00:00,HF000006MP
1.7595,2015-06-05 00:00:00,HF000006MP
1.8003,2015-06-12 00:00:00,HF000006MP
1.6136,2015-06-19 00:00:00,HF000006MP
1.5747,2015-06-26 00:00:00,HF000006MP
1.4038,2015-07-03 00:00:00,HF000006MP
1.5743,2015-07-10 00:00:00,HF000006MP
1.5807,2015-07-17 00:00:00,HF000006MP
1.5868,2015-07-24 00:00:00,HF000006MP
1.4474,2015-07-31 00:00:00,HF000006MP
1.4726,2015-08-07 00:00:00,HF000006MP
