value,date,id
1.0,2013-10-31 00:00:00,HF000006MQ
1.0048,2013-11-15 00:00:00,HF000006MQ
1.0154,2013-11-22 00:00:00,HF000006MQ
1.0267,2013-11-29 00:00:00,HF000006MQ
1.023,2013-12-06 00:00:00,HF000006MQ
1.0279,2013-12-13 00:00:00,HF000006MQ
1.0045,2013-12-20 00:00:00,HF000006MQ
1.0285,2013-12-27 00:00:00,HF000006MQ
1.0285,2013-12-31 00:00:00,HF000006MQ
1.0285,2014-01-03 00:00:00,HF000006MQ
1.0259,2014-01-10 00:00:00,HF000006MQ
1.029,2014-01-17 00:00:00,HF000006MQ
1.0627,2014-01-24 00:00:00,HF000006MQ
1.0714,2014-01-30 00:00:00,HF000006MQ
1.0849,2014-02-07 00:00:00,HF000006MQ
1.1355,2014-02-14 00:00:00,HF000006MQ
1.1209,2014-02-21 00:00:00,HF000006MQ
1.1269,2014-02-28 00:00:00,HF000006MQ
1.1504,2014-03-07 00:00:00,HF000006MQ
1.1408,2014-03-14 00:00:00,HF000006MQ
1.1163,2014-03-21 00:00:00,HF000006MQ
1.1056,2014-03-28 00:00:00,HF000006MQ
1.1037,2014-03-31 00:00:00,HF000006MQ
1.1062,2014-04-04 00:00:00,HF000006MQ
1.106,2014-04-11 00:00:00,HF000006MQ
1.1234,2014-04-18 00:00:00,HF000006MQ
1.1021,2014-04-25 00:00:00,HF000006MQ
1.1102,2014-04-30 00:00:00,HF000006MQ
1.1111,2014-05-09 00:00:00,HF000006MQ
1.1079,2014-05-16 00:00:00,HF000006MQ
1.1132,2014-05-23 00:00:00,HF000006MQ
1.1195,2014-05-30 00:00:00,HF000006MQ
1.1324,2014-06-06 00:00:00,HF000006MQ
1.1547,2014-06-13 00:00:00,HF000006MQ
1.1406,2014-06-20 00:00:00,HF000006MQ
1.1549,2014-06-27 00:00:00,HF000006MQ
1.164,2014-06-30 00:00:00,HF000006MQ
1.1773,2014-07-04 00:00:00,HF000006MQ
1.1806,2014-07-11 00:00:00,HF000006MQ
1.1737,2014-07-18 00:00:00,HF000006MQ
1.1741,2014-07-25 00:00:00,HF000006MQ
1.182,2014-07-31 00:00:00,HF000006MQ
1.182,2014-08-01 00:00:00,HF000006MQ
1.1779,2014-08-08 00:00:00,HF000006MQ
1.1898,2014-08-15 00:00:00,HF000006MQ
1.206,2014-08-22 00:00:00,HF000006MQ
1.2219,2014-08-29 00:00:00,HF000006MQ
1.2821,2014-09-05 00:00:00,HF000006MQ
1.294,2014-09-12 00:00:00,HF000006MQ
1.2616,2014-09-19 00:00:00,HF000006MQ
1.2725,2014-09-26 00:00:00,HF000006MQ
1.2791,2014-09-30 00:00:00,HF000006MQ
1.2873,2014-10-10 00:00:00,HF000006MQ
1.2798,2014-10-17 00:00:00,HF000006MQ
1.2695,2014-10-24 00:00:00,HF000006MQ
1.3132,2014-10-31 00:00:00,HF000006MQ
1.3108,2014-11-07 00:00:00,HF000006MQ
1.3062,2014-11-14 00:00:00,HF000006MQ
1.3197,2014-11-21 00:00:00,HF000006MQ
1.3642,2014-11-28 00:00:00,HF000006MQ
1.5046,2014-12-05 00:00:00,HF000006MQ
1.5488,2014-12-12 00:00:00,HF000006MQ
1.4683,2014-12-19 00:00:00,HF000006MQ
1.3841,2014-12-26 00:00:00,HF000006MQ
1.3423,2014-12-31 00:00:00,HF000006MQ
1.2852,2015-01-09 00:00:00,HF000006MQ
1.2743,2015-01-16 00:00:00,HF000006MQ
1.2701,2015-01-23 00:00:00,HF000006MQ
1.2659,2015-01-30 00:00:00,HF000006MQ
1.2677,2015-02-06 00:00:00,HF000006MQ
1.2788,2015-02-13 00:00:00,HF000006MQ
1.2833,2015-02-17 00:00:00,HF000006MQ
1.2848,2015-02-27 00:00:00,HF000006MQ
1.3022,2015-03-06 00:00:00,HF000006MQ
1.3092,2015-03-13 00:00:00,HF000006MQ
1.3879,2015-03-20 00:00:00,HF000006MQ
1.4667,2015-03-27 00:00:00,HF000006MQ
1.471,2015-03-31 00:00:00,HF000006MQ
1.5593,2015-04-03 00:00:00,HF000006MQ
1.5667,2015-04-10 00:00:00,HF000006MQ
1.5397,2015-04-17 00:00:00,HF000006MQ
1.6032,2015-04-24 00:00:00,HF000006MQ
1.6453,2015-04-30 00:00:00,HF000006MQ
1.6362,2015-05-08 00:00:00,HF000006MQ
1.703,2015-05-15 00:00:00,HF000006MQ
1.8365,2015-05-22 00:00:00,HF000006MQ
1.923,2015-05-29 00:00:00,HF000006MQ
2.1803,2015-06-05 00:00:00,HF000006MQ
2.1714,2015-06-12 00:00:00,HF000006MQ
1.9134,2015-06-19 00:00:00,HF000006MQ
1.9118,2015-06-26 00:00:00,HF000006MQ
1.8969,2015-06-30 00:00:00,HF000006MQ
1.8341,2015-07-03 00:00:00,HF000006MQ
1.8587,2015-07-10 00:00:00,HF000006MQ
1.8588,2015-07-17 00:00:00,HF000006MQ
1.8741,2015-07-24 00:00:00,HF000006MQ
1.8735,2015-07-31 00:00:00,HF000006MQ
1.8742,2015-08-07 00:00:00,HF000006MQ
