value,date,id
1.0,2013-11-20 00:00:00,HF000006NC
1.0005,2013-11-22 00:00:00,HF000006NC
1.001,2013-11-25 00:00:00,HF000006NC
1.0016,2013-11-29 00:00:00,HF000006NC
1.0021,2013-12-02 00:00:00,HF000006NC
1.0028,2013-12-06 00:00:00,HF000006NC
1.0033,2013-12-09 00:00:00,HF000006NC
1.0039,2013-12-13 00:00:00,HF000006NC
1.0051,2013-12-20 00:00:00,HF000006NC
1.0056,2013-12-23 00:00:00,HF000006NC
1.0062,2013-12-27 00:00:00,HF000006NC
1.0067,2013-12-30 00:00:00,HF000006NC
1.0074,2014-01-03 00:00:00,HF000006NC
1.0079,2014-01-06 00:00:00,HF000006NC
1.0084,2014-01-09 00:00:00,HF000006NC
1.0085,2014-01-10 00:00:00,HF000006NC
1.009,2014-01-13 00:00:00,HF000006NC
1.0097,2014-01-17 00:00:00,HF000006NC
1.0102,2014-01-20 00:00:00,HF000006NC
1.0108,2014-01-24 00:00:00,HF000006NC
1.0113,2014-01-27 00:00:00,HF000006NC
1.0132,2014-02-07 00:00:00,HF000006NC
1.0136,2014-02-10 00:00:00,HF000006NC
1.0143,2014-02-14 00:00:00,HF000006NC
1.0148,2014-02-17 00:00:00,HF000006NC
1.0155,2014-02-21 00:00:00,HF000006NC
1.0159,2014-02-24 00:00:00,HF000006NC
1.0166,2014-02-28 00:00:00,HF000006NC
1.0171,2014-03-03 00:00:00,HF000006NC
1.0178,2014-03-07 00:00:00,HF000006NC
1.0182,2014-03-10 00:00:00,HF000006NC
1.0189,2014-03-14 00:00:00,HF000006NC
1.0194,2014-03-17 00:00:00,HF000006NC
1.0201,2014-03-21 00:00:00,HF000006NC
1.0205,2014-03-24 00:00:00,HF000006NC
1.0212,2014-03-28 00:00:00,HF000006NC
1.0224,2014-04-04 00:00:00,HF000006NC
1.0235,2014-04-11 00:00:00,HF000006NC
1.0247,2014-04-18 00:00:00,HF000006NC
1.0252,2014-04-21 00:00:00,HF000006NC
1.0258,2014-04-25 00:00:00,HF000006NC
1.0263,2014-04-28 00:00:00,HF000006NC
1.0266,2014-04-30 00:00:00,HF000006NC
1.0275,2014-05-05 00:00:00,HF000006NC
1.0278,2014-05-07 00:00:00,HF000006NC
1.0281,2014-05-09 00:00:00,HF000006NC
1.0286,2014-05-12 00:00:00,HF000006NC
1.0293,2014-05-16 00:00:00,HF000006NC
1.029814,2014-05-19 00:00:00,HF000006NC
1.030431,2014-05-23 00:00:00,HF000006NC
1.030945,2014-05-26 00:00:00,HF000006NC
1.031665,2014-05-30 00:00:00,HF000006NC
1.03516,2014-06-20 00:00:00,HF000006NC
1.035674,2014-06-23 00:00:00,HF000006NC
1.036394,2014-06-27 00:00:00,HF000006NC
1.036908,2014-06-30 00:00:00,HF000006NC
1.037216,2014-07-02 00:00:00,HF000006NC
1.037524,2014-07-04 00:00:00,HF000006NC
1.038552,2014-07-10 00:00:00,HF000006NC
1.038758,2014-07-11 00:00:00,HF000006NC
1.039272,2014-07-14 00:00:00,HF000006NC
1.039375,2014-07-15 00:00:00,HF000006NC
1.039581,2014-07-16 00:00:00,HF000006NC
1.039787,2014-07-17 00:00:00,HF000006NC
1.040404,2014-07-21 00:00:00,HF000006NC
1.04061,2014-07-22 00:00:00,HF000006NC
1.040713,2014-07-23 00:00:00,HF000006NC
1.040919,2014-07-24 00:00:00,HF000006NC
1.041125,2014-07-25 00:00:00,HF000006NC
1.041639,2014-07-28 00:00:00,HF000006NC
1.041742,2014-07-29 00:00:00,HF000006NC
1.041948,2014-07-30 00:00:00,HF000006NC
1.042154,2014-07-31 00:00:00,HF000006NC
1.042257,2014-08-01 00:00:00,HF000006NC
1.042771,2014-08-04 00:00:00,HF000006NC
1.042977,2014-08-05 00:00:00,HF000006NC
1.04308,2014-08-06 00:00:00,HF000006NC
1.043286,2014-08-07 00:00:00,HF000006NC
1.043492,2014-08-08 00:00:00,HF000006NC
1.044006,2014-08-11 00:00:00,HF000006NC
1.044109,2014-08-12 00:00:00,HF000006NC
1.044315,2014-08-13 00:00:00,HF000006NC
1.044521,2014-08-14 00:00:00,HF000006NC
1.044624,2014-08-15 00:00:00,HF000006NC
1.045138,2014-08-18 00:00:00,HF000006NC
1.045858,2014-08-22 00:00:00,HF000006NC
1.046372,2014-08-25 00:00:00,HF000006NC
1.046475,2014-08-26 00:00:00,HF000006NC
1.046681,2014-08-27 00:00:00,HF000006NC
1.046887,2014-08-28 00:00:00,HF000006NC
1.04699,2014-08-29 00:00:00,HF000006NC
1.047504,2014-09-01 00:00:00,HF000006NC
1.04771,2014-09-02 00:00:00,HF000006NC
1.047813,2014-09-03 00:00:00,HF000006NC
1.048019,2014-09-04 00:00:00,HF000006NC
1.048225,2014-09-05 00:00:00,HF000006NC
1.049047,2014-09-10 00:00:00,HF000006NC
1.049253,2014-09-11 00:00:00,HF000006NC
1.049356,2014-09-12 00:00:00,HF000006NC
1.04987,2014-09-15 00:00:00,HF000006NC
1.050076,2014-09-16 00:00:00,HF000006NC
1.050179,2014-09-17 00:00:00,HF000006NC
1.050385,2014-09-18 00:00:00,HF000006NC
1.050591,2014-09-19 00:00:00,HF000006NC
1.051105,2014-09-22 00:00:00,HF000006NC
1.051208,2014-09-23 00:00:00,HF000006NC
1.051414,2014-09-24 00:00:00,HF000006NC
1.05162,2014-09-25 00:00:00,HF000006NC
1.051723,2014-09-26 00:00:00,HF000006NC
1.052237,2014-09-29 00:00:00,HF000006NC
1.052443,2014-09-30 00:00:00,HF000006NC
1.053779,2014-10-08 00:00:00,HF000006NC
1.053985,2014-10-09 00:00:00,HF000006NC
1.054602,2014-10-13 00:00:00,HF000006NC
1.054808,2014-10-14 00:00:00,HF000006NC
1.054911,2014-10-15 00:00:00,HF000006NC
1.055117,2014-10-16 00:00:00,HF000006NC
1.055323,2014-10-17 00:00:00,HF000006NC
1.055837,2014-10-20 00:00:00,HF000006NC
1.05594,2014-10-21 00:00:00,HF000006NC
1.056146,2014-10-22 00:00:00,HF000006NC
1.056352,2014-10-23 00:00:00,HF000006NC
1.056455,2014-10-24 00:00:00,HF000006NC
1.056969,2014-10-27 00:00:00,HF000006NC
1.057175,2014-10-28 00:00:00,HF000006NC
1.057278,2014-10-29 00:00:00,HF000006NC
1.057484,2014-10-30 00:00:00,HF000006NC
1.05769,2014-10-31 00:00:00,HF000006NC
1.058204,2014-11-03 00:00:00,HF000006NC
1.058307,2014-11-04 00:00:00,HF000006NC
1.058513,2014-11-05 00:00:00,HF000006NC
1.058719,2014-11-06 00:00:00,HF000006NC
1.058822,2014-11-07 00:00:00,HF000006NC
1.059336,2014-11-10 00:00:00,HF000006NC
1.059542,2014-11-11 00:00:00,HF000006NC
1.089456,2014-11-12 00:00:00,HF000006NC
1.059017,2014-11-13 00:00:00,HF000006NC
1.059228,2014-11-14 00:00:00,HF000006NC
1.059756,2014-11-17 00:00:00,HF000006NC
1.059862,2014-11-18 00:00:00,HF000006NC
1.060073,2014-11-19 00:00:00,HF000006NC
1.060284,2014-11-20 00:00:00,HF000006NC
1.060918,2014-11-24 00:00:00,HF000006NC
1.061129,2014-11-25 00:00:00,HF000006NC
1.06134,2014-11-26 00:00:00,HF000006NC
1.061446,2014-11-27 00:00:00,HF000006NC
1.061657,2014-11-28 00:00:00,HF000006NC
1.056901,2014-12-01 00:00:00,HF000006NC
1.057112,2014-12-02 00:00:00,HF000006NC
1.057323,2014-12-03 00:00:00,HF000006NC
1.057429,2014-12-04 00:00:00,HF000006NC
1.05764,2014-12-05 00:00:00,HF000006NC
1.058168,2014-12-08 00:00:00,HF000006NC
1.058379,2014-12-09 00:00:00,HF000006NC
1.05859,2014-12-10 00:00:00,HF000006NC
1.058801,2014-12-11 00:00:00,HF000006NC
1.059012,2014-12-12 00:00:00,HF000006NC
1.05954,2014-12-15 00:00:00,HF000006NC
1.059751,2014-12-16 00:00:00,HF000006NC
1.059857,2014-12-17 00:00:00,HF000006NC
1.060068,2014-12-18 00:00:00,HF000006NC
1.060279,2014-12-19 00:00:00,HF000006NC
1.060807,2014-12-22 00:00:00,HF000006NC
1.061018,2014-12-23 00:00:00,HF000006NC
1.061229,2014-12-24 00:00:00,HF000006NC
1.06144,2014-12-25 00:00:00,HF000006NC
1.061651,2014-12-26 00:00:00,HF000006NC
1.062179,2014-12-29 00:00:00,HF000006NC
1.06239,2014-12-30 00:00:00,HF000006NC
1.062496,2014-12-31 00:00:00,HF000006NC
1.063447,2015-01-05 00:00:00,HF000006NC
1.063658,2015-01-06 00:00:00,HF000006NC
1.063869,2015-01-07 00:00:00,HF000006NC
1.06408,2015-01-08 00:00:00,HF000006NC
1.064186,2015-01-09 00:00:00,HF000006NC
1.06482,2015-01-12 00:00:00,HF000006NC
1.065031,2015-01-13 00:00:00,HF000006NC
1.065137,2015-01-14 00:00:00,HF000006NC
1.065348,2015-01-15 00:00:00,HF000006NC
1.065559,2015-01-16 00:00:00,HF000006NC
1.066087,2015-01-19 00:00:00,HF000006NC
1.066298,2015-01-20 00:00:00,HF000006NC
1.066509,2015-01-21 00:00:00,HF000006NC
1.06672,2015-01-22 00:00:00,HF000006NC
1.066826,2015-01-23 00:00:00,HF000006NC
1.06746,2015-01-26 00:00:00,HF000006NC
1.067671,2015-01-27 00:00:00,HF000006NC
1.067777,2015-01-28 00:00:00,HF000006NC
1.067988,2015-01-29 00:00:00,HF000006NC
1.068199,2015-01-30 00:00:00,HF000006NC
1.068727,2015-02-02 00:00:00,HF000006NC
