value,date,id
1.0,2013-11-22 00:00:00,HF000006NM
1.0005,2013-11-25 00:00:00,HF000006NM
1.0007,2013-11-26 00:00:00,HF000006NM
1.0013,2013-11-27 00:00:00,HF000006NM
1.0023,2013-11-28 00:00:00,HF000006NM
1.0027,2013-11-29 00:00:00,HF000006NM
1.0046,2013-12-02 00:00:00,HF000006NM
1.0028,2013-12-03 00:00:00,HF000006NM
1.0037,2013-12-04 00:00:00,HF000006NM
1.0026,2013-12-05 00:00:00,HF000006NM
1.0025,2013-12-06 00:00:00,HF000006NM
1.0013,2013-12-09 00:00:00,HF000006NM
1.0008,2013-12-10 00:00:00,HF000006NM
0.9972,2013-12-11 00:00:00,HF000006NM
0.9964,2013-12-12 00:00:00,HF000006NM
0.9962,2013-12-13 00:00:00,HF000006NM
0.9943,2013-12-16 00:00:00,HF000006NM
0.9932,2013-12-17 00:00:00,HF000006NM
0.9929,2013-12-18 00:00:00,HF000006NM
0.9874,2013-12-19 00:00:00,HF000006NM
0.9851,2013-12-20 00:00:00,HF000006NM
0.9829,2013-12-23 00:00:00,HF000006NM
0.9831,2013-12-24 00:00:00,HF000006NM
0.9832,2013-12-25 00:00:00,HF000006NM
0.9808,2013-12-26 00:00:00,HF000006NM
0.9835,2013-12-27 00:00:00,HF000006NM
0.9856,2013-12-31 00:00:00,HF000006NM
0.9865,2014-01-02 00:00:00,HF000006NM
0.9838,2014-01-03 00:00:00,HF000006NM
0.9782,2014-01-06 00:00:00,HF000006NM
0.9765,2014-01-07 00:00:00,HF000006NM
0.9774,2014-01-08 00:00:00,HF000006NM
0.9769,2014-01-09 00:00:00,HF000006NM
0.9774,2014-01-10 00:00:00,HF000006NM
0.9765,2014-01-13 00:00:00,HF000006NM
0.9774,2014-01-14 00:00:00,HF000006NM
0.9764,2014-01-15 00:00:00,HF000006NM
0.9757,2014-01-16 00:00:00,HF000006NM
0.9711,2014-01-17 00:00:00,HF000006NM
0.9685,2014-01-20 00:00:00,HF000006NM
0.9713,2014-01-21 00:00:00,HF000006NM
0.9751,2014-01-22 00:00:00,HF000006NM
0.9727,2014-01-23 00:00:00,HF000006NM
0.9734,2014-01-24 00:00:00,HF000006NM
0.9727,2014-01-27 00:00:00,HF000006NM
0.9758,2014-01-28 00:00:00,HF000006NM
0.9814,2014-01-29 00:00:00,HF000006NM
0.9823,2014-01-30 00:00:00,HF000006NM
0.9816,2014-02-07 00:00:00,HF000006NM
0.9861,2014-02-10 00:00:00,HF000006NM
0.9926,2014-02-11 00:00:00,HF000006NM
0.9958,2014-02-12 00:00:00,HF000006NM
1.0013,2014-02-13 00:00:00,HF000006NM
1.0016,2014-02-14 00:00:00,HF000006NM
0.9987,2014-02-17 00:00:00,HF000006NM
0.9942,2014-02-18 00:00:00,HF000006NM
1.0039,2014-02-19 00:00:00,HF000006NM
0.9995,2014-02-20 00:00:00,HF000006NM
0.9962,2014-02-21 00:00:00,HF000006NM
0.99,2014-02-24 00:00:00,HF000006NM
0.9841,2014-02-25 00:00:00,HF000006NM
0.9837,2014-02-26 00:00:00,HF000006NM
0.989,2014-02-27 00:00:00,HF000006NM
0.9923,2014-02-28 00:00:00,HF000006NM
0.9904,2014-03-03 00:00:00,HF000006NM
0.9966,2014-03-04 00:00:00,HF000006NM
0.9883,2014-03-05 00:00:00,HF000006NM
0.994,2014-03-06 00:00:00,HF000006NM
0.9922,2014-03-07 00:00:00,HF000006NM
0.971,2014-03-10 00:00:00,HF000006NM
0.9736,2014-03-11 00:00:00,HF000006NM
0.9775,2014-03-12 00:00:00,HF000006NM
0.9853,2014-03-13 00:00:00,HF000006NM
0.9807,2014-03-14 00:00:00,HF000006NM
0.982,2014-03-17 00:00:00,HF000006NM
0.9741,2014-03-18 00:00:00,HF000006NM
0.9634,2014-03-19 00:00:00,HF000006NM
0.9606,2014-03-20 00:00:00,HF000006NM
0.9889,2014-03-21 00:00:00,HF000006NM
0.9935,2014-03-24 00:00:00,HF000006NM
0.9863,2014-03-25 00:00:00,HF000006NM
0.9874,2014-03-26 00:00:00,HF000006NM
0.9925,2014-03-27 00:00:00,HF000006NM
0.9923,2014-03-28 00:00:00,HF000006NM
0.9858,2014-03-31 00:00:00,HF000006NM
0.9881,2014-04-01 00:00:00,HF000006NM
0.9986,2014-04-02 00:00:00,HF000006NM
0.9963,2014-04-03 00:00:00,HF000006NM
1.0034,2014-04-04 00:00:00,HF000006NM
1.0273,2014-04-08 00:00:00,HF000006NM
1.021,2014-04-09 00:00:00,HF000006NM
1.0467,2014-04-10 00:00:00,HF000006NM
1.0383,2014-04-11 00:00:00,HF000006NM
1.0346,2014-04-14 00:00:00,HF000006NM
1.0205,2014-04-15 00:00:00,HF000006NM
1.0212,2014-04-16 00:00:00,HF000006NM
1.0184,2014-04-17 00:00:00,HF000006NM
1.0199,2014-04-18 00:00:00,HF000006NM
1.0067,2014-04-21 00:00:00,HF000006NM
1.0153,2014-04-22 00:00:00,HF000006NM
1.0107,2014-04-23 00:00:00,HF000006NM
1.0127,2014-04-24 00:00:00,HF000006NM
1.0042,2014-04-25 00:00:00,HF000006NM
0.9944,2014-04-28 00:00:00,HF000006NM
1.0063,2014-04-29 00:00:00,HF000006NM
1.0054,2014-04-30 00:00:00,HF000006NM
1.0046,2014-05-05 00:00:00,HF000006NM
1.0066,2014-05-06 00:00:00,HF000006NM
1.0017,2014-05-07 00:00:00,HF000006NM
1.0015,2014-05-08 00:00:00,HF000006NM
0.9998,2014-05-09 00:00:00,HF000006NM
1.0134,2014-05-12 00:00:00,HF000006NM
1.0116,2014-05-13 00:00:00,HF000006NM
1.0105,2014-05-14 00:00:00,HF000006NM
1.0033,2014-05-15 00:00:00,HF000006NM
1.0016,2014-05-16 00:00:00,HF000006NM
0.9844,2014-05-19 00:00:00,HF000006NM
0.9852,2014-05-20 00:00:00,HF000006NM
0.994,2014-05-21 00:00:00,HF000006NM
0.9928,2014-05-22 00:00:00,HF000006NM
0.99979,2014-05-23 00:00:00,HF000006NM
1.001024,2014-05-26 00:00:00,HF000006NM
0.997221,2014-05-27 00:00:00,HF000006NM
1.005445,2014-05-28 00:00:00,HF000006NM
1.001128,2014-05-29 00:00:00,HF000006NM
0.998147,2014-05-30 00:00:00,HF000006NM
0.995885,2014-06-03 00:00:00,HF000006NM
0.990334,2014-06-04 00:00:00,HF000006NM
1.002464,2014-06-05 00:00:00,HF000006NM
0.997119,2014-06-06 00:00:00,HF000006NM
0.997839,2014-06-09 00:00:00,HF000006NM
1.008324,2014-06-10 00:00:00,HF000006NM
1.003801,2014-06-11 00:00:00,HF000006NM
1.001128,2014-06-12 00:00:00,HF000006NM
1.013463,2014-06-13 00:00:00,HF000006NM
1.022715,2014-06-16 00:00:00,HF000006NM
1.0185,2014-06-17 00:00:00,HF000006NM
1.023229,2014-06-18 00:00:00,HF000006NM
1.013669,2014-06-19 00:00:00,HF000006NM
1.022407,2014-06-20 00:00:00,HF000006NM
1.014183,2014-06-23 00:00:00,HF000006NM
1.015519,2014-06-24 00:00:00,HF000006NM
1.01336,2014-06-25 00:00:00,HF000006NM
1.018705,2014-06-26 00:00:00,HF000006NM
1.021275,2014-06-27 00:00:00,HF000006NM
1.019425,2014-06-30 00:00:00,HF000006NM
1.019117,2014-07-01 00:00:00,HF000006NM
1.02179,2014-07-02 00:00:00,HF000006NM
1.028061,2014-07-03 00:00:00,HF000006NM
1.030734,2014-07-04 00:00:00,HF000006NM
1.030631,2014-07-07 00:00:00,HF000006NM
1.028575,2014-07-08 00:00:00,HF000006NM
1.019118,2014-07-09 00:00:00,HF000006NM
1.015315,2014-07-10 00:00:00,HF000006NM
1.01624,2014-07-11 00:00:00,HF000006NM
1.023847,2014-07-14 00:00:00,HF000006NM
1.019632,2014-07-15 00:00:00,HF000006NM
1.014801,2014-07-16 00:00:00,HF000006NM
1.012745,2014-07-17 00:00:00,HF000006NM
1.014081,2014-07-18 00:00:00,HF000006NM
1.011511,2014-07-21 00:00:00,HF000006NM
1.01994,2014-07-22 00:00:00,HF000006NM
1.02436,2014-07-23 00:00:00,HF000006NM
1.041732,2014-07-24 00:00:00,HF000006NM
1.047489,2014-07-25 00:00:00,HF000006NM
1.078431,2014-07-28 00:00:00,HF000006NM
1.08244,2014-07-29 00:00:00,HF000006NM
1.08059,2014-07-30 00:00:00,HF000006NM
1.090356,2014-07-31 00:00:00,HF000006NM
1.080488,2014-08-01 00:00:00,HF000006NM
