value,date,id
1.0,2013-11-01 00:00:00,HF000006OE
0.9969,2013-11-15 00:00:00,HF000006OE
1.0,2013-12-31 00:00:00,HF000006OE
1.0079,2014-01-30 00:00:00,HF000006OE
1.0094,2014-02-07 00:00:00,HF000006OE
1.0124,2014-02-14 00:00:00,HF000006OE
1.0158,2014-02-21 00:00:00,HF000006OE
1.0194,2014-02-28 00:00:00,HF000006OE
1.0198,2014-03-07 00:00:00,HF000006OE
1.0206,2014-03-14 00:00:00,HF000006OE
1.0207,2014-03-21 00:00:00,HF000006OE
1.0219,2014-03-28 00:00:00,HF000006OE
1.0226,2014-03-31 00:00:00,HF000006OE
1.0236,2014-04-04 00:00:00,HF000006OE
1.0255,2014-04-11 00:00:00,HF000006OE
1.0273,2014-04-18 00:00:00,HF000006OE
1.0286,2014-04-25 00:00:00,HF000006OE
1.0298,2014-04-30 00:00:00,HF000006OE
1.0326,2014-05-09 00:00:00,HF000006OE
1.034,2014-05-16 00:00:00,HF000006OE
1.0352,2014-05-23 00:00:00,HF000006OE
1.0372,2014-05-30 00:00:00,HF000006OE
1.0394,2014-06-06 00:00:00,HF000006OE
1.0433,2014-06-13 00:00:00,HF000006OE
1.0423,2014-06-20 00:00:00,HF000006OE
1.0445,2014-06-27 00:00:00,HF000006OE
1.0452,2014-06-30 00:00:00,HF000006OE
1.0426,2014-07-04 00:00:00,HF000006OE
1.0446,2014-07-11 00:00:00,HF000006OE
1.0452,2014-07-18 00:00:00,HF000006OE
1.0471,2014-07-25 00:00:00,HF000006OE
1.0524,2014-07-31 00:00:00,HF000006OE
1.0525,2014-08-01 00:00:00,HF000006OE
1.0493,2014-08-08 00:00:00,HF000006OE
1.0562,2014-08-15 00:00:00,HF000006OE
1.0575,2014-08-22 00:00:00,HF000006OE
1.059,2014-08-29 00:00:00,HF000006OE
1.0584,2014-09-05 00:00:00,HF000006OE
1.0619,2014-09-12 00:00:00,HF000006OE
1.0637,2014-09-19 00:00:00,HF000006OE
1.0652,2014-09-26 00:00:00,HF000006OE
1.0662,2014-09-30 00:00:00,HF000006OE
1.0682,2014-10-10 00:00:00,HF000006OE
1.0707,2014-10-17 00:00:00,HF000006OE
1.0734,2014-10-24 00:00:00,HF000006OE
1.0757,2014-10-31 00:00:00,HF000006OE
1.0789,2014-11-07 00:00:00,HF000006OE
