value,date,id
1.0,2013-12-12 00:00:00,HF000006OM
0.9994,2013-12-27 00:00:00,HF000006OM
1.004,2014-01-03 00:00:00,HF000006OM
0.9837,2014-01-10 00:00:00,HF000006OM
0.9795,2014-01-17 00:00:00,HF000006OM
1.002,2014-01-24 00:00:00,HF000006OM
0.9854,2014-01-30 00:00:00,HF000006OM
0.9861,2014-02-07 00:00:00,HF000006OM
0.9909,2014-02-14 00:00:00,HF000006OM
0.9838,2014-02-21 00:00:00,HF000006OM
0.9268,2014-02-28 00:00:00,HF000006OM
0.9199,2014-03-07 00:00:00,HF000006OM
0.921,2014-03-14 00:00:00,HF000006OM
0.909,2014-03-21 00:00:00,HF000006OM
0.9092,2014-03-28 00:00:00,HF000006OM
0.9156,2014-04-04 00:00:00,HF000006OM
0.923,2014-04-11 00:00:00,HF000006OM
0.9216,2014-04-18 00:00:00,HF000006OM
0.907,2014-04-25 00:00:00,HF000006OM
0.9181,2014-04-30 00:00:00,HF000006OM
0.9,2014-05-09 00:00:00,HF000006OM
0.8998,2014-05-16 00:00:00,HF000006OM
0.9024,2014-05-23 00:00:00,HF000006OM
0.904,2014-05-30 00:00:00,HF000006OM
0.9022,2014-06-06 00:00:00,HF000006OM
0.9052,2014-06-13 00:00:00,HF000006OM
0.9005,2014-06-20 00:00:00,HF000006OM
0.9056,2014-06-27 00:00:00,HF000006OM
0.9062,2014-06-30 00:00:00,HF000006OM
0.9075,2014-07-04 00:00:00,HF000006OM
0.9038,2014-07-11 00:00:00,HF000006OM
0.9024,2014-07-18 00:00:00,HF000006OM
0.9119,2014-07-25 00:00:00,HF000006OM
0.9181,2014-07-31 00:00:00,HF000006OM
0.917,2014-08-01 00:00:00,HF000006OM
0.922,2014-08-08 00:00:00,HF000006OM
0.9286,2014-08-15 00:00:00,HF000006OM
0.9273,2014-08-22 00:00:00,HF000006OM
0.9207,2014-08-29 00:00:00,HF000006OM
0.9424,2014-09-05 00:00:00,HF000006OM
0.9421,2014-09-12 00:00:00,HF000006OM
0.9422,2014-09-19 00:00:00,HF000006OM
0.9574,2014-09-26 00:00:00,HF000006OM
0.957,2014-09-30 00:00:00,HF000006OM
0.9706,2014-10-10 00:00:00,HF000006OM
0.9691,2014-10-17 00:00:00,HF000006OM
0.9509,2014-10-24 00:00:00,HF000006OM
1.0019,2014-10-31 00:00:00,HF000006OM
1.014,2014-11-07 00:00:00,HF000006OM
1.0211,2014-11-14 00:00:00,HF000006OM
1.0292,2014-11-21 00:00:00,HF000006OM
1.1336,2014-11-28 00:00:00,HF000006OM
1.2337,2014-12-05 00:00:00,HF000006OM
1.1597,2014-12-12 00:00:00,HF000006OM
1.1664,2014-12-19 00:00:00,HF000006OM
1.1832,2014-12-26 00:00:00,HF000006OM
1.2256,2014-12-31 00:00:00,HF000006OM
1.4133,2015-01-09 00:00:00,HF000006OM
1.3939,2015-01-15 00:00:00,HF000006OM
1.4974,2015-01-16 00:00:00,HF000006OM
1.5461,2015-01-23 00:00:00,HF000006OM
1.4396,2015-01-30 00:00:00,HF000006OM
1.3093,2015-02-06 00:00:00,HF000006OM
1.4136,2015-02-13 00:00:00,HF000006OM
1.4362,2015-02-17 00:00:00,HF000006OM
1.4242,2015-02-27 00:00:00,HF000006OM
1.5637,2015-03-06 00:00:00,HF000006OM
1.5244,2015-03-13 00:00:00,HF000006OM
1.6797,2015-03-20 00:00:00,HF000006OM
1.8259,2015-03-27 00:00:00,HF000006OM
1.7833,2015-03-31 00:00:00,HF000006OM
1.7957,2015-04-03 00:00:00,HF000006OM
2.0425,2015-04-10 00:00:00,HF000006OM
2.2131,2015-04-15 00:00:00,HF000006OM
2.3609,2015-04-17 00:00:00,HF000006OM
2.5395,2015-04-24 00:00:00,HF000006OM
2.5197,2015-04-30 00:00:00,HF000006OM
2.3738,2015-05-08 00:00:00,HF000006OM
2.4151,2015-05-15 00:00:00,HF000006OM
2.618,2015-05-22 00:00:00,HF000006OM
2.5561,2015-05-29 00:00:00,HF000006OM
2.8119,2015-06-05 00:00:00,HF000006OM
2.9277,2015-06-12 00:00:00,HF000006OM
2.8228,2015-06-15 00:00:00,HF000006OM
2.5458,2015-06-19 00:00:00,HF000006OM
2.4048,2015-06-26 00:00:00,HF000006OM
2.4816,2015-06-30 00:00:00,HF000006OM
2.0376,2015-07-03 00:00:00,HF000006OM
2.0485,2015-07-10 00:00:00,HF000006OM
2.0019,2015-07-15 00:00:00,HF000006OM
2.1121,2015-07-17 00:00:00,HF000006OM
2.2228,2015-07-24 00:00:00,HF000006OM
2.0107,2015-07-31 00:00:00,HF000006OM
2.0937,2015-08-07 00:00:00,HF000006OM
