value,date,id
1.0,2013-06-03 00:00:00,HF000006PA
0.987992,2013-06-04 00:00:00,HF000006PA
0.994432,2013-06-05 00:00:00,HF000006PA
0.989897,2013-06-06 00:00:00,HF000006PA
0.986976,2013-06-07 00:00:00,HF000006PA
0.976018,2013-06-13 00:00:00,HF000006PA
0.981572,2013-06-14 00:00:00,HF000006PA
0.98413,2013-06-17 00:00:00,HF000006PA
0.980822,2013-06-18 00:00:00,HF000006PA
0.980822,2013-06-19 00:00:00,HF000006PA
0.993754,2013-06-20 00:00:00,HF000006PA
1.005409,2013-06-21 00:00:00,HF000006PA
1.004876,2013-06-24 00:00:00,HF000006PA
1.02229,2013-06-25 00:00:00,HF000006PA
1.02624,2013-06-26 00:00:00,HF000006PA
1.029135,2013-06-27 00:00:00,HF000006PA
1.022533,2013-06-28 00:00:00,HF000006PA
1.036437,2013-07-01 00:00:00,HF000006PA
1.045042,2013-07-02 00:00:00,HF000006PA
1.03829,2013-07-03 00:00:00,HF000006PA
1.063082,2013-07-04 00:00:00,HF000006PA
1.077864,2013-07-05 00:00:00,HF000006PA
1.070199,2013-07-08 00:00:00,HF000006PA
1.070482,2013-07-09 00:00:00,HF000006PA
1.091442,2013-07-10 00:00:00,HF000006PA
1.091143,2013-07-11 00:00:00,HF000006PA
1.109212,2013-07-12 00:00:00,HF000006PA
1.103959,2013-07-15 00:00:00,HF000006PA
1.096645,2013-07-16 00:00:00,HF000006PA
1.096645,2013-07-17 00:00:00,HF000006PA
1.083395,2013-07-18 00:00:00,HF000006PA
1.081122,2013-07-19 00:00:00,HF000006PA
1.099135,2013-07-22 00:00:00,HF000006PA
1.096423,2013-07-23 00:00:00,HF000006PA
1.096258,2013-07-24 00:00:00,HF000006PA
1.116363,2013-07-25 00:00:00,HF000006PA
1.103917,2013-07-26 00:00:00,HF000006PA
1.088437,2013-07-29 00:00:00,HF000006PA
1.086895,2013-07-30 00:00:00,HF000006PA
1.073953,2013-07-31 00:00:00,HF000006PA
1.068813,2013-08-01 00:00:00,HF000006PA
1.088887,2013-08-02 00:00:00,HF000006PA
1.092401,2013-08-05 00:00:00,HF000006PA
1.083747,2013-08-06 00:00:00,HF000006PA
1.058116,2013-08-07 00:00:00,HF000006PA
1.069552,2013-08-08 00:00:00,HF000006PA
1.069296,2013-08-09 00:00:00,HF000006PA
1.049623,2013-08-12 00:00:00,HF000006PA
1.048776,2013-08-13 00:00:00,HF000006PA
1.037844,2013-08-14 00:00:00,HF000006PA
1.034363,2013-08-15 00:00:00,HF000006PA
1.094328,2013-08-16 00:00:00,HF000006PA
1.127366,2013-08-19 00:00:00,HF000006PA
1.130318,2013-08-20 00:00:00,HF000006PA
1.133923,2013-08-21 00:00:00,HF000006PA
1.127657,2013-08-22 00:00:00,HF000006PA
1.13763,2013-08-23 00:00:00,HF000006PA
1.144804,2013-08-26 00:00:00,HF000006PA
1.135925,2013-08-27 00:00:00,HF000006PA
1.13777,2013-08-28 00:00:00,HF000006PA
1.142763,2013-08-29 00:00:00,HF000006PA
1.14326,2013-08-30 00:00:00,HF000006PA
1.134208,2013-09-02 00:00:00,HF000006PA
1.103242,2013-09-03 00:00:00,HF000006PA
1.109323,2013-09-04 00:00:00,HF000006PA
1.103214,2013-09-05 00:00:00,HF000006PA
1.103376,2013-09-06 00:00:00,HF000006PA
1.127463,2013-09-09 00:00:00,HF000006PA
1.132384,2013-09-10 00:00:00,HF000006PA
1.127811,2013-09-11 00:00:00,HF000006PA
1.115873,2013-09-12 00:00:00,HF000006PA
1.116003,2013-09-13 00:00:00,HF000006PA
1.116695,2013-09-16 00:00:00,HF000006PA
1.145219,2013-09-17 00:00:00,HF000006PA
1.144836,2013-09-18 00:00:00,HF000006PA
1.135762,2013-09-23 00:00:00,HF000006PA
1.152958,2013-09-24 00:00:00,HF000006PA
1.141468,2013-09-25 00:00:00,HF000006PA
1.138741,2013-09-26 00:00:00,HF000006PA
1.134495,2013-09-27 00:00:00,HF000006PA
1.131078,2013-09-30 00:00:00,HF000006PA
1.117442,2013-10-08 00:00:00,HF000006PA
1.138767,2013-10-09 00:00:00,HF000006PA
1.159391,2013-10-10 00:00:00,HF000006PA
1.18461,2013-10-11 00:00:00,HF000006PA
1.181565,2013-10-14 00:00:00,HF000006PA
1.189974,2013-10-15 00:00:00,HF000006PA
1.200585,2013-10-16 00:00:00,HF000006PA
1.224952,2013-10-17 00:00:00,HF000006PA
1.219881,2013-10-18 00:00:00,HF000006PA
1.215734,2013-10-21 00:00:00,HF000006PA
1.233923,2013-10-22 00:00:00,HF000006PA
1.217127,2013-10-23 00:00:00,HF000006PA
1.213273,2013-10-24 00:00:00,HF000006PA
1.250088,2013-10-25 00:00:00,HF000006PA
1.250171,2013-10-28 00:00:00,HF000006PA
1.221788,2013-10-29 00:00:00,HF000006PA
1.223251,2013-10-30 00:00:00,HF000006PA
1.214696,2013-10-31 00:00:00,HF000006PA
1.195398,2013-11-01 00:00:00,HF000006PA
1.2136,2013-11-04 00:00:00,HF000006PA
1.183255,2013-11-05 00:00:00,HF000006PA
1.169083,2013-11-06 00:00:00,HF000006PA
1.16786,2013-11-07 00:00:00,HF000006PA
1.149936,2013-11-08 00:00:00,HF000006PA
1.146934,2013-11-11 00:00:00,HF000006PA
1.14732,2013-11-12 00:00:00,HF000006PA
1.160972,2013-11-13 00:00:00,HF000006PA
1.153007,2013-11-14 00:00:00,HF000006PA
1.18466,2013-11-15 00:00:00,HF000006PA
1.219489,2013-11-18 00:00:00,HF000006PA
1.21802,2013-11-19 00:00:00,HF000006PA
1.210924,2013-11-20 00:00:00,HF000006PA
1.197958,2013-11-21 00:00:00,HF000006PA
1.208335,2013-11-22 00:00:00,HF000006PA
1.204257,2013-11-25 00:00:00,HF000006PA
1.203139,2013-11-26 00:00:00,HF000006PA
1.234985,2013-11-27 00:00:00,HF000006PA
1.234985,2013-11-28 00:00:00,HF000006PA
1.22173,2013-11-29 00:00:00,HF000006PA
1.215497,2013-12-02 00:00:00,HF000006PA
1.211282,2013-12-03 00:00:00,HF000006PA
1.222118,2013-12-04 00:00:00,HF000006PA
1.222775,2013-12-05 00:00:00,HF000006PA
1.215351,2013-12-06 00:00:00,HF000006PA
1.224611,2013-12-09 00:00:00,HF000006PA
