value,date,id
1.0,2013-12-02 00:00:00,HF000006TN
0.9858,2013-12-27 00:00:00,HF000006TN
0.998,2014-01-03 00:00:00,HF000006TN
0.9845,2014-01-10 00:00:00,HF000006TN
1.018,2014-01-17 00:00:00,HF000006TN
1.0815,2014-01-24 00:00:00,HF000006TN
1.0692,2014-01-30 00:00:00,HF000006TN
1.0751,2014-02-07 00:00:00,HF000006TN
1.1415,2014-02-14 00:00:00,HF000006TN
1.1323,2014-02-21 00:00:00,HF000006TN
1.0853,2014-02-28 00:00:00,HF000006TN
1.0921,2014-03-07 00:00:00,HF000006TN
1.0223,2014-03-14 00:00:00,HF000006TN
1.0304,2014-03-21 00:00:00,HF000006TN
0.9642,2014-03-28 00:00:00,HF000006TN
0.963,2014-03-31 00:00:00,HF000006TN
0.9695,2014-04-04 00:00:00,HF000006TN
0.9776,2014-04-11 00:00:00,HF000006TN
0.9739,2014-04-18 00:00:00,HF000006TN
0.9429,2014-04-25 00:00:00,HF000006TN
0.9348,2014-04-30 00:00:00,HF000006TN
0.9371,2014-05-09 00:00:00,HF000006TN
0.9159,2014-05-16 00:00:00,HF000006TN
0.9258,2014-05-23 00:00:00,HF000006TN
0.9318,2014-05-30 00:00:00,HF000006TN
0.9358,2014-06-06 00:00:00,HF000006TN
0.9673,2014-06-13 00:00:00,HF000006TN
0.9245,2014-06-20 00:00:00,HF000006TN
0.9386,2014-06-27 00:00:00,HF000006TN
0.9438,2014-06-30 00:00:00,HF000006TN
0.9535,2014-07-04 00:00:00,HF000006TN
0.9777,2014-07-11 00:00:00,HF000006TN
0.9609,2014-07-18 00:00:00,HF000006TN
0.9532,2014-07-25 00:00:00,HF000006TN
0.9776,2014-07-31 00:00:00,HF000006TN
0.9726,2014-08-01 00:00:00,HF000006TN
0.9988,2014-08-08 00:00:00,HF000006TN
1.0216,2014-08-15 00:00:00,HF000006TN
1.0438,2014-08-22 00:00:00,HF000006TN
1.0404,2014-08-29 00:00:00,HF000006TN
1.0865,2014-09-05 00:00:00,HF000006TN
1.1078,2014-09-12 00:00:00,HF000006TN
1.1068,2014-09-19 00:00:00,HF000006TN
1.1494,2014-09-26 00:00:00,HF000006TN
1.1406,2014-09-30 00:00:00,HF000006TN
1.1528,2014-10-10 00:00:00,HF000006TN
1.1154,2014-10-17 00:00:00,HF000006TN
1.0739,2014-10-24 00:00:00,HF000006TN
1.1184,2014-10-31 00:00:00,HF000006TN
1.1209,2014-11-07 00:00:00,HF000006TN
1.0991,2014-11-14 00:00:00,HF000006TN
1.1252,2014-11-21 00:00:00,HF000006TN
1.1333,2014-11-28 00:00:00,HF000006TN
1.1679,2014-12-05 00:00:00,HF000006TN
1.2013,2014-12-12 00:00:00,HF000006TN
1.2028,2014-12-19 00:00:00,HF000006TN
1.168,2014-12-26 00:00:00,HF000006TN
1.1566,2014-12-31 00:00:00,HF000006TN
1.168,2015-01-09 00:00:00,HF000006TN
1.1689,2015-01-16 00:00:00,HF000006TN
1.1755,2015-01-23 00:00:00,HF000006TN
1.157,2015-01-30 00:00:00,HF000006TN
1.1503,2015-02-06 00:00:00,HF000006TN
1.1696,2015-02-13 00:00:00,HF000006TN
1.1865,2015-02-27 00:00:00,HF000006TN
1.2113,2015-03-06 00:00:00,HF000006TN
1.2114,2015-03-13 00:00:00,HF000006TN
1.2126,2015-03-20 00:00:00,HF000006TN
1.2147,2015-03-27 00:00:00,HF000006TN
1.2077,2015-03-31 00:00:00,HF000006TN
1.2088,2015-04-03 00:00:00,HF000006TN
1.2102,2015-04-10 00:00:00,HF000006TN
1.2125,2015-04-17 00:00:00,HF000006TN
1.2127,2015-04-24 00:00:00,HF000006TN
1.6414,2015-04-30 00:00:00,HF000006TN
2.1712,2015-05-08 00:00:00,HF000006TN
2.1239,2015-05-15 00:00:00,HF000006TN
2.1864,2015-05-22 00:00:00,HF000006TN
1.956,2015-05-29 00:00:00,HF000006TN
2.1451,2015-06-05 00:00:00,HF000006TN
2.1788,2015-06-12 00:00:00,HF000006TN
1.9285,2015-06-19 00:00:00,HF000006TN
1.8724,2015-06-26 00:00:00,HF000006TN
1.9693,2015-06-30 00:00:00,HF000006TN
