value,date,id
1.0,2013-12-01 00:00:00,HF000006VL
0.9797,2013-12-23 00:00:00,HF000006VL
0.9825,2013-12-31 00:00:00,HF000006VL
1.0538,2014-01-30 00:00:00,HF000006VL
1.0047,2014-02-28 00:00:00,HF000006VL
0.9799,2014-03-31 00:00:00,HF000006VL
0.9935,2014-04-30 00:00:00,HF000006VL
0.9933,2014-05-30 00:00:00,HF000006VL
1.1578,2014-06-30 00:00:00,HF000006VL
1.2134,2014-07-31 00:00:00,HF000006VL
1.1922,2014-08-29 00:00:00,HF000006VL
1.2885,2014-09-30 00:00:00,HF000006VL
1.3296,2014-10-31 00:00:00,HF000006VL
1.3744,2014-11-28 00:00:00,HF000006VL
1.5551,2014-12-12 00:00:00,HF000006VL
1.5627,2014-12-31 00:00:00,HF000006VL
1.3795,2015-01-30 00:00:00,HF000006VL
1.4382,2015-02-27 00:00:00,HF000006VL
1.6281,2015-03-31 00:00:00,HF000006VL
1.6836,2015-04-30 00:00:00,HF000006VL
1.699,2015-05-29 00:00:00,HF000006VL
1.6691,2015-06-30 00:00:00,HF000006VL
1.1884,2015-07-31 00:00:00,HF000006VL
1.2588,2015-08-07 00:00:00,HF000006VL
1.279,2015-08-14 00:00:00,HF000006VL
