value,date,id
1.0,2013-12-18 00:00:00,HF000006YF
0.9921,2014-01-17 00:00:00,HF000006YF
1.0023,2014-01-24 00:00:00,HF000006YF
0.9871,2014-01-30 00:00:00,HF000006YF
0.9816,2014-02-07 00:00:00,HF000006YF
1.0075,2014-02-14 00:00:00,HF000006YF
1.0078,2014-02-21 00:00:00,HF000006YF
0.9656,2014-02-28 00:00:00,HF000006YF
0.9664,2014-03-07 00:00:00,HF000006YF
0.975,2014-03-14 00:00:00,HF000006YF
0.9534,2014-03-21 00:00:00,HF000006YF
0.9306,2014-03-28 00:00:00,HF000006YF
0.9423,2014-03-31 00:00:00,HF000006YF
0.9553,2014-04-04 00:00:00,HF000006YF
0.9844,2014-04-11 00:00:00,HF000006YF
0.9689,2014-04-18 00:00:00,HF000006YF
0.9468,2014-04-25 00:00:00,HF000006YF
0.931,2014-04-30 00:00:00,HF000006YF
0.9317,2014-05-09 00:00:00,HF000006YF
0.9282,2014-05-16 00:00:00,HF000006YF
0.925,2014-05-23 00:00:00,HF000006YF
0.9319,2014-05-30 00:00:00,HF000006YF
0.9242,2014-06-06 00:00:00,HF000006YF
0.9429,2014-06-13 00:00:00,HF000006YF
0.9196,2014-06-20 00:00:00,HF000006YF
0.9401,2014-06-27 00:00:00,HF000006YF
0.942,2014-06-30 00:00:00,HF000006YF
0.9411,2014-07-04 00:00:00,HF000006YF
0.926,2014-07-11 00:00:00,HF000006YF
0.9243,2014-07-18 00:00:00,HF000006YF
0.968,2014-07-25 00:00:00,HF000006YF
1.0056,2014-08-01 00:00:00,HF000006YF
0.993,2014-08-08 00:00:00,HF000006YF
0.9896,2014-08-15 00:00:00,HF000006YF
1.0204,2014-08-22 00:00:00,HF000006YF
0.9932,2014-08-29 00:00:00,HF000006YF
1.0316,2014-09-05 00:00:00,HF000006YF
1.0487,2014-09-12 00:00:00,HF000006YF
1.067,2014-09-19 00:00:00,HF000006YF
1.0949,2014-09-26 00:00:00,HF000006YF
1.0897,2014-09-30 00:00:00,HF000006YF
1.1107,2014-10-10 00:00:00,HF000006YF
1.0865,2014-10-17 00:00:00,HF000006YF
1.0693,2014-10-24 00:00:00,HF000006YF
1.1021,2014-10-31 00:00:00,HF000006YF
1.0829,2014-11-07 00:00:00,HF000006YF
1.0929,2014-11-14 00:00:00,HF000006YF
1.0811,2014-11-21 00:00:00,HF000006YF
1.1821,2014-11-28 00:00:00,HF000006YF
1.353,2014-12-05 00:00:00,HF000006YF
1.4047,2014-12-19 00:00:00,HF000006YF
1.3952,2014-12-26 00:00:00,HF000006YF
1.3989,2014-12-31 00:00:00,HF000006YF
1.4017,2015-01-09 00:00:00,HF000006YF
1.4601,2015-01-16 00:00:00,HF000006YF
1.4652,2015-01-23 00:00:00,HF000006YF
1.4069,2015-01-30 00:00:00,HF000006YF
1.388,2015-02-06 00:00:00,HF000006YF
1.4432,2015-02-13 00:00:00,HF000006YF
1.4399,2015-02-27 00:00:00,HF000006YF
1.4418,2015-03-06 00:00:00,HF000006YF
1.4912,2015-03-13 00:00:00,HF000006YF
1.6211,2015-03-20 00:00:00,HF000006YF
1.6324,2015-03-27 00:00:00,HF000006YF
1.5998,2015-03-31 00:00:00,HF000006YF
1.6572,2015-04-03 00:00:00,HF000006YF
1.7449,2015-04-10 00:00:00,HF000006YF
1.7546,2015-04-17 00:00:00,HF000006YF
1.8599,2015-04-24 00:00:00,HF000006YF
1.8287,2015-04-30 00:00:00,HF000006YF
1.8002,2015-05-08 00:00:00,HF000006YF
1.8263,2015-05-15 00:00:00,HF000006YF
2.0546,2015-05-22 00:00:00,HF000006YF
2.117,2015-05-29 00:00:00,HF000006YF
2.4767,2015-06-05 00:00:00,HF000006YF
2.5604,2015-06-12 00:00:00,HF000006YF
2.2855,2015-06-19 00:00:00,HF000006YF
2.1419,2015-06-26 00:00:00,HF000006YF
2.1052,2015-07-03 00:00:00,HF000006YF
2.2853,2015-07-10 00:00:00,HF000006YF
2.3984,2015-07-17 00:00:00,HF000006YF
2.3853,2015-07-24 00:00:00,HF000006YF
2.3363,2015-07-31 00:00:00,HF000006YF
2.3423,2015-08-07 00:00:00,HF000006YF
