value,date,id
1.0,2014-01-22 00:00:00,HF000007AV
0.9725,2014-01-30 00:00:00,HF000007AV
1.04,2014-02-28 00:00:00,HF000007AV
1.0133,2014-04-30 00:00:00,HF000007AV
1.0027,2014-05-30 00:00:00,HF000007AV
1.0432,2014-06-30 00:00:00,HF000007AV
1.0286,2014-07-15 00:00:00,HF000007AV
1.1095,2014-07-31 00:00:00,HF000007AV
1.1074,2014-08-29 00:00:00,HF000007AV
1.0954,2014-09-15 00:00:00,HF000007AV
1.1192,2014-09-30 00:00:00,HF000007AV
1.0589,2014-10-15 00:00:00,HF000007AV
1.1234,2014-11-14 00:00:00,HF000007AV
1.297531,2014-12-15 00:00:00,HF000007AV
1.481544,2015-01-15 00:00:00,HF000007AV
1.4251,2015-02-15 00:00:00,HF000007AV
1.4234,2015-03-13 00:00:00,HF000007AV
1.5461,2015-04-15 00:00:00,HF000007AV
1.6066,2015-05-15 00:00:00,HF000007AV
1.6568,2015-06-15 00:00:00,HF000007AV
1.4215,2015-07-15 00:00:00,HF000007AV
