value,date,id
1.0,2013-11-20 00:00:00,HF000007GK
1.001,2014-02-21 00:00:00,HF000007GK
1.0024,2014-02-28 00:00:00,HF000007GK
1.0037,2014-03-07 00:00:00,HF000007GK
1.0051,2014-03-14 00:00:00,HF000007GK
1.0065,2014-03-21 00:00:00,HF000007GK
1.0079,2014-03-28 00:00:00,HF000007GK
1.0093,2014-04-04 00:00:00,HF000007GK
1.0107,2014-04-11 00:00:00,HF000007GK
1.012,2014-04-18 00:00:00,HF000007GK
1.0134,2014-04-25 00:00:00,HF000007GK
1.0144,2014-04-30 00:00:00,HF000007GK
1.0162,2014-05-09 00:00:00,HF000007GK
1.0176,2014-05-16 00:00:00,HF000007GK
1.0189,2014-05-23 00:00:00,HF000007GK
1.0203,2014-05-30 00:00:00,HF000007GK
1.0217,2014-06-06 00:00:00,HF000007GK
1.0231,2014-06-13 00:00:00,HF000007GK
1.0245,2014-06-20 00:00:00,HF000007GK
1.0258,2014-06-27 00:00:00,HF000007GK
1.0272,2014-07-04 00:00:00,HF000007GK
1.0286,2014-07-11 00:00:00,HF000007GK
1.03,2014-07-18 00:00:00,HF000007GK
1.0314,2014-07-25 00:00:00,HF000007GK
1.0327,2014-08-01 00:00:00,HF000007GK
1.0341,2014-08-08 00:00:00,HF000007GK
1.0355,2014-08-15 00:00:00,HF000007GK
1.0369,2014-08-22 00:00:00,HF000007GK
1.0004,2014-10-31 00:00:00,HF000007GK
1.0016,2014-11-07 00:00:00,HF000007GK
1.0028,2014-11-14 00:00:00,HF000007GK
1.0041,2014-11-21 00:00:00,HF000007GK
1.0053,2014-11-28 00:00:00,HF000007GK
1.0066,2014-12-05 00:00:00,HF000007GK
1.0078,2014-12-12 00:00:00,HF000007GK
1.0091,2014-12-19 00:00:00,HF000007GK
1.0103,2014-12-26 00:00:00,HF000007GK
1.0112,2014-12-31 00:00:00,HF000007GK
1.0128,2015-01-09 00:00:00,HF000007GK
1.0141,2015-01-16 00:00:00,HF000007GK
1.0153,2015-01-23 00:00:00,HF000007GK
1.0166,2015-01-30 00:00:00,HF000007GK
1.0178,2015-02-06 00:00:00,HF000007GK
1.0191,2015-02-13 00:00:00,HF000007GK
1.0198,2015-02-17 00:00:00,HF000007GK
1.0215,2015-02-27 00:00:00,HF000007GK
1.0228,2015-03-06 00:00:00,HF000007GK
1.024,2015-03-13 00:00:00,HF000007GK
1.0253,2015-03-20 00:00:00,HF000007GK
1.0265,2015-03-27 00:00:00,HF000007GK
1.0278,2015-04-03 00:00:00,HF000007GK
1.029,2015-04-10 00:00:00,HF000007GK
1.0303,2015-04-17 00:00:00,HF000007GK
1.0315,2015-04-24 00:00:00,HF000007GK
1.0326,2015-04-30 00:00:00,HF000007GK
1.0,2015-05-08 00:00:00,HF000007GK
1.0,2015-05-15 00:00:00,HF000007GK
1.0,2015-05-22 00:00:00,HF000007GK
1.0,2015-05-29 00:00:00,HF000007GK
1.0,2015-06-05 00:00:00,HF000007GK
1.0,2015-06-12 00:00:00,HF000007GK
1.0,2015-06-19 00:00:00,HF000007GK
1.0,2015-06-26 00:00:00,HF000007GK
1.0,2015-07-03 00:00:00,HF000007GK
1.0,2015-07-10 00:00:00,HF000007GK
1.0,2015-07-17 00:00:00,HF000007GK
1.0,2015-07-24 00:00:00,HF000007GK
1.0,2015-07-31 00:00:00,HF000007GK
