value,date,id
1.0,2014-03-04 00:00:00,HF000007IN
1.0001,2014-03-07 00:00:00,HF000007IN
1.0084,2014-03-14 00:00:00,HF000007IN
1.0091,2014-03-21 00:00:00,HF000007IN
1.01,2014-03-28 00:00:00,HF000007IN
1.0109,2014-04-04 00:00:00,HF000007IN
1.0118,2014-04-11 00:00:00,HF000007IN
1.0126,2014-04-18 00:00:00,HF000007IN
1.0136,2014-04-25 00:00:00,HF000007IN
1.0155,2014-04-30 00:00:00,HF000007IN
1.017,2014-05-09 00:00:00,HF000007IN
1.0138,2014-05-16 00:00:00,HF000007IN
1.0174,2014-05-23 00:00:00,HF000007IN
1.0186,2014-05-30 00:00:00,HF000007IN
1.0172,2014-06-06 00:00:00,HF000007IN
1.0212,2014-06-13 00:00:00,HF000007IN
1.0252,2014-06-20 00:00:00,HF000007IN
1.033,2014-06-27 00:00:00,HF000007IN
1.0455,2014-07-04 00:00:00,HF000007IN
1.0493,2014-07-11 00:00:00,HF000007IN
1.0461,2014-07-18 00:00:00,HF000007IN
1.0488,2014-07-25 00:00:00,HF000007IN
1.0537,2014-08-01 00:00:00,HF000007IN
1.062,2014-08-08 00:00:00,HF000007IN
1.0652,2014-08-15 00:00:00,HF000007IN
1.071,2014-08-22 00:00:00,HF000007IN
1.076,2014-08-29 00:00:00,HF000007IN
1.093369,2014-09-03 00:00:00,HF000007IN
1.100888,2014-09-04 00:00:00,HF000007IN
1.101523,2014-09-05 00:00:00,HF000007IN
1.117409,2014-09-12 00:00:00,HF000007IN
1.107666,2014-09-19 00:00:00,HF000007IN
1.128212,2014-09-26 00:00:00,HF000007IN
1.136579,2014-09-30 00:00:00,HF000007IN
1.155112,2014-10-10 00:00:00,HF000007IN
1.141027,2014-10-17 00:00:00,HF000007IN
1.135202,2014-10-24 00:00:00,HF000007IN
1.158819,2014-10-31 00:00:00,HF000007IN
1.179894,2014-11-07 00:00:00,HF000007IN
1.15257,2014-11-14 00:00:00,HF000007IN
1.178623,2014-11-21 00:00:00,HF000007IN
1.237718,2014-11-28 00:00:00,HF000007IN
1.359615,2014-12-04 00:00:00,HF000007IN
1.383532,2014-12-05 00:00:00,HF000007IN
1.26987,2014-12-12 00:00:00,HF000007IN
1.296976,2014-12-19 00:00:00,HF000007IN
1.319982,2014-12-26 00:00:00,HF000007IN
1.309732,2014-12-31 00:00:00,HF000007IN
1.282854,2015-01-09 00:00:00,HF000007IN
1.28741,2015-01-16 00:00:00,HF000007IN
1.30996,2015-01-23 00:00:00,HF000007IN
1.32488,2015-01-30 00:00:00,HF000007IN
1.339458,2015-02-06 00:00:00,HF000007IN
1.371233,2015-02-13 00:00:00,HF000007IN
1.408247,2015-02-17 00:00:00,HF000007IN
1.414739,2015-02-27 00:00:00,HF000007IN
1.421458,2015-03-04 00:00:00,HF000007IN
1.422027,2015-03-05 00:00:00,HF000007IN
1.417358,2015-03-06 00:00:00,HF000007IN
1.444236,2015-03-13 00:00:00,HF000007IN
1.522592,2015-03-20 00:00:00,HF000007IN
1.54537,2015-03-27 00:00:00,HF000007IN
1.641607,2015-04-03 00:00:00,HF000007IN
1.692744,2015-04-10 00:00:00,HF000007IN
1.667916,2015-04-17 00:00:00,HF000007IN
1.704475,2015-04-24 00:00:00,HF000007IN
1.6891,2015-04-30 00:00:00,HF000007IN
1.709486,2015-05-08 00:00:00,HF000007IN
1.758573,2015-05-15 00:00:00,HF000007IN
1.953211,2015-05-22 00:00:00,HF000007IN
1.990795,2015-05-29 00:00:00,HF000007IN
2.114707,2015-06-04 00:00:00,HF000007IN
2.132285,2015-06-05 00:00:00,HF000007IN
2.214061,2015-06-12 00:00:00,HF000007IN
1.886385,2015-06-19 00:00:00,HF000007IN
1.696848,2015-06-26 00:00:00,HF000007IN
1.480754,2015-07-03 00:00:00,HF000007IN
1.365924,2015-07-10 00:00:00,HF000007IN
1.382356,2015-07-17 00:00:00,HF000007IN
1.450375,2015-07-24 00:00:00,HF000007IN
1.339557,2015-07-31 00:00:00,HF000007IN
1.383502,2015-08-07 00:00:00,HF000007IN
1.453814,2015-08-14 00:00:00,HF000007IN
