value,date,id
1.0,2014-01-23 00:00:00,HF000007JA
0.9983,2014-01-24 00:00:00,HF000007JA
0.9874,2014-02-07 00:00:00,HF000007JA
0.985,2014-02-14 00:00:00,HF000007JA
0.9949,2014-02-21 00:00:00,HF000007JA
0.9941,2014-02-28 00:00:00,HF000007JA
0.9823,2014-03-07 00:00:00,HF000007JA
0.9726,2014-03-14 00:00:00,HF000007JA
0.9793,2014-03-21 00:00:00,HF000007JA
0.9769,2014-03-28 00:00:00,HF000007JA
0.9742,2014-04-04 00:00:00,HF000007JA
0.9785,2014-04-11 00:00:00,HF000007JA
0.9818,2014-04-18 00:00:00,HF000007JA
0.9811,2014-04-25 00:00:00,HF000007JA
0.9836,2014-04-30 00:00:00,HF000007JA
0.9895,2014-05-09 00:00:00,HF000007JA
0.9807,2014-05-16 00:00:00,HF000007JA
0.9782,2014-05-23 00:00:00,HF000007JA
0.9846,2014-05-30 00:00:00,HF000007JA
0.993,2014-06-06 00:00:00,HF000007JA
0.9935,2014-06-13 00:00:00,HF000007JA
0.9881,2014-06-20 00:00:00,HF000007JA
1.0059,2014-06-27 00:00:00,HF000007JA
1.0124,2014-07-04 00:00:00,HF000007JA
1.0418,2014-07-11 00:00:00,HF000007JA
1.0417,2014-07-18 00:00:00,HF000007JA
1.0685,2014-07-25 00:00:00,HF000007JA
1.0858,2014-07-29 00:00:00,HF000007JA
1.0799,2014-08-01 00:00:00,HF000007JA
1.0972,2014-08-08 00:00:00,HF000007JA
1.1376,2014-08-15 00:00:00,HF000007JA
1.1475,2014-08-22 00:00:00,HF000007JA
1.1531,2014-08-29 00:00:00,HF000007JA
1.2957,2014-09-05 00:00:00,HF000007JA
1.318,2014-09-12 00:00:00,HF000007JA
1.3313,2014-09-15 00:00:00,HF000007JA
1.322,2014-09-16 00:00:00,HF000007JA
1.3309,2014-09-17 00:00:00,HF000007JA
1.3379,2014-09-19 00:00:00,HF000007JA
1.3472,2014-09-26 00:00:00,HF000007JA
1.4021,2014-09-30 00:00:00,HF000007JA
1.4172,2014-10-10 00:00:00,HF000007JA
1.4369,2014-10-17 00:00:00,HF000007JA
1.4733,2014-10-24 00:00:00,HF000007JA
1.5684,2014-10-31 00:00:00,HF000007JA
1.6039,2014-11-07 00:00:00,HF000007JA
1.6128,2014-11-14 00:00:00,HF000007JA
1.6688,2014-11-21 00:00:00,HF000007JA
1.7556,2014-11-28 00:00:00,HF000007JA
1.7715,2014-12-05 00:00:00,HF000007JA
2.009,2014-12-12 00:00:00,HF000007JA
2.0382,2014-12-19 00:00:00,HF000007JA
1.8641,2014-12-26 00:00:00,HF000007JA
1.9025,2014-12-31 00:00:00,HF000007JA
1.9656,2015-01-09 00:00:00,HF000007JA
1.9646,2015-01-16 00:00:00,HF000007JA
1.9943,2015-01-23 00:00:00,HF000007JA
2.046165,2015-01-26 00:00:00,HF000007JA
2.12469,2015-01-30 00:00:00,HF000007JA
1.909959,2015-02-06 00:00:00,HF000007JA
1.974588,2015-02-10 00:00:00,HF000007JA
2.016435,2015-02-11 00:00:00,HF000007JA
2.190288,2015-02-13 00:00:00,HF000007JA
2.29725,2015-02-27 00:00:00,HF000007JA
2.307268,2015-03-06 00:00:00,HF000007JA
2.375452,2015-03-13 00:00:00,HF000007JA
2.783263,2015-03-20 00:00:00,HF000007JA
2.869866,2015-03-27 00:00:00,HF000007JA
3.082497,2015-04-03 00:00:00,HF000007JA
3.177664,2015-04-10 00:00:00,HF000007JA
3.283818,2015-04-16 00:00:00,HF000007JA
3.420509,2015-04-17 00:00:00,HF000007JA
3.70197,2015-04-24 00:00:00,HF000007JA
3.684035,2015-04-30 00:00:00,HF000007JA
3.50485,2015-05-08 00:00:00,HF000007JA
3.82735,2015-05-15 00:00:00,HF000007JA
4.31207,2015-05-22 00:00:00,HF000007JA
4.281371,2015-05-29 00:00:00,HF000007JA
5.304777,2015-06-05 00:00:00,HF000007JA
5.331921,2015-06-12 00:00:00,HF000007JA
4.242755,2015-06-19 00:00:00,HF000007JA
3.951115,2015-06-26 00:00:00,HF000007JA
2.960186,2015-07-03 00:00:00,HF000007JA
2.311146,2015-07-10 00:00:00,HF000007JA
2.857587,2015-07-17 00:00:00,HF000007JA
3.171039,2015-07-24 00:00:00,HF000007JA
2.907998,2015-07-29 00:00:00,HF000007JA
2.796512,2015-07-31 00:00:00,HF000007JA
