value,date,id
1.0,2014-03-21 00:00:00,HF000007NN
1.002,2014-03-28 00:00:00,HF000007NN
1.003,2014-04-04 00:00:00,HF000007NN
1.004,2014-04-11 00:00:00,HF000007NN
1.006,2014-04-18 00:00:00,HF000007NN
1.007,2014-04-25 00:00:00,HF000007NN
1.01,2014-05-09 00:00:00,HF000007NN
1.011,2014-05-16 00:00:00,HF000007NN
1.012,2014-05-23 00:00:00,HF000007NN
1.014,2014-05-30 00:00:00,HF000007NN
1.015,2014-06-06 00:00:00,HF000007NN
1.017,2014-06-13 00:00:00,HF000007NN
1.03,2014-08-22 00:00:00,HF000007NN
1.032,2014-08-29 00:00:00,HF000007NN
1.033,2014-09-05 00:00:00,HF000007NN
1.034,2014-09-12 00:00:00,HF000007NN
1.036,2014-09-19 00:00:00,HF000007NN
1.037,2014-09-26 00:00:00,HF000007NN
1.04,2014-10-10 00:00:00,HF000007NN
1.041,2014-10-17 00:00:00,HF000007NN
1.042,2014-10-24 00:00:00,HF000007NN
1.044,2014-10-31 00:00:00,HF000007NN
1.045,2014-11-07 00:00:00,HF000007NN
1.046,2014-11-14 00:00:00,HF000007NN
1.048,2014-11-21 00:00:00,HF000007NN
1.049,2014-11-28 00:00:00,HF000007NN
1.051,2014-12-05 00:00:00,HF000007NN
1.052,2014-12-12 00:00:00,HF000007NN
1.053,2014-12-19 00:00:00,HF000007NN
1.055,2014-12-26 00:00:00,HF000007NN
1.057,2015-01-09 00:00:00,HF000007NN
1.059,2015-01-16 00:00:00,HF000007NN
1.06,2015-01-23 00:00:00,HF000007NN
1.061,2015-01-30 00:00:00,HF000007NN
1.063,2015-02-06 00:00:00,HF000007NN
1.064,2015-02-13 00:00:00,HF000007NN
1.067,2015-02-27 00:00:00,HF000007NN
1.068,2015-03-06 00:00:00,HF000007NN
1.07,2015-03-13 00:00:00,HF000007NN
1.071,2015-03-20 00:00:00,HF000007NN
1.072,2015-03-27 00:00:00,HF000007NN
1.074,2015-04-03 00:00:00,HF000007NN
1.075,2015-04-10 00:00:00,HF000007NN
1.076,2015-04-17 00:00:00,HF000007NN
1.077,2015-04-20 00:00:00,HF000007NN
1.077,2015-04-21 00:00:00,HF000007NN
1.077,2015-04-22 00:00:00,HF000007NN
1.078,2015-04-23 00:00:00,HF000007NN
1.078,2015-04-24 00:00:00,HF000007NN
1.078,2015-04-27 00:00:00,HF000007NN
