value,date,id
1.0,2014-03-03 00:00:00,HF000007OO
1.0001,2014-03-07 00:00:00,HF000007OO
1.015,2014-03-14 00:00:00,HF000007OO
1.001,2014-03-21 00:00:00,HF000007OO
1.0022,2014-03-28 00:00:00,HF000007OO
1.0029,2014-03-31 00:00:00,HF000007OO
1.0039,2014-04-04 00:00:00,HF000007OO
1.0058,2014-04-11 00:00:00,HF000007OO
1.0074,2014-04-18 00:00:00,HF000007OO
1.0087,2014-04-25 00:00:00,HF000007OO
1.0099,2014-04-30 00:00:00,HF000007OO
1.0126,2014-05-09 00:00:00,HF000007OO
1.014,2014-05-16 00:00:00,HF000007OO
1.0152,2014-05-23 00:00:00,HF000007OO
1.0172,2014-05-30 00:00:00,HF000007OO
1.0193,2014-06-06 00:00:00,HF000007OO
1.0232,2014-06-13 00:00:00,HF000007OO
1.0222,2014-06-20 00:00:00,HF000007OO
1.0244,2014-06-27 00:00:00,HF000007OO
1.025,2014-06-30 00:00:00,HF000007OO
1.0225,2014-07-04 00:00:00,HF000007OO
1.0245,2014-07-11 00:00:00,HF000007OO
1.025,2014-07-18 00:00:00,HF000007OO
1.0269,2014-07-25 00:00:00,HF000007OO
1.0321,2014-07-31 00:00:00,HF000007OO
1.0322,2014-08-01 00:00:00,HF000007OO
1.0291,2014-08-08 00:00:00,HF000007OO
1.0358,2014-08-15 00:00:00,HF000007OO
1.0371,2014-08-22 00:00:00,HF000007OO
1.0385,2014-08-29 00:00:00,HF000007OO
1.0379,2014-09-05 00:00:00,HF000007OO
1.0414,2014-09-12 00:00:00,HF000007OO
1.0432,2014-09-19 00:00:00,HF000007OO
1.0446,2014-09-26 00:00:00,HF000007OO
1.0456,2014-09-30 00:00:00,HF000007OO
1.0476,2014-10-10 00:00:00,HF000007OO
1.05,2014-10-17 00:00:00,HF000007OO
1.0527,2014-10-24 00:00:00,HF000007OO
1.055,2014-10-31 00:00:00,HF000007OO
1.0581,2014-11-07 00:00:00,HF000007OO
1.0598,2014-11-14 00:00:00,HF000007OO
1.0614,2014-11-28 00:00:00,HF000007OO
1.0599,2014-12-31 00:00:00,HF000007OO
1.0682,2015-01-23 00:00:00,HF000007OO
1.0689,2015-01-30 00:00:00,HF000007OO
1.0706,2015-02-06 00:00:00,HF000007OO
