value,date,id
1.0,2014-01-27 00:00:00,HF000007QS
1.0044,2014-02-21 00:00:00,HF000007QS
1.0049,2014-02-25 00:00:00,HF000007QS
1.0051,2014-02-26 00:00:00,HF000007QS
1.0053,2014-02-27 00:00:00,HF000007QS
1.0054,2014-02-28 00:00:00,HF000007QS
1.0063,2014-03-07 00:00:00,HF000007QS
1.0073,2014-03-14 00:00:00,HF000007QS
1.0082,2014-03-21 00:00:00,HF000007QS
1.0092,2014-03-28 00:00:00,HF000007QS
1.0101,2014-04-04 00:00:00,HF000007QS
1.0112,2014-04-11 00:00:00,HF000007QS
1.0121,2014-04-18 00:00:00,HF000007QS
1.0131,2014-04-25 00:00:00,HF000007QS
1.0136,2014-04-30 00:00:00,HF000007QS
1.0139,2014-05-05 00:00:00,HF000007QS
1.0144,2014-05-06 00:00:00,HF000007QS
1.0148,2014-05-09 00:00:00,HF000007QS
1.0157,2014-05-16 00:00:00,HF000007QS
1.0164,2014-05-23 00:00:00,HF000007QS
1.0201,2014-06-03 00:00:00,HF000007QS
1.0204,2014-06-04 00:00:00,HF000007QS
1.0204,2014-06-06 00:00:00,HF000007QS
1.0211,2014-06-13 00:00:00,HF000007QS
1.0183,2014-06-20 00:00:00,HF000007QS
1.0236,2014-07-04 00:00:00,HF000007QS
1.024,2014-07-11 00:00:00,HF000007QS
1.0284,2014-07-18 00:00:00,HF000007QS
1.0371,2014-07-25 00:00:00,HF000007QS
1.0373,2014-07-31 00:00:00,HF000007QS
1.039,2014-08-01 00:00:00,HF000007QS
1.0392,2014-08-04 00:00:00,HF000007QS
1.0341,2014-08-08 00:00:00,HF000007QS
1.0363,2014-08-15 00:00:00,HF000007QS
1.0385,2014-08-22 00:00:00,HF000007QS
1.0321,2014-08-28 00:00:00,HF000007QS
1.0334,2014-08-29 00:00:00,HF000007QS
1.0362,2014-09-05 00:00:00,HF000007QS
1.0365,2014-09-12 00:00:00,HF000007QS
1.0374,2014-09-19 00:00:00,HF000007QS
1.0399,2014-09-26 00:00:00,HF000007QS
1.0392,2014-09-30 00:00:00,HF000007QS
1.043,2014-10-10 00:00:00,HF000007QS
1.0417,2014-10-17 00:00:00,HF000007QS
1.036,2014-10-24 00:00:00,HF000007QS
1.0396,2014-10-31 00:00:00,HF000007QS
1.0331,2014-11-07 00:00:00,HF000007QS
1.0412,2014-11-14 00:00:00,HF000007QS
1.0412,2014-11-21 00:00:00,HF000007QS
1.0554,2014-11-27 00:00:00,HF000007QS
1.0586,2014-11-28 00:00:00,HF000007QS
1.0805,2014-12-05 00:00:00,HF000007QS
1.0876,2014-12-19 00:00:00,HF000007QS
1.0957,2014-12-26 00:00:00,HF000007QS
1.1049,2014-12-30 00:00:00,HF000007QS
1.1098,2014-12-31 00:00:00,HF000007QS
1.1313,2015-01-09 00:00:00,HF000007QS
1.1408,2015-01-16 00:00:00,HF000007QS
1.1426,2015-01-23 00:00:00,HF000007QS
1.145,2015-01-26 00:00:00,HF000007QS
1.1339,2015-01-30 00:00:00,HF000007QS
1.1283,2015-02-06 00:00:00,HF000007QS
1.137594,2015-02-13 00:00:00,HF000007QS
1.141381,2015-02-17 00:00:00,HF000007QS
1.13943,2015-02-27 00:00:00,HF000007QS
1.127955,2015-03-06 00:00:00,HF000007QS
1.137249,2015-03-13 00:00:00,HF000007QS
1.152969,2015-03-20 00:00:00,HF000007QS
1.150904,2015-03-27 00:00:00,HF000007QS
1.159166,2015-04-03 00:00:00,HF000007QS
1.176607,2015-04-10 00:00:00,HF000007QS
1.187393,2015-04-17 00:00:00,HF000007QS
1.186705,2015-04-24 00:00:00,HF000007QS
1.19359,2015-04-30 00:00:00,HF000007QS
1.168231,2015-05-08 00:00:00,HF000007QS
1.165821,2015-05-15 00:00:00,HF000007QS
1.183951,2015-05-22 00:00:00,HF000007QS
1.186361,2015-05-29 00:00:00,HF000007QS
1.208851,2015-06-05 00:00:00,HF000007QS
1.2139,2015-06-12 00:00:00,HF000007QS
1.186361,2015-06-19 00:00:00,HF000007QS
1.183492,2015-06-26 00:00:00,HF000007QS
1.147462,2015-06-29 00:00:00,HF000007QS
1.160428,2015-06-30 00:00:00,HF000007QS
1.149068,2015-07-01 00:00:00,HF000007QS
1.140347,2015-07-02 00:00:00,HF000007QS
1.126233,2015-07-03 00:00:00,HF000007QS
1.145166,2015-07-06 00:00:00,HF000007QS
1.145051,2015-07-07 00:00:00,HF000007QS
1.1431,2015-07-08 00:00:00,HF000007QS
1.130478,2015-07-09 00:00:00,HF000007QS
1.137363,2015-07-10 00:00:00,HF000007QS
1.138281,2015-07-13 00:00:00,HF000007QS
1.134839,2015-07-14 00:00:00,HF000007QS
1.130364,2015-07-15 00:00:00,HF000007QS
1.13002,2015-07-16 00:00:00,HF000007QS
1.133233,2015-07-17 00:00:00,HF000007QS
1.133348,2015-07-20 00:00:00,HF000007QS
1.133348,2015-07-21 00:00:00,HF000007QS
1.133233,2015-07-22 00:00:00,HF000007QS
1.136331,2015-07-23 00:00:00,HF000007QS
1.133118,2015-07-24 00:00:00,HF000007QS
1.126922,2015-07-27 00:00:00,HF000007QS
1.124053,2015-07-28 00:00:00,HF000007QS
1.126348,2015-07-29 00:00:00,HF000007QS
1.123135,2015-07-30 00:00:00,HF000007QS
1.121299,2015-07-31 00:00:00,HF000007QS
1.116365,2015-08-03 00:00:00,HF000007QS
1.118889,2015-08-04 00:00:00,HF000007QS
1.117971,2015-08-05 00:00:00,HF000007QS
1.117627,2015-08-06 00:00:00,HF000007QS
1.119922,2015-08-07 00:00:00,HF000007QS
1.124627,2015-08-10 00:00:00,HF000007QS
1.124283,2015-08-11 00:00:00,HF000007QS
1.1213,2015-08-12 00:00:00,HF000007QS
1.124398,2015-08-13 00:00:00,HF000007QS
