value,date,id
1.0,2014-03-20 00:00:00,HF000007R3
1.0004,2014-03-21 00:00:00,HF000007R3
1.001,2014-03-24 00:00:00,HF000007R3
1.0012,2014-03-25 00:00:00,HF000007R3
1.0014,2014-03-26 00:00:00,HF000007R3
1.0016,2014-03-27 00:00:00,HF000007R3
1.0018,2014-03-28 00:00:00,HF000007R3
1.0025,2014-03-31 00:00:00,HF000007R3
1.0027,2014-04-01 00:00:00,HF000007R3
1.0029,2014-04-02 00:00:00,HF000007R3
1.0031,2014-04-03 00:00:00,HF000007R3
1.0033,2014-04-04 00:00:00,HF000007R3
1.0041,2014-04-08 00:00:00,HF000007R3
1.0043,2014-04-09 00:00:00,HF000007R3
1.0045,2014-04-10 00:00:00,HF000007R3
1.0047,2014-04-11 00:00:00,HF000007R3
1.0053,2014-04-14 00:00:00,HF000007R3
1.0055,2014-04-15 00:00:00,HF000007R3
1.0058,2014-04-16 00:00:00,HF000007R3
1.0062,2014-04-18 00:00:00,HF000007R3
1.0068,2014-04-21 00:00:00,HF000007R3
1.007,2014-04-22 00:00:00,HF000007R3
1.0072,2014-04-23 00:00:00,HF000007R3
1.0074,2014-04-24 00:00:00,HF000007R3
1.0076,2014-04-25 00:00:00,HF000007R3
1.0082,2014-04-28 00:00:00,HF000007R3
1.0084,2014-04-29 00:00:00,HF000007R3
1.0086,2014-04-30 00:00:00,HF000007R3
1.0097,2014-05-05 00:00:00,HF000007R3
1.0099,2014-05-06 00:00:00,HF000007R3
1.0101,2014-05-07 00:00:00,HF000007R3
1.0103,2014-05-08 00:00:00,HF000007R3
1.0105,2014-05-09 00:00:00,HF000007R3
1.0111,2014-05-12 00:00:00,HF000007R3
1.0113,2014-05-13 00:00:00,HF000007R3
1.0115,2014-05-14 00:00:00,HF000007R3
1.0117,2014-05-15 00:00:00,HF000007R3
1.0119,2014-05-16 00:00:00,HF000007R3
1.0125,2014-05-19 00:00:00,HF000007R3
1.0127,2014-05-20 00:00:00,HF000007R3
1.0129,2014-05-21 00:00:00,HF000007R3
1.0132,2014-05-22 00:00:00,HF000007R3
1.0134,2014-05-23 00:00:00,HF000007R3
1.014,2014-05-26 00:00:00,HF000007R3
1.0142,2014-05-27 00:00:00,HF000007R3
1.0144,2014-05-28 00:00:00,HF000007R3
1.0146,2014-05-29 00:00:00,HF000007R3
1.0148,2014-05-30 00:00:00,HF000007R3
1.0156,2014-06-03 00:00:00,HF000007R3
1.0191,2014-06-20 00:00:00,HF000007R3
1.0197,2014-06-23 00:00:00,HF000007R3
1.0199,2014-06-24 00:00:00,HF000007R3
1.0201,2014-06-25 00:00:00,HF000007R3
1.0203,2014-06-26 00:00:00,HF000007R3
1.0205,2014-06-27 00:00:00,HF000007R3
1.0212,2014-06-30 00:00:00,HF000007R3
1.0214,2014-07-01 00:00:00,HF000007R3
1.0216,2014-07-02 00:00:00,HF000007R3
1.0218,2014-07-03 00:00:00,HF000007R3
1.022,2014-07-04 00:00:00,HF000007R3
1.0226,2014-07-07 00:00:00,HF000007R3
1.0228,2014-07-08 00:00:00,HF000007R3
1.023,2014-07-09 00:00:00,HF000007R3
1.0232,2014-07-10 00:00:00,HF000007R3
1.0234,2014-07-11 00:00:00,HF000007R3
1.024,2014-07-14 00:00:00,HF000007R3
1.0242,2014-07-15 00:00:00,HF000007R3
1.0245,2014-07-16 00:00:00,HF000007R3
1.0247,2014-07-17 00:00:00,HF000007R3
1.0255,2014-07-21 00:00:00,HF000007R3
1.0257,2014-07-22 00:00:00,HF000007R3
1.0259,2014-07-23 00:00:00,HF000007R3
1.0261,2014-07-24 00:00:00,HF000007R3
1.0263,2014-07-25 00:00:00,HF000007R3
1.0269,2014-07-28 00:00:00,HF000007R3
1.0271,2014-07-29 00:00:00,HF000007R3
1.0273,2014-07-30 00:00:00,HF000007R3
1.0275,2014-07-31 00:00:00,HF000007R3
1.0277,2014-08-01 00:00:00,HF000007R3
1.0284,2014-08-04 00:00:00,HF000007R3
1.0286,2014-08-05 00:00:00,HF000007R3
1.0288,2014-08-06 00:00:00,HF000007R3
1.029,2014-08-07 00:00:00,HF000007R3
1.0292,2014-08-08 00:00:00,HF000007R3
1.0298,2014-08-11 00:00:00,HF000007R3
1.03,2014-08-12 00:00:00,HF000007R3
1.0302,2014-08-13 00:00:00,HF000007R3
1.0304,2014-08-14 00:00:00,HF000007R3
1.0306,2014-08-15 00:00:00,HF000007R3
1.0312,2014-08-18 00:00:00,HF000007R3
1.0321,2014-08-22 00:00:00,HF000007R3
1.0327,2014-08-25 00:00:00,HF000007R3
1.0329,2014-08-26 00:00:00,HF000007R3
1.0331,2014-08-27 00:00:00,HF000007R3
1.0333,2014-08-28 00:00:00,HF000007R3
1.0335,2014-08-29 00:00:00,HF000007R3
1.0341,2014-09-01 00:00:00,HF000007R3
1.0343,2014-09-02 00:00:00,HF000007R3
1.0345,2014-09-03 00:00:00,HF000007R3
1.0347,2014-09-04 00:00:00,HF000007R3
1.0349,2014-09-05 00:00:00,HF000007R3
1.0358,2014-09-09 00:00:00,HF000007R3
1.036,2014-09-10 00:00:00,HF000007R3
1.0362,2014-09-11 00:00:00,HF000007R3
1.0364,2014-09-12 00:00:00,HF000007R3
1.037,2014-09-15 00:00:00,HF000007R3
1.0372,2014-09-16 00:00:00,HF000007R3
1.0374,2014-09-17 00:00:00,HF000007R3
1.0376,2014-09-18 00:00:00,HF000007R3
1.0378,2014-09-19 00:00:00,HF000007R3
1.0384,2014-09-22 00:00:00,HF000007R3
1.0,2014-09-23 00:00:00,HF000007R3
1.0,2014-09-24 00:00:00,HF000007R3
1.0,2014-09-25 00:00:00,HF000007R3
1.0,2014-09-26 00:00:00,HF000007R3
1.0,2014-09-29 00:00:00,HF000007R3
1.0,2014-09-30 00:00:00,HF000007R3
1.0,2014-10-08 00:00:00,HF000007R3
1.0,2014-10-09 00:00:00,HF000007R3
1.0,2014-10-13 00:00:00,HF000007R3
1.0,2014-10-14 00:00:00,HF000007R3
1.0,2014-10-15 00:00:00,HF000007R3
1.0,2014-10-16 00:00:00,HF000007R3
1.0,2014-10-17 00:00:00,HF000007R3
1.0,2014-10-20 00:00:00,HF000007R3
1.0,2014-10-21 00:00:00,HF000007R3
1.0,2014-10-22 00:00:00,HF000007R3
1.0,2014-10-23 00:00:00,HF000007R3
1.0,2014-10-24 00:00:00,HF000007R3
1.0,2014-10-27 00:00:00,HF000007R3
1.0,2014-10-28 00:00:00,HF000007R3
1.0,2014-10-29 00:00:00,HF000007R3
1.0,2014-10-30 00:00:00,HF000007R3
1.0,2014-10-31 00:00:00,HF000007R3
1.0,2014-11-03 00:00:00,HF000007R3
1.0,2014-11-04 00:00:00,HF000007R3
1.0,2014-11-05 00:00:00,HF000007R3
1.0,2014-11-06 00:00:00,HF000007R3
1.0,2014-11-07 00:00:00,HF000007R3
1.0,2014-11-10 00:00:00,HF000007R3
1.0,2014-11-11 00:00:00,HF000007R3
1.0,2014-11-12 00:00:00,HF000007R3
1.0,2014-11-13 00:00:00,HF000007R3
1.0,2014-11-14 00:00:00,HF000007R3
1.0,2014-11-17 00:00:00,HF000007R3
1.0,2014-11-18 00:00:00,HF000007R3
1.0,2014-11-19 00:00:00,HF000007R3
1.0,2014-11-20 00:00:00,HF000007R3
1.0445,2014-11-24 00:00:00,HF000007R3
1.0447,2014-11-25 00:00:00,HF000007R3
1.0449,2014-11-26 00:00:00,HF000007R3
1.0451,2014-11-27 00:00:00,HF000007R3
1.0452,2014-11-28 00:00:00,HF000007R3
1.0458,2014-12-01 00:00:00,HF000007R3
1.0459,2014-12-02 00:00:00,HF000007R3
1.0461,2014-12-03 00:00:00,HF000007R3
1.0463,2014-12-04 00:00:00,HF000007R3
1.0465,2014-12-05 00:00:00,HF000007R3
1.047,2014-12-08 00:00:00,HF000007R3
1.0472,2014-12-09 00:00:00,HF000007R3
1.0474,2014-12-10 00:00:00,HF000007R3
1.0475,2014-12-11 00:00:00,HF000007R3
1.0,2014-12-12 00:00:00,HF000007R3
1.0,2014-12-15 00:00:00,HF000007R3
1.0,2014-12-16 00:00:00,HF000007R3
1.0,2014-12-17 00:00:00,HF000007R3
1.0,2014-12-18 00:00:00,HF000007R3
1.0,2014-12-19 00:00:00,HF000007R3
1.0,2014-12-22 00:00:00,HF000007R3
1.0,2014-12-23 00:00:00,HF000007R3
1.0,2014-12-24 00:00:00,HF000007R3
1.0,2014-12-25 00:00:00,HF000007R3
1.0,2014-12-26 00:00:00,HF000007R3
1.0,2014-12-29 00:00:00,HF000007R3
1.0,2014-12-30 00:00:00,HF000007R3
1.0,2014-12-31 00:00:00,HF000007R3
1.0,2015-01-05 00:00:00,HF000007R3
1.0,2015-01-06 00:00:00,HF000007R3
1.0,2015-01-07 00:00:00,HF000007R3
1.0,2015-01-08 00:00:00,HF000007R3
1.0,2015-01-09 00:00:00,HF000007R3
1.0,2015-01-12 00:00:00,HF000007R3
1.0,2015-01-13 00:00:00,HF000007R3
1.0,2015-01-14 00:00:00,HF000007R3
1.0,2015-01-15 00:00:00,HF000007R3
1.0,2015-01-16 00:00:00,HF000007R3
1.0,2015-01-19 00:00:00,HF000007R3
1.0,2015-01-20 00:00:00,HF000007R3
1.0,2015-01-21 00:00:00,HF000007R3
1.0,2015-01-22 00:00:00,HF000007R3
1.0,2015-01-23 00:00:00,HF000007R3
1.0,2015-01-26 00:00:00,HF000007R3
1.0,2015-01-27 00:00:00,HF000007R3
1.0,2015-01-28 00:00:00,HF000007R3
1.0,2015-01-29 00:00:00,HF000007R3
1.0,2015-01-30 00:00:00,HF000007R3
1.0,2015-02-02 00:00:00,HF000007R3
1.0,2015-02-03 00:00:00,HF000007R3
1.0,2015-02-04 00:00:00,HF000007R3
1.0,2015-02-05 00:00:00,HF000007R3
1.0,2015-02-06 00:00:00,HF000007R3
1.0,2015-02-09 00:00:00,HF000007R3
1.0002,2015-02-10 00:00:00,HF000007R3
1.0004,2015-02-11 00:00:00,HF000007R3
1.0005,2015-02-12 00:00:00,HF000007R3
1.0007,2015-02-13 00:00:00,HF000007R3
1.0012,2015-02-16 00:00:00,HF000007R3
1.0014,2015-02-17 00:00:00,HF000007R3
1.0028,2015-02-25 00:00:00,HF000007R3
1.003,2015-02-26 00:00:00,HF000007R3
1.0032,2015-02-27 00:00:00,HF000007R3
1.0037,2015-03-02 00:00:00,HF000007R3
1.0039,2015-03-03 00:00:00,HF000007R3
1.0041,2015-03-04 00:00:00,HF000007R3
1.0043,2015-03-05 00:00:00,HF000007R3
1.0045,2015-03-06 00:00:00,HF000007R3
1.005,2015-03-09 00:00:00,HF000007R3
1.0052,2015-03-10 00:00:00,HF000007R3
1.0053,2015-03-11 00:00:00,HF000007R3
1.0055,2015-03-12 00:00:00,HF000007R3
1.005701,2015-03-13 00:00:00,HF000007R3
1.006204,2015-03-16 00:00:00,HF000007R3
1.006405,2015-03-17 00:00:00,HF000007R3
1.006606,2015-03-18 00:00:00,HF000007R3
1.006807,2015-03-19 00:00:00,HF000007R3
1.006908,2015-03-20 00:00:00,HF000007R3
1.007511,2015-03-23 00:00:00,HF000007R3
1.007712,2015-03-24 00:00:00,HF000007R3
1.007813,2015-03-25 00:00:00,HF000007R3
1.008014,2015-03-26 00:00:00,HF000007R3
1.008215,2015-03-27 00:00:00,HF000007R3
1.008718,2015-03-30 00:00:00,HF000007R3
1.008919,2015-03-31 00:00:00,HF000007R3
1.00912,2015-04-01 00:00:00,HF000007R3
1.009321,2015-04-02 00:00:00,HF000007R3
1.009422,2015-04-03 00:00:00,HF000007R3
1.010226,2015-04-07 00:00:00,HF000007R3
1.0055,2015-04-08 00:00:00,HF000007R3
1.0055,2015-04-09 00:00:00,HF000007R3
1.0055,2015-04-10 00:00:00,HF000007R3
1.0055,2015-04-13 00:00:00,HF000007R3
1.0055,2015-04-14 00:00:00,HF000007R3
1.0055,2015-04-15 00:00:00,HF000007R3
1.0055,2015-04-16 00:00:00,HF000007R3
1.0055,2015-04-17 00:00:00,HF000007R3
1.0055,2015-04-20 00:00:00,HF000007R3
1.0055,2015-04-21 00:00:00,HF000007R3
1.0055,2015-04-22 00:00:00,HF000007R3
1.0055,2015-04-23 00:00:00,HF000007R3
1.0055,2015-04-24 00:00:00,HF000007R3
1.0055,2015-04-27 00:00:00,HF000007R3
1.0055,2015-04-28 00:00:00,HF000007R3
1.0055,2015-04-29 00:00:00,HF000007R3
1.0055,2015-04-30 00:00:00,HF000007R3
1.0055,2015-05-04 00:00:00,HF000007R3
1.0055,2015-05-05 00:00:00,HF000007R3
1.0055,2015-05-06 00:00:00,HF000007R3
1.0055,2015-05-07 00:00:00,HF000007R3
1.0055,2015-05-08 00:00:00,HF000007R3
1.0055,2015-05-11 00:00:00,HF000007R3
1.0055,2015-05-12 00:00:00,HF000007R3
1.0055,2015-05-13 00:00:00,HF000007R3
1.0055,2015-05-14 00:00:00,HF000007R3
1.0055,2015-05-15 00:00:00,HF000007R3
1.0055,2015-05-18 00:00:00,HF000007R3
1.0055,2015-05-19 00:00:00,HF000007R3
1.0055,2015-05-20 00:00:00,HF000007R3
1.0055,2015-05-21 00:00:00,HF000007R3
1.0055,2015-05-22 00:00:00,HF000007R3
1.0055,2015-05-25 00:00:00,HF000007R3
1.0055,2015-05-26 00:00:00,HF000007R3
1.0055,2015-05-27 00:00:00,HF000007R3
1.0055,2015-05-28 00:00:00,HF000007R3
1.019476,2015-05-29 00:00:00,HF000007R3
1.019979,2015-06-01 00:00:00,HF000007R3
1.006405,2015-06-02 00:00:00,HF000007R3
1.006606,2015-06-03 00:00:00,HF000007R3
1.006707,2015-06-04 00:00:00,HF000007R3
1.006908,2015-06-05 00:00:00,HF000007R3
1.007511,2015-06-08 00:00:00,HF000007R3
1.007612,2015-06-09 00:00:00,HF000007R3
1.007813,2015-06-10 00:00:00,HF000007R3
1.008014,2015-06-11 00:00:00,HF000007R3
1.008215,2015-06-12 00:00:00,HF000007R3
1.008718,2015-06-15 00:00:00,HF000007R3
1.008919,2015-06-16 00:00:00,HF000007R3
1.00912,2015-06-17 00:00:00,HF000007R3
1.009221,2015-06-18 00:00:00,HF000007R3
1.009422,2015-06-19 00:00:00,HF000007R3
1.010126,2015-06-23 00:00:00,HF000007R3
1.010327,2015-06-24 00:00:00,HF000007R3
1.010528,2015-06-25 00:00:00,HF000007R3
1.010729,2015-06-26 00:00:00,HF000007R3
1.011232,2015-06-29 00:00:00,HF000007R3
1.011433,2015-06-30 00:00:00,HF000007R3
1.011634,2015-07-01 00:00:00,HF000007R3
1.011735,2015-07-02 00:00:00,HF000007R3
1.011936,2015-07-03 00:00:00,HF000007R3
1.012439,2015-07-06 00:00:00,HF000007R3
1.01264,2015-07-07 00:00:00,HF000007R3
1.012841,2015-07-08 00:00:00,HF000007R3
1.013042,2015-07-09 00:00:00,HF000007R3
1.013243,2015-07-10 00:00:00,HF000007R3
1.013746,2015-07-13 00:00:00,HF000007R3
1.013947,2015-07-14 00:00:00,HF000007R3
1.014048,2015-07-15 00:00:00,HF000007R3
1.014249,2015-07-16 00:00:00,HF000007R3
1.01445,2015-07-17 00:00:00,HF000007R3
1.014953,2015-07-20 00:00:00,HF000007R3
1.015154,2015-07-21 00:00:00,HF000007R3
1.015355,2015-07-22 00:00:00,HF000007R3
1.015556,2015-07-23 00:00:00,HF000007R3
