value,date,id
1.0,2014-04-09 00:00:00,HF000007VE
0.9979,2014-04-18 00:00:00,HF000007VE
1.033,2014-04-25 00:00:00,HF000007VE
1.0388,2014-04-30 00:00:00,HF000007VE
1.064,2014-05-09 00:00:00,HF000007VE
1.1442,2014-05-16 00:00:00,HF000007VE
1.0841,2014-05-23 00:00:00,HF000007VE
1.0905,2014-05-30 00:00:00,HF000007VE
1.1113,2014-06-06 00:00:00,HF000007VE
1.1177,2014-06-13 00:00:00,HF000007VE
1.1273,2014-06-20 00:00:00,HF000007VE
1.1385,2014-06-27 00:00:00,HF000007VE
1.1129,2014-07-04 00:00:00,HF000007VE
1.1211,2014-07-11 00:00:00,HF000007VE
1.1285,2014-07-18 00:00:00,HF000007VE
1.2352,2014-07-25 00:00:00,HF000007VE
1.2438,2014-08-01 00:00:00,HF000007VE
1.2528,2014-08-08 00:00:00,HF000007VE
1.1862,2014-08-15 00:00:00,HF000007VE
1.1954,2014-08-22 00:00:00,HF000007VE
1.2532,2014-08-29 00:00:00,HF000007VE
1.2602,2014-09-05 00:00:00,HF000007VE
1.2677,2014-09-12 00:00:00,HF000007VE
1.2759,2014-09-19 00:00:00,HF000007VE
1.2833,2014-09-26 00:00:00,HF000007VE
1.3133,2014-10-10 00:00:00,HF000007VE
1.441218,2014-10-17 00:00:00,HF000007VE
1.457696,2014-10-24 00:00:00,HF000007VE
1.421465,2014-10-31 00:00:00,HF000007VE
1.435936,2014-11-07 00:00:00,HF000007VE
1.437204,2014-11-14 00:00:00,HF000007VE
1.404036,2014-11-21 00:00:00,HF000007VE
1.413015,2014-11-28 00:00:00,HF000007VE
1.397276,2014-12-05 00:00:00,HF000007VE
1.398966,2014-12-12 00:00:00,HF000007VE
1.342031,2014-12-19 00:00:00,HF000007VE
1.336433,2014-12-26 00:00:00,HF000007VE
1.384917,2014-12-31 00:00:00,HF000007VE
1.382699,2015-01-09 00:00:00,HF000007VE
1.387769,2015-01-16 00:00:00,HF000007VE
1.489174,2015-01-23 00:00:00,HF000007VE
1.452203,2015-01-30 00:00:00,HF000007VE
1.467202,2015-02-06 00:00:00,HF000007VE
1.478821,2015-02-13 00:00:00,HF000007VE
1.488539,2015-02-17 00:00:00,HF000007VE
1.500898,2015-02-27 00:00:00,HF000007VE
1.505546,2015-03-06 00:00:00,HF000007VE
1.503117,2015-03-13 00:00:00,HF000007VE
1.525616,2015-03-20 00:00:00,HF000007VE
1.538292,2015-03-27 00:00:00,HF000007VE
1.489596,2015-04-03 00:00:00,HF000007VE
1.499525,2015-04-10 00:00:00,HF000007VE
1.495684,2015-04-17 00:00:00,HF000007VE
1.545909,2015-04-24 00:00:00,HF000007VE
1.567181,2015-04-30 00:00:00,HF000007VE
1.484309,2015-05-08 00:00:00,HF000007VE
1.507797,2015-05-15 00:00:00,HF000007VE
1.524194,2015-05-22 00:00:00,HF000007VE
1.523603,2015-05-29 00:00:00,HF000007VE
1.536159,2015-06-05 00:00:00,HF000007VE
1.566737,2015-06-12 00:00:00,HF000007VE
1.574419,2015-06-19 00:00:00,HF000007VE
1.587419,2015-06-26 00:00:00,HF000007VE
1.599532,2015-07-03 00:00:00,HF000007VE
1.640156,2015-07-10 00:00:00,HF000007VE
1.643997,2015-07-17 00:00:00,HF000007VE
1.653008,2015-07-24 00:00:00,HF000007VE
1.695256,2015-07-31 00:00:00,HF000007VE
