value,date,id
1.0,2014-04-16 00:00:00,HF000007ZE
1.007,2014-04-30 00:00:00,HF000007ZE
1.0185,2014-05-09 00:00:00,HF000007ZE
1.033,2014-05-16 00:00:00,HF000007ZE
1.0516,2014-05-23 00:00:00,HF000007ZE
1.046,2014-05-30 00:00:00,HF000007ZE
1.047,2014-06-06 00:00:00,HF000007ZE
1.0508,2014-06-13 00:00:00,HF000007ZE
1.0704,2014-06-20 00:00:00,HF000007ZE
1.082,2014-06-27 00:00:00,HF000007ZE
1.0914,2014-07-04 00:00:00,HF000007ZE
1.0943,2014-07-11 00:00:00,HF000007ZE
1.0874,2014-07-18 00:00:00,HF000007ZE
1.1534,2014-07-25 00:00:00,HF000007ZE
1.2236,2014-08-01 00:00:00,HF000007ZE
1.2366,2014-08-08 00:00:00,HF000007ZE
1.2674,2014-08-15 00:00:00,HF000007ZE
1.2586,2014-08-22 00:00:00,HF000007ZE
1.2815,2014-08-29 00:00:00,HF000007ZE
1.4163,2014-09-05 00:00:00,HF000007ZE
1.405,2014-09-12 00:00:00,HF000007ZE
1.4221,2014-09-19 00:00:00,HF000007ZE
1.4981,2014-09-26 00:00:00,HF000007ZE
1.5538,2014-10-10 00:00:00,HF000007ZE
1.5135,2014-10-17 00:00:00,HF000007ZE
1.4713,2014-10-24 00:00:00,HF000007ZE
1.5878,2014-10-31 00:00:00,HF000007ZE
1.6085,2014-11-07 00:00:00,HF000007ZE
1.6759,2014-11-14 00:00:00,HF000007ZE
1.6463,2014-11-21 00:00:00,HF000007ZE
1.9472,2014-11-28 00:00:00,HF000007ZE
2.5256,2014-12-05 00:00:00,HF000007ZE
2.5683,2014-12-12 00:00:00,HF000007ZE
2.5996,2014-12-19 00:00:00,HF000007ZE
2.4161,2014-12-26 00:00:00,HF000007ZE
2.4188,2014-12-31 00:00:00,HF000007ZE
2.4223,2015-01-09 00:00:00,HF000007ZE
2.437,2015-01-16 00:00:00,HF000007ZE
2.4621,2015-01-23 00:00:00,HF000007ZE
2.3966,2015-01-30 00:00:00,HF000007ZE
2.3709,2015-02-06 00:00:00,HF000007ZE
2.3258,2015-02-13 00:00:00,HF000007ZE
2.3532,2015-02-27 00:00:00,HF000007ZE
2.3898,2015-03-06 00:00:00,HF000007ZE
2.3601,2015-03-13 00:00:00,HF000007ZE
2.4216,2015-03-20 00:00:00,HF000007ZE
2.4613,2015-03-27 00:00:00,HF000007ZE
2.5502,2015-04-03 00:00:00,HF000007ZE
2.7139,2015-04-10 00:00:00,HF000007ZE
2.8479,2015-04-17 00:00:00,HF000007ZE
2.8925,2015-04-24 00:00:00,HF000007ZE
2.9224,2015-04-30 00:00:00,HF000007ZE
2.76,2015-05-08 00:00:00,HF000007ZE
3.0299,2015-05-15 00:00:00,HF000007ZE
3.3896,2015-05-22 00:00:00,HF000007ZE
3.452,2015-05-29 00:00:00,HF000007ZE
