value,date,id
1.0,2014-04-23 00:00:00,HF000008AI
1.002774,2014-04-24 00:00:00,HF000008AI
1.002735,2014-04-25 00:00:00,HF000008AI
1.056192,2014-04-28 00:00:00,HF000008AI
1.041995,2014-04-29 00:00:00,HF000008AI
1.027206,2014-04-30 00:00:00,HF000008AI
1.049986,2014-05-05 00:00:00,HF000008AI
1.058889,2014-05-06 00:00:00,HF000008AI
1.04348,2014-05-07 00:00:00,HF000008AI
1.03476,2014-05-08 00:00:00,HF000008AI
1.042594,2014-05-09 00:00:00,HF000008AI
1.083542,2014-05-12 00:00:00,HF000008AI
1.06906,2014-05-13 00:00:00,HF000008AI
1.093962,2014-05-14 00:00:00,HF000008AI
1.078857,2014-05-15 00:00:00,HF000008AI
1.088954,2014-05-16 00:00:00,HF000008AI
1.13028,2014-05-19 00:00:00,HF000008AI
1.061882,2014-05-20 00:00:00,HF000008AI
1.216529,2014-05-21 00:00:00,HF000008AI
1.207631,2014-05-22 00:00:00,HF000008AI
1.20524,2014-05-23 00:00:00,HF000008AI
1.200578,2014-05-26 00:00:00,HF000008AI
1.228905,2014-05-27 00:00:00,HF000008AI
1.219431,2014-05-28 00:00:00,HF000008AI
1.175801,2014-05-29 00:00:00,HF000008AI
1.235455,2014-05-30 00:00:00,HF000008AI
1.200089,2014-06-03 00:00:00,HF000008AI
1.209339,2014-06-04 00:00:00,HF000008AI
1.217218,2014-06-05 00:00:00,HF000008AI
1.190817,2014-06-06 00:00:00,HF000008AI
1.188557,2014-06-09 00:00:00,HF000008AI
1.133226,2014-06-10 00:00:00,HF000008AI
1.14295,2014-06-11 00:00:00,HF000008AI
1.12027,2014-06-12 00:00:00,HF000008AI
1.124628,2014-06-13 00:00:00,HF000008AI
1.081355,2014-06-16 00:00:00,HF000008AI
1.072195,2014-06-17 00:00:00,HF000008AI
1.09837,2014-06-18 00:00:00,HF000008AI
1.116773,2014-06-19 00:00:00,HF000008AI
1.149501,2014-06-20 00:00:00,HF000008AI
1.209846,2014-06-23 00:00:00,HF000008AI
1.216395,2014-06-24 00:00:00,HF000008AI
1.207451,2014-06-25 00:00:00,HF000008AI
1.128115,2014-06-26 00:00:00,HF000008AI
1.094375,2014-06-27 00:00:00,HF000008AI
1.082039,2014-06-30 00:00:00,HF000008AI
1.056062,2014-07-01 00:00:00,HF000008AI
1.14196,2014-07-02 00:00:00,HF000008AI
1.12418,2014-07-03 00:00:00,HF000008AI
1.052676,2014-07-04 00:00:00,HF000008AI
1.059556,2014-07-07 00:00:00,HF000008AI
1.052931,2014-07-08 00:00:00,HF000008AI
1.086698,2014-07-09 00:00:00,HF000008AI
1.139259,2014-07-10 00:00:00,HF000008AI
1.120842,2014-07-11 00:00:00,HF000008AI
1.072697,2014-07-14 00:00:00,HF000008AI
1.035115,2014-07-15 00:00:00,HF000008AI
1.017628,2014-07-16 00:00:00,HF000008AI
1.043356,2014-07-17 00:00:00,HF000008AI
1.066988,2014-07-18 00:00:00,HF000008AI
1.03823,2014-07-21 00:00:00,HF000008AI
0.994705,2014-07-22 00:00:00,HF000008AI
0.995004,2014-07-23 00:00:00,HF000008AI
1.001937,2014-07-24 00:00:00,HF000008AI
0.979342,2014-07-25 00:00:00,HF000008AI
0.894939,2014-07-28 00:00:00,HF000008AI
0.850762,2014-07-29 00:00:00,HF000008AI
0.890428,2014-07-30 00:00:00,HF000008AI
0.917185,2014-07-31 00:00:00,HF000008AI
0.921035,2014-08-01 00:00:00,HF000008AI
0.925785,2014-08-04 00:00:00,HF000008AI
0.910043,2014-08-05 00:00:00,HF000008AI
0.945183,2014-08-06 00:00:00,HF000008AI
0.947181,2014-08-07 00:00:00,HF000008AI
0.911281,2014-08-08 00:00:00,HF000008AI
0.918454,2014-08-11 00:00:00,HF000008AI
0.909643,2014-08-12 00:00:00,HF000008AI
0.947206,2014-08-13 00:00:00,HF000008AI
0.955969,2014-08-14 00:00:00,HF000008AI
0.924142,2014-08-15 00:00:00,HF000008AI
0.952557,2014-08-18 00:00:00,HF000008AI
0.949463,2014-08-19 00:00:00,HF000008AI
0.946334,2014-08-20 00:00:00,HF000008AI
0.962122,2014-08-21 00:00:00,HF000008AI
0.974273,2014-08-22 00:00:00,HF000008AI
0.975899,2014-08-25 00:00:00,HF000008AI
1.009223,2014-08-26 00:00:00,HF000008AI
1.012048,2014-08-27 00:00:00,HF000008AI
1.029375,2014-08-28 00:00:00,HF000008AI
1.049107,2014-08-29 00:00:00,HF000008AI
1.012559,2014-09-01 00:00:00,HF000008AI
1.027787,2014-09-02 00:00:00,HF000008AI
1.010303,2014-09-03 00:00:00,HF000008AI
1.047551,2014-09-04 00:00:00,HF000008AI
0.882547,2014-09-05 00:00:00,HF000008AI
0.890004,2014-09-09 00:00:00,HF000008AI
0.89748,2014-09-10 00:00:00,HF000008AI
0.859631,2014-09-11 00:00:00,HF000008AI
0.877149,2014-09-12 00:00:00,HF000008AI
0.859262,2014-09-15 00:00:00,HF000008AI
0.845951,2014-09-16 00:00:00,HF000008AI
0.851913,2014-09-17 00:00:00,HF000008AI
0.806783,2014-09-18 00:00:00,HF000008AI
0.810501,2014-09-19 00:00:00,HF000008AI
0.733395,2014-09-22 00:00:00,HF000008AI
0.720123,2014-09-23 00:00:00,HF000008AI
0.705141,2014-09-24 00:00:00,HF000008AI
0.680371,2014-09-25 00:00:00,HF000008AI
0.703701,2014-09-26 00:00:00,HF000008AI
0.68801,2014-09-29 00:00:00,HF000008AI
0.68801,2014-09-30 00:00:00,HF000008AI
0.687323,2014-10-08 00:00:00,HF000008AI
0.69811,2014-10-09 00:00:00,HF000008AI
0.723572,2014-10-10 00:00:00,HF000008AI
