value,date,id
1.0,2014-05-27 00:00:00,HF000008GR
1.0685,2014-05-30 00:00:00,HF000008GR
1.0961,2014-06-06 00:00:00,HF000008GR
1.1041,2014-06-13 00:00:00,HF000008GR
1.1104,2014-06-20 00:00:00,HF000008GR
1.1181,2014-06-27 00:00:00,HF000008GR
1.1388,2014-07-04 00:00:00,HF000008GR
1.1475,2014-07-11 00:00:00,HF000008GR
1.1555,2014-07-18 00:00:00,HF000008GR
1.1624,2014-07-25 00:00:00,HF000008GR
1.1576,2014-08-01 00:00:00,HF000008GR
1.1658,2014-08-08 00:00:00,HF000008GR
1.2445,2014-08-15 00:00:00,HF000008GR
1.2558,2014-08-22 00:00:00,HF000008GR
1.2879,2014-08-29 00:00:00,HF000008GR
1.3062,2014-09-05 00:00:00,HF000008GR
1.3121,2014-09-12 00:00:00,HF000008GR
1.3167,2014-09-19 00:00:00,HF000008GR
1.368,2014-09-26 00:00:00,HF000008GR
1.3999,2014-10-10 00:00:00,HF000008GR
1.3191,2014-10-17 00:00:00,HF000008GR
1.3284,2014-10-24 00:00:00,HF000008GR
1.4111,2014-10-31 00:00:00,HF000008GR
1.3988,2014-11-07 00:00:00,HF000008GR
1.343,2014-11-14 00:00:00,HF000008GR
1.3434,2014-11-21 00:00:00,HF000008GR
1.3608,2014-11-28 00:00:00,HF000008GR
1.353533,2014-12-05 00:00:00,HF000008GR
1.364745,2014-12-12 00:00:00,HF000008GR
1.366614,2014-12-19 00:00:00,HF000008GR
1.372531,2014-12-26 00:00:00,HF000008GR
1.379798,2014-12-31 00:00:00,HF000008GR
1.401703,2015-01-09 00:00:00,HF000008GR
1.414991,2015-01-16 00:00:00,HF000008GR
1.431186,2015-01-23 00:00:00,HF000008GR
1.386546,2015-01-30 00:00:00,HF000008GR
1.371493,2015-02-06 00:00:00,HF000008GR
1.391322,2015-02-13 00:00:00,HF000008GR
1.382809,2015-02-17 00:00:00,HF000008GR
1.399419,2015-02-27 00:00:00,HF000008GR
1.450703,2015-03-06 00:00:00,HF000008GR
1.462849,2015-03-13 00:00:00,HF000008GR
1.459215,2015-03-20 00:00:00,HF000008GR
1.465029,2015-03-27 00:00:00,HF000008GR
1.468663,2015-04-03 00:00:00,HF000008GR
1.473542,2015-04-10 00:00:00,HF000008GR
1.493786,2015-04-17 00:00:00,HF000008GR
1.500326,2015-04-24 00:00:00,HF000008GR
1.481017,2015-04-30 00:00:00,HF000008GR
1.481951,2015-05-08 00:00:00,HF000008GR
1.516833,2015-05-15 00:00:00,HF000008GR
1.522128,2015-05-22 00:00:00,HF000008GR
1.52899,2015-05-29 00:00:00,HF000008GR
1.535089,2015-06-05 00:00:00,HF000008GR
1.580378,2015-06-12 00:00:00,HF000008GR
1.578701,2015-06-19 00:00:00,HF000008GR
1.583733,2015-06-26 00:00:00,HF000008GR
1.59334,2015-07-03 00:00:00,HF000008GR
1.675683,2015-07-10 00:00:00,HF000008GR
1.681935,2015-07-17 00:00:00,HF000008GR
1.778917,2015-07-24 00:00:00,HF000008GR
1.800418,2015-07-31 00:00:00,HF000008GR
