value,date,id
1.0,2014-05-29 00:00:00,HF000008J2
1.0008,2014-05-30 00:00:00,HF000008J2
1.0035,2014-06-06 00:00:00,HF000008J2
1.0062,2014-06-13 00:00:00,HF000008J2
1.0089,2014-06-20 00:00:00,HF000008J2
1.0116,2014-06-27 00:00:00,HF000008J2
1.0143,2014-07-04 00:00:00,HF000008J2
1.017,2014-07-11 00:00:00,HF000008J2
1.0197,2014-07-18 00:00:00,HF000008J2
1.0224,2014-07-25 00:00:00,HF000008J2
1.0004,2014-08-01 00:00:00,HF000008J2
1.0031,2014-08-08 00:00:00,HF000008J2
1.0048,2014-08-15 00:00:00,HF000008J2
1.007,2014-08-22 00:00:00,HF000008J2
1.0092,2014-08-29 00:00:00,HF000008J2
1.0108,2014-09-05 00:00:00,HF000008J2
1.0123,2014-09-12 00:00:00,HF000008J2
1.0146,2014-09-19 00:00:00,HF000008J2
1.0156,2014-09-26 00:00:00,HF000008J2
1.0169,2014-09-30 00:00:00,HF000008J2
1.0203,2014-10-10 00:00:00,HF000008J2
1.0219,2014-10-17 00:00:00,HF000008J2
1.0216,2014-10-24 00:00:00,HF000008J2
1.0273,2014-10-31 00:00:00,HF000008J2
1.0296,2014-11-07 00:00:00,HF000008J2
1.0319,2014-11-14 00:00:00,HF000008J2
1.0343,2014-11-21 00:00:00,HF000008J2
1.0366,2014-11-28 00:00:00,HF000008J2
1.0389,2014-12-05 00:00:00,HF000008J2
1.0413,2014-12-12 00:00:00,HF000008J2
1.0435,2014-12-19 00:00:00,HF000008J2
1.0458,2014-12-26 00:00:00,HF000008J2
1.0473,2014-12-31 00:00:00,HF000008J2
1.0501,2015-01-09 00:00:00,HF000008J2
1.0523,2015-01-16 00:00:00,HF000008J2
1.0545,2015-01-23 00:00:00,HF000008J2
1.0567,2015-01-30 00:00:00,HF000008J2
1.0589,2015-02-06 00:00:00,HF000008J2
1.0611,2015-02-13 00:00:00,HF000008J2
1.0624,2015-02-17 00:00:00,HF000008J2
1.0655,2015-02-27 00:00:00,HF000008J2
1.0677,2015-03-06 00:00:00,HF000008J2
1.0699,2015-03-13 00:00:00,HF000008J2
1.0721,2015-03-20 00:00:00,HF000008J2
1.0743,2015-03-27 00:00:00,HF000008J2
1.0765,2015-04-03 00:00:00,HF000008J2
1.0787,2015-04-10 00:00:00,HF000008J2
1.0809,2015-04-17 00:00:00,HF000008J2
1.0831,2015-04-24 00:00:00,HF000008J2
1.085,2015-04-30 00:00:00,HF000008J2
1.0875,2015-05-08 00:00:00,HF000008J2
1.0897,2015-05-15 00:00:00,HF000008J2
1.092,2015-05-22 00:00:00,HF000008J2
1.0942,2015-05-29 00:00:00,HF000008J2
1.0964,2015-06-05 00:00:00,HF000008J2
1.0986,2015-06-12 00:00:00,HF000008J2
1.1008,2015-06-19 00:00:00,HF000008J2
1.103,2015-06-26 00:00:00,HF000008J2
1.1052,2015-07-03 00:00:00,HF000008J2
1.1074,2015-07-10 00:00:00,HF000008J2
1.1096,2015-07-17 00:00:00,HF000008J2
1.1118,2015-07-24 00:00:00,HF000008J2
1.114,2015-07-31 00:00:00,HF000008J2
