value,date,id
1.0,2014-06-03 00:00:00,HF000008JR
1.016,2014-06-30 00:00:00,HF000008JR
1.0238,2014-07-02 00:00:00,HF000008JR
1.0259,2014-07-03 00:00:00,HF000008JR
1.041,2014-07-10 00:00:00,HF000008JR
1.051,2014-07-17 00:00:00,HF000008JR
1.032,2014-07-24 00:00:00,HF000008JR
1.04,2014-08-07 00:00:00,HF000008JR
1.061,2014-08-14 00:00:00,HF000008JR
1.093,2014-08-21 00:00:00,HF000008JR
1.079,2014-08-28 00:00:00,HF000008JR
1.097,2014-09-04 00:00:00,HF000008JR
1.124,2014-09-11 00:00:00,HF000008JR
1.159,2014-09-18 00:00:00,HF000008JR
1.172,2014-09-26 00:00:00,HF000008JR
1.192,2014-09-30 00:00:00,HF000008JR
1.198,2014-10-09 00:00:00,HF000008JR
1.205,2014-10-16 00:00:00,HF000008JR
1.187,2014-10-23 00:00:00,HF000008JR
1.212,2014-10-30 00:00:00,HF000008JR
1.218,2014-11-06 00:00:00,HF000008JR
1.185,2014-11-13 00:00:00,HF000008JR
1.205,2014-11-20 00:00:00,HF000008JR
1.104,2014-12-26 00:00:00,HF000008JR
1.11,2014-12-31 00:00:00,HF000008JR
1.11,2015-01-08 00:00:00,HF000008JR
1.131,2015-01-22 00:00:00,HF000008JR
1.134,2015-01-28 00:00:00,HF000008JR
1.141,2015-02-05 00:00:00,HF000008JR
1.142,2015-02-12 00:00:00,HF000008JR
1.153,2015-02-26 00:00:00,HF000008JR
1.175,2015-03-05 00:00:00,HF000008JR
1.168,2015-03-12 00:00:00,HF000008JR
1.186,2015-03-19 00:00:00,HF000008JR
1.198,2015-03-26 00:00:00,HF000008JR
1.213,2015-04-02 00:00:00,HF000008JR
1.219,2015-04-16 00:00:00,HF000008JR
1.231,2015-04-23 00:00:00,HF000008JR
1.226,2015-04-30 00:00:00,HF000008JR
1.218,2015-05-07 00:00:00,HF000008JR
1.239,2015-05-14 00:00:00,HF000008JR
1.233,2015-05-22 00:00:00,HF000008JR
1.237,2015-05-29 00:00:00,HF000008JR
1.241,2015-06-05 00:00:00,HF000008JR
