value,date,id
1.0,2014-05-30 00:00:00,HF000008NR
0.992,2014-06-06 00:00:00,HF000008NR
1.039,2014-06-13 00:00:00,HF000008NR
1.003,2014-06-20 00:00:00,HF000008NR
1.041,2014-06-27 00:00:00,HF000008NR
1.066,2014-07-04 00:00:00,HF000008NR
1.112,2014-07-11 00:00:00,HF000008NR
1.098,2014-07-18 00:00:00,HF000008NR
1.087,2014-07-25 00:00:00,HF000008NR
1.169,2014-08-01 00:00:00,HF000008NR
1.153,2014-08-08 00:00:00,HF000008NR
1.299,2014-08-15 00:00:00,HF000008NR
1.331,2014-08-22 00:00:00,HF000008NR
1.271,2014-08-29 00:00:00,HF000008NR
1.311,2014-09-05 00:00:00,HF000008NR
1.326,2014-09-12 00:00:00,HF000008NR
1.319,2014-09-19 00:00:00,HF000008NR
1.354,2014-09-26 00:00:00,HF000008NR
1.351,2014-10-10 00:00:00,HF000008NR
1.35,2014-10-17 00:00:00,HF000008NR
1.303,2014-10-24 00:00:00,HF000008NR
1.337,2014-10-31 00:00:00,HF000008NR
1.367,2014-11-07 00:00:00,HF000008NR
1.36,2014-11-14 00:00:00,HF000008NR
1.411,2014-11-21 00:00:00,HF000008NR
1.463,2014-11-28 00:00:00,HF000008NR
1.549,2014-12-12 00:00:00,HF000008NR
1.626,2014-12-19 00:00:00,HF000008NR
1.666,2014-12-26 00:00:00,HF000008NR
1.76,2015-01-09 00:00:00,HF000008NR
1.77,2015-01-16 00:00:00,HF000008NR
1.869,2015-01-23 00:00:00,HF000008NR
1.859,2015-01-30 00:00:00,HF000008NR
1.845,2015-02-06 00:00:00,HF000008NR
1.875,2015-02-13 00:00:00,HF000008NR
1.943,2015-02-27 00:00:00,HF000008NR
1.961,2015-03-06 00:00:00,HF000008NR
1.983,2015-03-13 00:00:00,HF000008NR
2.033,2015-03-20 00:00:00,HF000008NR
2.05,2015-03-27 00:00:00,HF000008NR
2.17,2015-04-03 00:00:00,HF000008NR
2.223,2015-04-10 00:00:00,HF000008NR
