value,date,id
1.0,2014-06-10 00:00:00,HF000008NT
0.996,2014-06-11 00:00:00,HF000008NT
0.995,2014-06-12 00:00:00,HF000008NT
0.996,2014-06-13 00:00:00,HF000008NT
0.999,2014-06-16 00:00:00,HF000008NT
1.0,2014-06-17 00:00:00,HF000008NT
1.001,2014-06-18 00:00:00,HF000008NT
1.002,2014-06-19 00:00:00,HF000008NT
1.003,2014-06-20 00:00:00,HF000008NT
1.006,2014-06-23 00:00:00,HF000008NT
1.007,2014-06-24 00:00:00,HF000008NT
1.008,2014-06-25 00:00:00,HF000008NT
1.009,2014-06-26 00:00:00,HF000008NT
1.01,2014-06-27 00:00:00,HF000008NT
1.013,2014-06-30 00:00:00,HF000008NT
1.014,2014-07-01 00:00:00,HF000008NT
1.015,2014-07-02 00:00:00,HF000008NT
1.015,2014-07-03 00:00:00,HF000008NT
1.016,2014-07-04 00:00:00,HF000008NT
1.019,2014-07-07 00:00:00,HF000008NT
1.02,2014-07-08 00:00:00,HF000008NT
1.021,2014-07-09 00:00:00,HF000008NT
1.022,2014-07-10 00:00:00,HF000008NT
1.023,2014-07-11 00:00:00,HF000008NT
1.026,2014-07-14 00:00:00,HF000008NT
1.027,2014-07-15 00:00:00,HF000008NT
1.028,2014-07-16 00:00:00,HF000008NT
1.029,2014-07-17 00:00:00,HF000008NT
1.03,2014-07-18 00:00:00,HF000008NT
1.033,2014-07-21 00:00:00,HF000008NT
1.034,2014-07-22 00:00:00,HF000008NT
1.035,2014-07-23 00:00:00,HF000008NT
1.036,2014-07-24 00:00:00,HF000008NT
1.036,2014-07-25 00:00:00,HF000008NT
1.039,2014-07-28 00:00:00,HF000008NT
1.04,2014-07-29 00:00:00,HF000008NT
1.041,2014-07-30 00:00:00,HF000008NT
1.042,2014-07-31 00:00:00,HF000008NT
1.043,2014-08-01 00:00:00,HF000008NT
1.046,2014-08-04 00:00:00,HF000008NT
1.047,2014-08-05 00:00:00,HF000008NT
1.048,2014-08-06 00:00:00,HF000008NT
1.049,2014-08-07 00:00:00,HF000008NT
1.05,2014-08-08 00:00:00,HF000008NT
1.053,2014-08-11 00:00:00,HF000008NT
1.054,2014-08-12 00:00:00,HF000008NT
1.055,2014-08-13 00:00:00,HF000008NT
1.055,2014-08-14 00:00:00,HF000008NT
1.056,2014-08-15 00:00:00,HF000008NT
1.059,2014-08-18 00:00:00,HF000008NT
1.06,2014-08-19 00:00:00,HF000008NT
1.061,2014-08-20 00:00:00,HF000008NT
1.062,2014-08-21 00:00:00,HF000008NT
1.063,2014-08-22 00:00:00,HF000008NT
1.066,2014-08-25 00:00:00,HF000008NT
1.067,2014-08-26 00:00:00,HF000008NT
1.068,2014-08-27 00:00:00,HF000008NT
1.069,2014-08-28 00:00:00,HF000008NT
1.07,2014-08-29 00:00:00,HF000008NT
1.073,2014-09-01 00:00:00,HF000008NT
1.073,2014-09-02 00:00:00,HF000008NT
1.074,2014-09-03 00:00:00,HF000008NT
1.075,2014-09-04 00:00:00,HF000008NT
1.076,2014-09-05 00:00:00,HF000008NT
1.08,2014-09-09 00:00:00,HF000008NT
1.081,2014-09-10 00:00:00,HF000008NT
1.082,2014-09-11 00:00:00,HF000008NT
1.083,2014-09-12 00:00:00,HF000008NT
1.086,2014-09-15 00:00:00,HF000008NT
1.087,2014-09-16 00:00:00,HF000008NT
1.088,2014-09-17 00:00:00,HF000008NT
1.089,2014-09-18 00:00:00,HF000008NT
1.09,2014-09-19 00:00:00,HF000008NT
1.092,2014-09-22 00:00:00,HF000008NT
1.093,2014-09-23 00:00:00,HF000008NT
1.094,2014-09-24 00:00:00,HF000008NT
1.095,2014-09-25 00:00:00,HF000008NT
1.096,2014-09-26 00:00:00,HF000008NT
1.099,2014-09-29 00:00:00,HF000008NT
1.099,2014-09-30 00:00:00,HF000008NT
1.1,2014-10-08 00:00:00,HF000008NT
1.1,2014-10-09 00:00:00,HF000008NT
1.101,2014-10-13 00:00:00,HF000008NT
1.101,2014-10-14 00:00:00,HF000008NT
1.101,2014-10-15 00:00:00,HF000008NT
1.101,2014-10-16 00:00:00,HF000008NT
1.102,2014-10-17 00:00:00,HF000008NT
1.102,2014-10-20 00:00:00,HF000008NT
1.102,2014-10-21 00:00:00,HF000008NT
1.102,2014-10-22 00:00:00,HF000008NT
1.102,2014-10-23 00:00:00,HF000008NT
1.103,2014-10-24 00:00:00,HF000008NT
1.103,2014-10-27 00:00:00,HF000008NT
1.103,2014-10-28 00:00:00,HF000008NT
