value,date,id
1.0,2014-06-10 00:00:00,HF000008NZ
1.0,2014-06-11 00:00:00,HF000008NZ
1.001,2014-06-13 00:00:00,HF000008NZ
1.002,2014-06-20 00:00:00,HF000008NZ
1.003,2014-06-27 00:00:00,HF000008NZ
1.004,2014-07-04 00:00:00,HF000008NZ
1.005,2014-07-11 00:00:00,HF000008NZ
1.006,2014-07-18 00:00:00,HF000008NZ
1.007,2014-07-25 00:00:00,HF000008NZ
1.008,2014-08-01 00:00:00,HF000008NZ
1.009,2014-08-08 00:00:00,HF000008NZ
1.01,2014-08-15 00:00:00,HF000008NZ
1.011,2014-08-22 00:00:00,HF000008NZ
1.012,2014-08-29 00:00:00,HF000008NZ
1.0,2014-09-02 00:00:00,HF000008NZ
1.0005,2014-09-05 00:00:00,HF000008NZ
1.0016,2014-09-12 00:00:00,HF000008NZ
1.0027,2014-09-19 00:00:00,HF000008NZ
1.0038,2014-09-26 00:00:00,HF000008NZ
1.0044,2014-09-30 00:00:00,HF000008NZ
1.0072,2014-10-17 00:00:00,HF000008NZ
1.0083,2014-10-24 00:00:00,HF000008NZ
1.0094,2014-10-31 00:00:00,HF000008NZ
1.0105,2014-11-07 00:00:00,HF000008NZ
1.0116,2014-11-14 00:00:00,HF000008NZ
1.0127,2014-11-21 00:00:00,HF000008NZ
1.0138,2014-11-28 00:00:00,HF000008NZ
1.0149,2014-12-05 00:00:00,HF000008NZ
1.016,2014-12-12 00:00:00,HF000008NZ
1.0172,2014-12-19 00:00:00,HF000008NZ
1.0183,2014-12-26 00:00:00,HF000008NZ
1.0191,2014-12-31 00:00:00,HF000008NZ
1.0205,2015-01-09 00:00:00,HF000008NZ
1.0216,2015-01-16 00:00:00,HF000008NZ
1.0227,2015-01-23 00:00:00,HF000008NZ
1.0238,2015-01-30 00:00:00,HF000008NZ
1.0249,2015-02-06 00:00:00,HF000008NZ
1.0261,2015-02-13 00:00:00,HF000008NZ
1.0267,2015-02-17 00:00:00,HF000008NZ
1.0283,2015-02-27 00:00:00,HF000008NZ
1.0294,2015-03-06 00:00:00,HF000008NZ
1.0305,2015-03-13 00:00:00,HF000008NZ
1.0316,2015-03-20 00:00:00,HF000008NZ
1.0327,2015-03-27 00:00:00,HF000008NZ
1.0338,2015-04-03 00:00:00,HF000008NZ
1.035,2015-04-10 00:00:00,HF000008NZ
1.0361,2015-04-17 00:00:00,HF000008NZ
1.0372,2015-04-24 00:00:00,HF000008NZ
1.0381,2015-04-30 00:00:00,HF000008NZ
1.0394,2015-05-08 00:00:00,HF000008NZ
1.0405,2015-05-15 00:00:00,HF000008NZ
1.0416,2015-05-22 00:00:00,HF000008NZ
1.0427,2015-05-29 00:00:00,HF000008NZ
1.0439,2015-06-05 00:00:00,HF000008NZ
1.045,2015-06-12 00:00:00,HF000008NZ
1.0461,2015-06-19 00:00:00,HF000008NZ
1.0472,2015-06-26 00:00:00,HF000008NZ
1.0483,2015-07-03 00:00:00,HF000008NZ
1.0494,2015-07-10 00:00:00,HF000008NZ
1.0505,2015-07-17 00:00:00,HF000008NZ
1.0516,2015-07-24 00:00:00,HF000008NZ
1.0528,2015-07-31 00:00:00,HF000008NZ
