value,date,id
1.0,2014-06-10 00:00:00,HF000008O0
1.015,2014-06-13 00:00:00,HF000008O0
1.009,2014-06-20 00:00:00,HF000008O0
1.007,2014-06-27 00:00:00,HF000008O0
1.009,2014-07-04 00:00:00,HF000008O0
1.011,2014-07-11 00:00:00,HF000008O0
1.014,2014-07-18 00:00:00,HF000008O0
1.007,2014-07-25 00:00:00,HF000008O0
1.02,2014-08-01 00:00:00,HF000008O0
1.028,2014-08-08 00:00:00,HF000008O0
1.037,2014-08-15 00:00:00,HF000008O0
1.052,2014-08-22 00:00:00,HF000008O0
1.065,2014-08-29 00:00:00,HF000008O0
1.0001,2014-09-03 00:00:00,HF000008O0
1.0046,2014-09-05 00:00:00,HF000008O0
1.0092,2014-09-10 00:00:00,HF000008O0
1.0139,2014-09-12 00:00:00,HF000008O0
1.0298,2014-09-19 00:00:00,HF000008O0
1.0329,2014-09-26 00:00:00,HF000008O0
1.0415,2014-09-30 00:00:00,HF000008O0
1.0513,2014-10-17 00:00:00,HF000008O0
1.052,2014-10-24 00:00:00,HF000008O0
1.0658,2014-10-31 00:00:00,HF000008O0
1.0884,2014-11-07 00:00:00,HF000008O0
1.1202,2014-11-14 00:00:00,HF000008O0
1.1249,2014-11-21 00:00:00,HF000008O0
1.1388,2014-11-28 00:00:00,HF000008O0
1.1179,2014-12-05 00:00:00,HF000008O0
1.0203,2014-12-12 00:00:00,HF000008O0
0.9896,2014-12-19 00:00:00,HF000008O0
1.036,2014-12-26 00:00:00,HF000008O0
1.055,2014-12-31 00:00:00,HF000008O0
1.0545,2015-01-09 00:00:00,HF000008O0
1.0677,2015-01-16 00:00:00,HF000008O0
1.0717,2015-01-23 00:00:00,HF000008O0
1.0764,2015-01-30 00:00:00,HF000008O0
1.0857,2015-02-06 00:00:00,HF000008O0
1.0828,2015-02-13 00:00:00,HF000008O0
1.0866,2015-02-17 00:00:00,HF000008O0
1.0746,2015-02-27 00:00:00,HF000008O0
1.0937,2015-03-06 00:00:00,HF000008O0
1.0991,2015-03-13 00:00:00,HF000008O0
1.1404,2015-03-20 00:00:00,HF000008O0
1.1184,2015-03-27 00:00:00,HF000008O0
1.1242,2015-04-03 00:00:00,HF000008O0
1.1262,2015-04-10 00:00:00,HF000008O0
1.1336,2015-04-17 00:00:00,HF000008O0
1.1562,2015-04-24 00:00:00,HF000008O0
1.1499,2015-04-30 00:00:00,HF000008O0
1.1538,2015-05-08 00:00:00,HF000008O0
1.1872,2015-05-15 00:00:00,HF000008O0
1.1976,2015-05-22 00:00:00,HF000008O0
1.1872,2015-05-29 00:00:00,HF000008O0
1.1893,2015-06-05 00:00:00,HF000008O0
1.207,2015-06-12 00:00:00,HF000008O0
1.203,2015-06-19 00:00:00,HF000008O0
1.2441,2015-06-26 00:00:00,HF000008O0
1.2412,2015-07-03 00:00:00,HF000008O0
1.2025,2015-07-10 00:00:00,HF000008O0
1.233,2015-07-17 00:00:00,HF000008O0
1.2488,2015-07-24 00:00:00,HF000008O0
1.2611,2015-07-31 00:00:00,HF000008O0
