value,date,id
1.0,2014-06-16 00:00:00,HF000008OB
0.9979,2014-06-20 00:00:00,HF000008OB
1.0039,2014-06-27 00:00:00,HF000008OB
1.0027,2014-07-04 00:00:00,HF000008OB
0.9931,2014-07-11 00:00:00,HF000008OB
0.9857,2014-07-18 00:00:00,HF000008OB
0.9827,2014-08-01 00:00:00,HF000008OB
0.971,2014-08-08 00:00:00,HF000008OB
0.9889,2014-08-15 00:00:00,HF000008OB
0.9964,2014-08-22 00:00:00,HF000008OB
0.9604,2014-08-29 00:00:00,HF000008OB
0.9747,2014-09-05 00:00:00,HF000008OB
0.9799,2014-09-12 00:00:00,HF000008OB
0.9776,2014-09-19 00:00:00,HF000008OB
0.987,2014-09-26 00:00:00,HF000008OB
0.9915,2014-10-10 00:00:00,HF000008OB
0.9802,2014-10-17 00:00:00,HF000008OB
0.9755,2014-10-24 00:00:00,HF000008OB
0.9739,2014-10-31 00:00:00,HF000008OB
0.9696,2014-11-07 00:00:00,HF000008OB
0.9634,2014-11-14 00:00:00,HF000008OB
0.9634,2014-11-21 00:00:00,HF000008OB
0.9652,2014-11-28 00:00:00,HF000008OB
0.9723,2014-12-05 00:00:00,HF000008OB
0.9717,2014-12-12 00:00:00,HF000008OB
0.9867,2014-12-19 00:00:00,HF000008OB
0.9767,2014-12-26 00:00:00,HF000008OB
0.9834,2014-12-31 00:00:00,HF000008OB
0.9822,2015-01-09 00:00:00,HF000008OB
0.9749,2015-01-16 00:00:00,HF000008OB
0.9653,2015-01-23 00:00:00,HF000008OB
0.9615,2015-01-30 00:00:00,HF000008OB
0.9581,2015-02-06 00:00:00,HF000008OB
0.9656,2015-02-13 00:00:00,HF000008OB
0.986,2015-02-27 00:00:00,HF000008OB
0.9866,2015-03-06 00:00:00,HF000008OB
1.0094,2015-03-13 00:00:00,HF000008OB
1.0505,2015-03-20 00:00:00,HF000008OB
1.0721,2015-03-27 00:00:00,HF000008OB
1.1043,2015-04-03 00:00:00,HF000008OB
1.1252,2015-04-10 00:00:00,HF000008OB
1.1385,2015-04-17 00:00:00,HF000008OB
1.1542,2015-04-24 00:00:00,HF000008OB
1.1511,2015-04-30 00:00:00,HF000008OB
1.141,2015-05-08 00:00:00,HF000008OB
1.1572,2015-05-15 00:00:00,HF000008OB
1.1743,2015-05-22 00:00:00,HF000008OB
1.1817,2015-05-29 00:00:00,HF000008OB
1.1852,2015-06-05 00:00:00,HF000008OB
1.1847,2015-06-12 00:00:00,HF000008OB
