value,date,id
1.0,2014-05-19 00:00:00,HF000008P4
0.998,2014-05-22 00:00:00,HF000008P4
0.997,2014-05-29 00:00:00,HF000008P4
1.005,2014-06-05 00:00:00,HF000008P4
1.003,2014-06-12 00:00:00,HF000008P4
1.005,2014-06-13 00:00:00,HF000008P4
1.01,2014-06-16 00:00:00,HF000008P4
1.017,2014-06-19 00:00:00,HF000008P4
1.008,2014-06-26 00:00:00,HF000008P4
0.998,2014-07-03 00:00:00,HF000008P4
1.007,2014-07-10 00:00:00,HF000008P4
1.006,2014-07-17 00:00:00,HF000008P4
1.015,2014-07-24 00:00:00,HF000008P4
1.028,2014-07-31 00:00:00,HF000008P4
1.023,2014-08-07 00:00:00,HF000008P4
1.019,2014-08-14 00:00:00,HF000008P4
1.016,2014-08-21 00:00:00,HF000008P4
1.007,2014-08-28 00:00:00,HF000008P4
1.012,2014-08-29 00:00:00,HF000008P4
1.029,2014-09-04 00:00:00,HF000008P4
1.044,2014-09-11 00:00:00,HF000008P4
1.042,2014-09-18 00:00:00,HF000008P4
1.075,2014-09-25 00:00:00,HF000008P4
1.074,2014-09-30 00:00:00,HF000008P4
1.072,2014-10-09 00:00:00,HF000008P4
1.067,2014-10-16 00:00:00,HF000008P4
1.059,2014-10-23 00:00:00,HF000008P4
1.082,2014-10-31 00:00:00,HF000008P4
1.085,2014-11-06 00:00:00,HF000008P4
1.08,2014-11-13 00:00:00,HF000008P4
1.081,2014-11-20 00:00:00,HF000008P4
1.091,2014-11-27 00:00:00,HF000008P4
1.074,2014-12-04 00:00:00,HF000008P4
1.094,2014-12-12 00:00:00,HF000008P4
1.088,2014-12-18 00:00:00,HF000008P4
1.074,2014-12-22 00:00:00,HF000008P4
1.081,2014-12-25 00:00:00,HF000008P4
1.076,2014-12-31 00:00:00,HF000008P4
1.09,2015-01-09 00:00:00,HF000008P4
1.1,2015-01-16 00:00:00,HF000008P4
1.121,2015-01-30 00:00:00,HF000008P4
1.119,2015-02-06 00:00:00,HF000008P4
1.119,2015-02-27 00:00:00,HF000008P4
1.138,2015-03-06 00:00:00,HF000008P4
1.128,2015-03-13 00:00:00,HF000008P4
1.149,2015-03-20 00:00:00,HF000008P4
1.177,2015-04-03 00:00:00,HF000008P4
1.267,2015-05-29 00:00:00,HF000008P4
1.312,2015-06-05 00:00:00,HF000008P4
1.35,2015-07-03 00:00:00,HF000008P4
