value,date,id
1.0,2014-06-12 00:00:00,HF000008QJ
0.9998,2014-06-20 00:00:00,HF000008QJ
1.0023,2014-06-30 00:00:00,HF000008QJ
1.0065,2014-07-04 00:00:00,HF000008QJ
1.0061,2014-07-11 00:00:00,HF000008QJ
0.9967,2014-07-18 00:00:00,HF000008QJ
0.9988,2014-07-25 00:00:00,HF000008QJ
1.0111,2014-08-01 00:00:00,HF000008QJ
1.0317,2014-08-08 00:00:00,HF000008QJ
1.0517,2014-08-15 00:00:00,HF000008QJ
1.0625,2014-08-22 00:00:00,HF000008QJ
1.0685,2014-08-29 00:00:00,HF000008QJ
1.0861,2014-09-05 00:00:00,HF000008QJ
1.0934,2014-09-12 00:00:00,HF000008QJ
1.1153,2014-09-19 00:00:00,HF000008QJ
1.1294,2014-09-30 00:00:00,HF000008QJ
1.1398,2014-10-10 00:00:00,HF000008QJ
1.1388,2014-10-17 00:00:00,HF000008QJ
1.1276,2014-10-24 00:00:00,HF000008QJ
1.1543,2014-11-07 00:00:00,HF000008QJ
1.154,2014-11-14 00:00:00,HF000008QJ
1.1654,2014-11-21 00:00:00,HF000008QJ
1.2229,2014-11-28 00:00:00,HF000008QJ
1.2374,2014-12-05 00:00:00,HF000008QJ
1.3056,2014-12-12 00:00:00,HF000008QJ
1.3259,2014-12-19 00:00:00,HF000008QJ
1.3405,2014-12-26 00:00:00,HF000008QJ
1.3602,2014-12-31 00:00:00,HF000008QJ
1.3123,2015-01-09 00:00:00,HF000008QJ
1.309,2015-01-16 00:00:00,HF000008QJ
1.3115,2015-01-23 00:00:00,HF000008QJ
1.3317,2015-01-30 00:00:00,HF000008QJ
1.3206,2015-02-06 00:00:00,HF000008QJ
1.3334,2015-02-13 00:00:00,HF000008QJ
1.3768,2015-02-27 00:00:00,HF000008QJ
1.4147,2015-03-06 00:00:00,HF000008QJ
1.4351,2015-03-13 00:00:00,HF000008QJ
1.4306,2015-03-20 00:00:00,HF000008QJ
