value,date,id
1.0,2014-05-15 00:00:00,HF000008QY
0.995,2014-06-20 00:00:00,HF000008QY
1.011,2014-06-27 00:00:00,HF000008QY
1.014,2014-07-04 00:00:00,HF000008QY
1.017,2014-07-11 00:00:00,HF000008QY
1.01,2014-07-18 00:00:00,HF000008QY
1.004,2014-07-25 00:00:00,HF000008QY
1.014,2014-08-01 00:00:00,HF000008QY
1.032,2014-08-08 00:00:00,HF000008QY
1.038,2014-08-15 00:00:00,HF000008QY
1.063,2014-08-22 00:00:00,HF000008QY
1.038,2014-08-29 00:00:00,HF000008QY
1.08,2014-09-05 00:00:00,HF000008QY
1.092,2014-09-12 00:00:00,HF000008QY
1.091,2014-09-19 00:00:00,HF000008QY
1.103,2014-09-26 00:00:00,HF000008QY
1.105,2014-10-10 00:00:00,HF000008QY
1.109,2014-10-17 00:00:00,HF000008QY
1.086,2014-10-24 00:00:00,HF000008QY
1.141,2014-10-31 00:00:00,HF000008QY
1.128,2014-11-07 00:00:00,HF000008QY
1.109,2014-11-14 00:00:00,HF000008QY
1.14,2014-11-21 00:00:00,HF000008QY
1.163,2014-11-28 00:00:00,HF000008QY
1.139,2014-12-05 00:00:00,HF000008QY
1.15,2014-12-12 00:00:00,HF000008QY
1.145,2014-12-19 00:00:00,HF000008QY
1.135,2014-12-26 00:00:00,HF000008QY
1.114,2014-12-31 00:00:00,HF000008QY
1.127,2015-01-09 00:00:00,HF000008QY
1.139,2015-01-16 00:00:00,HF000008QY
1.151,2015-01-23 00:00:00,HF000008QY
1.209,2015-01-30 00:00:00,HF000008QY
1.201,2015-02-06 00:00:00,HF000008QY
1.244,2015-02-13 00:00:00,HF000008QY
1.271,2015-02-17 00:00:00,HF000008QY
1.265,2015-02-27 00:00:00,HF000008QY
1.285,2015-03-06 00:00:00,HF000008QY
1.282,2015-03-13 00:00:00,HF000008QY
1.454,2015-03-20 00:00:00,HF000008QY
1.607,2015-03-27 00:00:00,HF000008QY
1.684,2015-04-03 00:00:00,HF000008QY
1.685,2015-04-10 00:00:00,HF000008QY
1.672,2015-04-17 00:00:00,HF000008QY
1.724,2015-04-24 00:00:00,HF000008QY
1.811,2015-04-30 00:00:00,HF000008QY
1.887,2015-05-08 00:00:00,HF000008QY
2.028,2015-05-15 00:00:00,HF000008QY
2.225,2015-05-22 00:00:00,HF000008QY
2.298,2015-05-29 00:00:00,HF000008QY
2.458,2015-06-05 00:00:00,HF000008QY
2.548,2015-06-12 00:00:00,HF000008QY
2.31,2015-06-19 00:00:00,HF000008QY
2.226,2015-06-26 00:00:00,HF000008QY
2.054,2015-07-03 00:00:00,HF000008QY
1.865,2015-07-10 00:00:00,HF000008QY
1.907,2015-07-17 00:00:00,HF000008QY
1.891,2015-07-24 00:00:00,HF000008QY
1.827,2015-07-31 00:00:00,HF000008QY
