value,date,id
1.0,2014-06-25 00:00:00,HF000008WL
1.0004,2014-06-26 00:00:00,HF000008WL
1.0006,2014-06-27 00:00:00,HF000008WL
1.0012,2014-06-30 00:00:00,HF000008WL
1.0013,2014-07-01 00:00:00,HF000008WL
1.0015,2014-07-02 00:00:00,HF000008WL
1.0017,2014-07-03 00:00:00,HF000008WL
1.0019,2014-07-04 00:00:00,HF000008WL
1.0025,2014-07-07 00:00:00,HF000008WL
1.0027,2014-07-08 00:00:00,HF000008WL
1.0029,2014-07-09 00:00:00,HF000008WL
1.0031,2014-07-10 00:00:00,HF000008WL
1.0033,2014-07-11 00:00:00,HF000008WL
1.0038,2014-07-14 00:00:00,HF000008WL
1.004,2014-07-15 00:00:00,HF000008WL
1.0042,2014-07-16 00:00:00,HF000008WL
1.0044,2014-07-17 00:00:00,HF000008WL
1.0052,2014-07-21 00:00:00,HF000008WL
1.0054,2014-07-22 00:00:00,HF000008WL
1.0056,2014-07-23 00:00:00,HF000008WL
1.0058,2014-07-24 00:00:00,HF000008WL
1.0059,2014-07-25 00:00:00,HF000008WL
1.0065,2014-07-28 00:00:00,HF000008WL
1.0067,2014-07-29 00:00:00,HF000008WL
1.0069,2014-07-30 00:00:00,HF000008WL
1.0071,2014-07-31 00:00:00,HF000008WL
1.0073,2014-08-01 00:00:00,HF000008WL
1.0079,2014-08-04 00:00:00,HF000008WL
1.0081,2014-08-05 00:00:00,HF000008WL
1.0082,2014-08-06 00:00:00,HF000008WL
1.0084,2014-08-07 00:00:00,HF000008WL
1.0086,2014-08-08 00:00:00,HF000008WL
1.0092,2014-08-11 00:00:00,HF000008WL
1.0094,2014-08-12 00:00:00,HF000008WL
1.0096,2014-08-13 00:00:00,HF000008WL
1.0098,2014-08-14 00:00:00,HF000008WL
1.01,2014-08-15 00:00:00,HF000008WL
1.0105,2014-08-18 00:00:00,HF000008WL
1.0113,2014-08-22 00:00:00,HF000008WL
1.0119,2014-08-25 00:00:00,HF000008WL
1.0121,2014-08-26 00:00:00,HF000008WL
1.0123,2014-08-27 00:00:00,HF000008WL
1.0,2014-08-28 00:00:00,HF000008WL
1.0,2014-08-29 00:00:00,HF000008WL
1.0,2014-09-01 00:00:00,HF000008WL
1.0,2014-09-02 00:00:00,HF000008WL
1.0,2014-09-03 00:00:00,HF000008WL
1.0,2014-09-04 00:00:00,HF000008WL
1.0,2014-09-05 00:00:00,HF000008WL
1.0,2014-09-09 00:00:00,HF000008WL
1.0,2014-09-10 00:00:00,HF000008WL
1.0,2014-09-11 00:00:00,HF000008WL
1.0,2014-09-12 00:00:00,HF000008WL
1.0,2014-09-15 00:00:00,HF000008WL
1.0,2014-09-16 00:00:00,HF000008WL
1.0,2014-09-17 00:00:00,HF000008WL
1.0,2014-09-18 00:00:00,HF000008WL
1.0,2014-09-19 00:00:00,HF000008WL
1.0,2014-09-22 00:00:00,HF000008WL
1.0,2014-09-23 00:00:00,HF000008WL
1.0,2014-09-24 00:00:00,HF000008WL
1.0,2014-09-25 00:00:00,HF000008WL
1.0,2014-09-26 00:00:00,HF000008WL
1.0,2014-09-29 00:00:00,HF000008WL
1.0,2014-09-30 00:00:00,HF000008WL
1.0,2014-10-08 00:00:00,HF000008WL
1.0,2014-10-09 00:00:00,HF000008WL
1.0,2014-10-13 00:00:00,HF000008WL
1.0,2014-10-14 00:00:00,HF000008WL
1.0,2014-10-15 00:00:00,HF000008WL
1.0,2014-10-16 00:00:00,HF000008WL
1.0,2014-10-17 00:00:00,HF000008WL
1.0,2014-10-20 00:00:00,HF000008WL
1.0,2014-10-21 00:00:00,HF000008WL
1.0,2014-10-22 00:00:00,HF000008WL
1.0,2014-10-23 00:00:00,HF000008WL
1.0,2014-10-24 00:00:00,HF000008WL
1.0,2014-10-27 00:00:00,HF000008WL
1.0,2014-10-28 00:00:00,HF000008WL
1.0,2014-10-29 00:00:00,HF000008WL
1.0,2014-10-30 00:00:00,HF000008WL
1.0,2014-10-31 00:00:00,HF000008WL
1.0,2014-11-03 00:00:00,HF000008WL
1.0,2014-11-04 00:00:00,HF000008WL
1.0,2014-11-05 00:00:00,HF000008WL
1.0,2014-11-06 00:00:00,HF000008WL
1.0,2014-11-07 00:00:00,HF000008WL
1.0,2014-11-10 00:00:00,HF000008WL
1.0,2014-11-11 00:00:00,HF000008WL
1.0,2014-11-12 00:00:00,HF000008WL
1.0,2014-11-13 00:00:00,HF000008WL
1.0,2014-11-14 00:00:00,HF000008WL
1.0,2014-11-17 00:00:00,HF000008WL
1.0002,2014-11-18 00:00:00,HF000008WL
1.0004,2014-11-19 00:00:00,HF000008WL
1.0006,2014-11-20 00:00:00,HF000008WL
1.0015,2014-11-24 00:00:00,HF000008WL
1.0017,2014-11-25 00:00:00,HF000008WL
1.0019,2014-11-26 00:00:00,HF000008WL
1.0021,2014-11-27 00:00:00,HF000008WL
1.0023,2014-11-28 00:00:00,HF000008WL
