value,date,id
1.0,2014-06-27 00:00:00,HF000008WX
1.0019,2014-07-04 00:00:00,HF000008WX
1.0032,2014-07-11 00:00:00,HF000008WX
1.0044,2014-07-18 00:00:00,HF000008WX
1.0056,2014-07-25 00:00:00,HF000008WX
1.0068,2014-08-01 00:00:00,HF000008WX
1.0081,2014-08-08 00:00:00,HF000008WX
1.0093,2014-08-15 00:00:00,HF000008WX
1.0105,2014-08-22 00:00:00,HF000008WX
1.0,2014-12-05 00:00:00,HF000008WX
1.0,2015-02-27 00:00:00,HF000008WX
1.0,2015-03-06 00:00:00,HF000008WX
1.0,2015-03-13 00:00:00,HF000008WX
1.0,2015-03-20 00:00:00,HF000008WX
1.0,2015-03-27 00:00:00,HF000008WX
1.0,2015-04-03 00:00:00,HF000008WX
1.0,2015-04-10 00:00:00,HF000008WX
1.0,2015-04-17 00:00:00,HF000008WX
1.0,2015-04-24 00:00:00,HF000008WX
1.0,2015-04-30 00:00:00,HF000008WX
1.0,2015-05-08 00:00:00,HF000008WX
1.0,2015-05-15 00:00:00,HF000008WX
1.0,2015-05-22 00:00:00,HF000008WX
1.0,2015-05-29 00:00:00,HF000008WX
1.0,2015-06-05 00:00:00,HF000008WX
1.0,2015-06-12 00:00:00,HF000008WX
1.0,2015-06-19 00:00:00,HF000008WX
1.0,2015-06-26 00:00:00,HF000008WX
1.0,2015-07-03 00:00:00,HF000008WX
1.0,2015-07-10 00:00:00,HF000008WX
1.0,2015-07-17 00:00:00,HF000008WX
1.0,2015-07-24 00:00:00,HF000008WX
1.0,2015-07-31 00:00:00,HF000008WX
