value,date,id
1.0,2014-05-17 00:00:00,HF000008YB
0.993,2014-06-06 00:00:00,HF000008YB
0.992,2014-06-13 00:00:00,HF000008YB
0.995,2014-06-20 00:00:00,HF000008YB
0.995,2014-06-27 00:00:00,HF000008YB
0.984,2014-07-04 00:00:00,HF000008YB
0.998,2014-07-11 00:00:00,HF000008YB
0.995,2014-07-18 00:00:00,HF000008YB
0.993,2014-07-25 00:00:00,HF000008YB
0.98,2014-08-01 00:00:00,HF000008YB
0.977,2014-08-08 00:00:00,HF000008YB
0.993,2014-08-15 00:00:00,HF000008YB
0.993,2014-08-22 00:00:00,HF000008YB
0.998,2014-08-29 00:00:00,HF000008YB
1.007,2014-09-05 00:00:00,HF000008YB
1.023,2014-09-12 00:00:00,HF000008YB
1.025,2014-09-19 00:00:00,HF000008YB
1.051,2014-09-26 00:00:00,HF000008YB
1.052,2014-10-10 00:00:00,HF000008YB
1.038,2014-10-17 00:00:00,HF000008YB
1.048,2014-10-24 00:00:00,HF000008YB
1.062,2014-10-31 00:00:00,HF000008YB
1.079,2014-11-07 00:00:00,HF000008YB
1.072,2014-11-14 00:00:00,HF000008YB
1.065,2014-11-21 00:00:00,HF000008YB
1.055,2014-11-28 00:00:00,HF000008YB
1.042,2014-12-05 00:00:00,HF000008YB
1.051,2014-12-12 00:00:00,HF000008YB
1.035,2014-12-19 00:00:00,HF000008YB
1.026,2014-12-26 00:00:00,HF000008YB
1.035,2015-01-09 00:00:00,HF000008YB
1.025,2015-01-16 00:00:00,HF000008YB
1.024,2015-01-23 00:00:00,HF000008YB
1.019,2015-01-30 00:00:00,HF000008YB
0.99,2015-02-06 00:00:00,HF000008YB
0.99,2015-02-13 00:00:00,HF000008YB
1.009,2015-02-27 00:00:00,HF000008YB
1.021,2015-03-06 00:00:00,HF000008YB
1.021,2015-03-13 00:00:00,HF000008YB
1.005,2015-03-20 00:00:00,HF000008YB
1.015,2015-03-27 00:00:00,HF000008YB
1.033,2015-04-03 00:00:00,HF000008YB
1.037,2015-04-10 00:00:00,HF000008YB
1.004,2015-04-16 00:00:00,HF000008YB
