value,date,id
1.0,2014-06-23 00:00:00,HF00000926
1.0019,2014-06-27 00:00:00,HF00000926
1.0012,2014-07-04 00:00:00,HF00000926
1.0036,2014-07-11 00:00:00,HF00000926
1.0008,2014-07-18 00:00:00,HF00000926
1.0009,2014-07-25 00:00:00,HF00000926
1.0064,2014-08-01 00:00:00,HF00000926
1.0116,2014-08-08 00:00:00,HF00000926
1.0195,2014-08-15 00:00:00,HF00000926
1.0237,2014-08-29 00:00:00,HF00000926
1.0332,2014-09-05 00:00:00,HF00000926
1.0323,2014-09-12 00:00:00,HF00000926
1.0367,2014-09-19 00:00:00,HF00000926
1.0367,2014-09-26 00:00:00,HF00000926
1.0447,2014-10-10 00:00:00,HF00000926
1.0504,2014-10-17 00:00:00,HF00000926
1.0579,2014-10-24 00:00:00,HF00000926
1.0685,2014-10-31 00:00:00,HF00000926
1.0794,2014-11-07 00:00:00,HF00000926
1.077,2014-11-14 00:00:00,HF00000926
1.073,2014-11-21 00:00:00,HF00000926
1.0775,2014-11-28 00:00:00,HF00000926
1.0631,2014-12-05 00:00:00,HF00000926
1.0566,2014-12-12 00:00:00,HF00000926
1.0629,2014-12-16 00:00:00,HF00000926
1.0555,2014-12-19 00:00:00,HF00000926
1.0629,2014-12-26 00:00:00,HF00000926
1.065,2014-12-31 00:00:00,HF00000926
1.0671,2015-01-09 00:00:00,HF00000926
1.0726,2015-01-16 00:00:00,HF00000926
1.0783,2015-01-23 00:00:00,HF00000926
1.078,2015-01-30 00:00:00,HF00000926
1.0774,2015-02-06 00:00:00,HF00000926
1.0764,2015-02-13 00:00:00,HF00000926
1.0834,2015-02-27 00:00:00,HF00000926
1.0847,2015-03-06 00:00:00,HF00000926
1.0928,2015-03-13 00:00:00,HF00000926
1.0944,2015-03-20 00:00:00,HF00000926
1.0908,2015-03-27 00:00:00,HF00000926
1.0901,2015-04-03 00:00:00,HF00000926
1.0914,2015-04-10 00:00:00,HF00000926
1.1002,2015-04-17 00:00:00,HF00000926
1.1016,2015-04-24 00:00:00,HF00000926
1.1032,2015-04-30 00:00:00,HF00000926
1.1057,2015-05-08 00:00:00,HF00000926
1.1091,2015-05-15 00:00:00,HF00000926
1.1153,2015-05-22 00:00:00,HF00000926
1.1137,2015-05-29 00:00:00,HF00000926
1.1092,2015-06-05 00:00:00,HF00000926
1.1077,2015-06-12 00:00:00,HF00000926
1.1074,2015-06-19 00:00:00,HF00000926
