value,date,id
1.0,2013-03-19 00:00:00,HF0000096B
1.008652,2013-03-20 00:00:00,HF0000096B
0.998813,2013-03-21 00:00:00,HF0000096B
1.007888,2013-03-22 00:00:00,HF0000096B
1.010395,2013-03-25 00:00:00,HF0000096B
1.035472,2013-03-26 00:00:00,HF0000096B
1.024699,2013-03-27 00:00:00,HF0000096B
1.098118,2013-03-28 00:00:00,HF0000096B
1.170459,2013-03-29 00:00:00,HF0000096B
1.032445,2013-04-01 00:00:00,HF0000096B
1.008942,2013-04-02 00:00:00,HF0000096B
1.031556,2013-04-03 00:00:00,HF0000096B
1.18117,2013-04-08 00:00:00,HF0000096B
1.229984,2013-04-09 00:00:00,HF0000096B
1.209696,2013-04-10 00:00:00,HF0000096B
1.28745,2013-04-11 00:00:00,HF0000096B
1.179363,2013-04-12 00:00:00,HF0000096B
1.236132,2013-04-15 00:00:00,HF0000096B
1.203236,2013-04-16 00:00:00,HF0000096B
1.284856,2013-04-17 00:00:00,HF0000096B
1.262584,2013-04-18 00:00:00,HF0000096B
1.139878,2013-04-19 00:00:00,HF0000096B
1.364515,2013-04-22 00:00:00,HF0000096B
1.434501,2013-04-23 00:00:00,HF0000096B
1.482386,2013-04-24 00:00:00,HF0000096B
1.378551,2013-04-25 00:00:00,HF0000096B
0.84965,2013-04-26 00:00:00,HF0000096B
0.84965,2013-04-27 00:00:00,HF0000096B
1.057829,2013-05-02 00:00:00,HF0000096B
1.011343,2013-05-03 00:00:00,HF0000096B
0.891019,2013-05-06 00:00:00,HF0000096B
0.779174,2013-05-07 00:00:00,HF0000096B
0.690007,2013-05-08 00:00:00,HF0000096B
0.715343,2013-05-09 00:00:00,HF0000096B
0.691,2013-05-10 00:00:00,HF0000096B
0.589919,2013-05-13 00:00:00,HF0000096B
0.641467,2013-05-14 00:00:00,HF0000096B
0.718208,2013-05-15 00:00:00,HF0000096B
0.781316,2013-05-16 00:00:00,HF0000096B
0.711505,2013-05-17 00:00:00,HF0000096B
0.641571,2013-05-20 00:00:00,HF0000096B
0.655211,2013-05-21 00:00:00,HF0000096B
0.667924,2013-05-22 00:00:00,HF0000096B
0.836529,2013-05-23 00:00:00,HF0000096B
0.884429,2013-05-24 00:00:00,HF0000096B
0.943834,2013-05-27 00:00:00,HF0000096B
0.965892,2013-05-28 00:00:00,HF0000096B
0.87226,2013-05-29 00:00:00,HF0000096B
0.963139,2013-05-30 00:00:00,HF0000096B
0.871957,2013-05-31 00:00:00,HF0000096B
0.810691,2013-06-03 00:00:00,HF0000096B
0.913778,2013-06-04 00:00:00,HF0000096B
0.94272,2013-06-05 00:00:00,HF0000096B
0.940131,2013-06-06 00:00:00,HF0000096B
0.870275,2013-06-07 00:00:00,HF0000096B
0.889674,2013-06-13 00:00:00,HF0000096B
0.966101,2013-06-14 00:00:00,HF0000096B
0.828985,2013-06-17 00:00:00,HF0000096B
0.685852,2013-06-18 00:00:00,HF0000096B
0.735231,2013-06-19 00:00:00,HF0000096B
0.673853,2013-06-20 00:00:00,HF0000096B
0.858436,2013-06-21 00:00:00,HF0000096B
1.068156,2013-06-24 00:00:00,HF0000096B
1.100697,2013-06-25 00:00:00,HF0000096B
1.16108,2013-06-26 00:00:00,HF0000096B
1.242539,2013-06-27 00:00:00,HF0000096B
1.217555,2013-06-28 00:00:00,HF0000096B
1.212107,2013-07-01 00:00:00,HF0000096B
1.264238,2013-07-02 00:00:00,HF0000096B
1.328383,2013-07-03 00:00:00,HF0000096B
