value,date,id
1.0,2014-07-23 00:00:00,HF0000096U
1.0003,2014-07-24 00:00:00,HF0000096U
1.0003,2014-07-25 00:00:00,HF0000096U
1.0002,2014-07-28 00:00:00,HF0000096U
1.0013,2014-07-29 00:00:00,HF0000096U
1.0015,2014-07-30 00:00:00,HF0000096U
1.0017,2014-07-31 00:00:00,HF0000096U
1.0019,2014-08-01 00:00:00,HF0000096U
1.0025,2014-08-04 00:00:00,HF0000096U
1.0027,2014-08-05 00:00:00,HF0000096U
1.0029,2014-08-06 00:00:00,HF0000096U
1.0031,2014-08-07 00:00:00,HF0000096U
1.0035,2014-08-08 00:00:00,HF0000096U
1.0041,2014-08-11 00:00:00,HF0000096U
1.0043,2014-08-12 00:00:00,HF0000096U
1.0045,2014-08-13 00:00:00,HF0000096U
1.0047,2014-08-14 00:00:00,HF0000096U
1.0049,2014-08-15 00:00:00,HF0000096U
1.0056,2014-08-18 00:00:00,HF0000096U
1.0058,2014-08-19 00:00:00,HF0000096U
1.006,2014-08-20 00:00:00,HF0000096U
1.0062,2014-08-21 00:00:00,HF0000096U
1.0064,2014-08-22 00:00:00,HF0000096U
1.007,2014-08-25 00:00:00,HF0000096U
1.0073,2014-08-26 00:00:00,HF0000096U
1.0075,2014-08-27 00:00:00,HF0000096U
1.0077,2014-08-28 00:00:00,HF0000096U
1.0079,2014-08-29 00:00:00,HF0000096U
1.0085,2014-09-01 00:00:00,HF0000096U
1.0087,2014-09-02 00:00:00,HF0000096U
1.0089,2014-09-03 00:00:00,HF0000096U
1.0092,2014-09-04 00:00:00,HF0000096U
1.0094,2014-09-05 00:00:00,HF0000096U
1.0102,2014-09-09 00:00:00,HF0000096U
1.0104,2014-09-10 00:00:00,HF0000096U
1.0106,2014-09-11 00:00:00,HF0000096U
1.0108,2014-09-12 00:00:00,HF0000096U
1.0115,2014-09-15 00:00:00,HF0000096U
1.0117,2014-09-16 00:00:00,HF0000096U
1.0119,2014-09-17 00:00:00,HF0000096U
1.0121,2014-09-18 00:00:00,HF0000096U
1.0123,2014-09-19 00:00:00,HF0000096U
1.013,2014-09-22 00:00:00,HF0000096U
1.0132,2014-09-23 00:00:00,HF0000096U
1.0134,2014-09-24 00:00:00,HF0000096U
1.0136,2014-09-25 00:00:00,HF0000096U
1.0138,2014-09-26 00:00:00,HF0000096U
1.0147,2014-09-30 00:00:00,HF0000096U
1.0163,2014-10-08 00:00:00,HF0000096U
1.0166,2014-10-09 00:00:00,HF0000096U
1.0174,2014-10-13 00:00:00,HF0000096U
1.0176,2014-10-14 00:00:00,HF0000096U
1.0178,2014-10-15 00:00:00,HF0000096U
1.018,2014-10-16 00:00:00,HF0000096U
1.0182,2014-10-17 00:00:00,HF0000096U
1.0189,2014-10-20 00:00:00,HF0000096U
1.0191,2014-10-21 00:00:00,HF0000096U
1.0193,2014-10-22 00:00:00,HF0000096U
1.0195,2014-10-23 00:00:00,HF0000096U
1.0197,2014-10-24 00:00:00,HF0000096U
1.0203,2014-10-27 00:00:00,HF0000096U
1.0206,2014-10-28 00:00:00,HF0000096U
1.0208,2014-10-29 00:00:00,HF0000096U
1.021,2014-10-30 00:00:00,HF0000096U
1.0212,2014-10-31 00:00:00,HF0000096U
1.0218,2014-11-03 00:00:00,HF0000096U
1.022,2014-11-04 00:00:00,HF0000096U
1.0222,2014-11-05 00:00:00,HF0000096U
1.0225,2014-11-06 00:00:00,HF0000096U
1.0227,2014-11-07 00:00:00,HF0000096U
1.0233,2014-11-10 00:00:00,HF0000096U
1.0235,2014-11-11 00:00:00,HF0000096U
1.0237,2014-11-12 00:00:00,HF0000096U
1.0239,2014-11-13 00:00:00,HF0000096U
1.0241,2014-11-14 00:00:00,HF0000096U
1.0248,2014-11-17 00:00:00,HF0000096U
1.025,2014-11-18 00:00:00,HF0000096U
1.0252,2014-11-19 00:00:00,HF0000096U
1.0254,2014-11-20 00:00:00,HF0000096U
1.0256,2014-11-21 00:00:00,HF0000096U
1.0263,2014-11-24 00:00:00,HF0000096U
1.0265,2014-11-25 00:00:00,HF0000096U
1.0267,2014-11-26 00:00:00,HF0000096U
1.0269,2014-11-27 00:00:00,HF0000096U
1.0271,2014-11-28 00:00:00,HF0000096U
1.0277,2014-12-01 00:00:00,HF0000096U
1.0279,2014-12-02 00:00:00,HF0000096U
1.0282,2014-12-03 00:00:00,HF0000096U
1.0284,2014-12-04 00:00:00,HF0000096U
1.0286,2014-12-05 00:00:00,HF0000096U
1.0292,2014-12-08 00:00:00,HF0000096U
1.0294,2014-12-09 00:00:00,HF0000096U
1.0301,2014-12-12 00:00:00,HF0000096U
1.0315,2014-12-19 00:00:00,HF0000096U
1.033,2014-12-26 00:00:00,HF0000096U
1.0351,2015-01-05 00:00:00,HF0000096U
1.036,2015-01-09 00:00:00,HF0000096U
1.0374,2015-01-16 00:00:00,HF0000096U
1.0389,2015-01-23 00:00:00,HF0000096U
1.0404,2015-01-30 00:00:00,HF0000096U
1.0419,2015-02-06 00:00:00,HF0000096U
1.0433,2015-02-13 00:00:00,HF0000096U
1.0459,2015-02-25 00:00:00,HF0000096U
1.0463,2015-02-27 00:00:00,HF0000096U
1.0478,2015-03-06 00:00:00,HF0000096U
1.0492,2015-03-13 00:00:00,HF0000096U
1.0507,2015-03-20 00:00:00,HF0000096U
1.0522,2015-03-27 00:00:00,HF0000096U
1.0537,2015-04-03 00:00:00,HF0000096U
1.0552,2015-04-10 00:00:00,HF0000096U
1.0566,2015-04-17 00:00:00,HF0000096U
1.0581,2015-04-24 00:00:00,HF0000096U
1.0594,2015-04-30 00:00:00,HF0000096U
1.0602,2015-05-04 00:00:00,HF0000096U
1.0611,2015-05-08 00:00:00,HF0000096U
1.0625,2015-05-15 00:00:00,HF0000096U
1.064,2015-05-22 00:00:00,HF0000096U
1.0655,2015-05-29 00:00:00,HF0000096U
1.067,2015-06-05 00:00:00,HF0000096U
1.0684,2015-06-12 00:00:00,HF0000096U
1.0699,2015-06-19 00:00:00,HF0000096U
1.0708,2015-06-23 00:00:00,HF0000096U
1.071,2015-06-24 00:00:00,HF0000096U
