value,date,id
1.0,2014-01-13 00:00:00,HF0000099H
1.002,2014-01-29 00:00:00,HF0000099H
1.003,2014-02-07 00:00:00,HF0000099H
1.009,2014-02-14 00:00:00,HF0000099H
1.007,2014-02-21 00:00:00,HF0000099H
1.009,2014-02-28 00:00:00,HF0000099H
1.02,2014-03-07 00:00:00,HF0000099H
1.019,2014-03-14 00:00:00,HF0000099H
1.026,2014-03-21 00:00:00,HF0000099H
1.03,2014-03-28 00:00:00,HF0000099H
1.033,2014-04-04 00:00:00,HF0000099H
1.035,2014-04-11 00:00:00,HF0000099H
1.033,2014-04-18 00:00:00,HF0000099H
1.029,2014-04-25 00:00:00,HF0000099H
1.039,2014-05-09 00:00:00,HF0000099H
1.046,2014-05-16 00:00:00,HF0000099H
1.057,2014-05-23 00:00:00,HF0000099H
1.059,2014-05-30 00:00:00,HF0000099H
1.056,2014-06-06 00:00:00,HF0000099H
1.059,2014-06-13 00:00:00,HF0000099H
1.05,2014-06-20 00:00:00,HF0000099H
1.062,2014-06-27 00:00:00,HF0000099H
1.067,2014-07-04 00:00:00,HF0000099H
1.068,2014-07-11 00:00:00,HF0000099H
1.093,2014-07-18 00:00:00,HF0000099H
1.102,2014-07-25 00:00:00,HF0000099H
1.1149,2014-08-01 00:00:00,HF0000099H
1.1439,2014-08-08 00:00:00,HF0000099H
1.0948,2014-08-15 00:00:00,HF0000099H
1.102,2014-08-22 00:00:00,HF0000099H
1.0887,2014-08-29 00:00:00,HF0000099H
1.1032,2014-09-05 00:00:00,HF0000099H
1.1001,2014-09-12 00:00:00,HF0000099H
1.0837,2014-09-19 00:00:00,HF0000099H
1.0607,2014-09-26 00:00:00,HF0000099H
1.067,2014-10-10 00:00:00,HF0000099H
1.0684,2014-10-15 00:00:00,HF0000099H
1.047,2014-10-24 00:00:00,HF0000099H
1.0734,2014-10-31 00:00:00,HF0000099H
