value,date,id
1.0,2014-04-10 00:00:00,HF000009BQ
1.0,2014-04-30 00:00:00,HF000009BQ
0.995,2014-05-09 00:00:00,HF000009BQ
0.986,2014-05-16 00:00:00,HF000009BQ
0.986,2014-05-23 00:00:00,HF000009BQ
0.988,2014-05-30 00:00:00,HF000009BQ
0.987,2014-06-06 00:00:00,HF000009BQ
0.987,2014-06-13 00:00:00,HF000009BQ
0.979,2014-06-20 00:00:00,HF000009BQ
0.981,2014-06-27 00:00:00,HF000009BQ
0.984,2014-07-04 00:00:00,HF000009BQ
0.978,2014-07-11 00:00:00,HF000009BQ
0.979,2014-07-18 00:00:00,HF000009BQ
0.99,2014-07-25 00:00:00,HF000009BQ
0.996,2014-08-01 00:00:00,HF000009BQ
1.005,2014-08-08 00:00:00,HF000009BQ
1.014,2014-08-15 00:00:00,HF000009BQ
1.021,2014-08-22 00:00:00,HF000009BQ
1.021,2014-08-29 00:00:00,HF000009BQ
1.034,2014-09-05 00:00:00,HF000009BQ
1.04,2014-09-12 00:00:00,HF000009BQ
1.052,2014-09-19 00:00:00,HF000009BQ
1.06,2014-09-26 00:00:00,HF000009BQ
1.077,2014-10-10 00:00:00,HF000009BQ
1.073,2014-10-17 00:00:00,HF000009BQ
1.07,2014-10-24 00:00:00,HF000009BQ
1.081,2014-10-31 00:00:00,HF000009BQ
1.078,2014-11-07 00:00:00,HF000009BQ
1.08,2014-11-14 00:00:00,HF000009BQ
1.078,2014-11-21 00:00:00,HF000009BQ
1.073,2014-11-28 00:00:00,HF000009BQ
1.079,2014-12-05 00:00:00,HF000009BQ
1.094,2014-12-12 00:00:00,HF000009BQ
1.096,2014-12-19 00:00:00,HF000009BQ
1.086,2014-12-26 00:00:00,HF000009BQ
1.082,2014-12-31 00:00:00,HF000009BQ
1.079,2015-01-09 00:00:00,HF000009BQ
1.079,2015-01-16 00:00:00,HF000009BQ
1.086,2015-01-23 00:00:00,HF000009BQ
1.083,2015-01-30 00:00:00,HF000009BQ
1.076,2015-02-06 00:00:00,HF000009BQ
1.077,2015-02-13 00:00:00,HF000009BQ
1.088,2015-02-27 00:00:00,HF000009BQ
1.088,2015-03-13 00:00:00,HF000009BQ
1.102,2015-03-20 00:00:00,HF000009BQ
1.111,2015-03-27 00:00:00,HF000009BQ
