value,date,id
1.0,2012-04-19 00:00:00,HF000009EG
0.982959,2012-04-20 00:00:00,HF000009EG
0.992197,2012-04-23 00:00:00,HF000009EG
1.012784,2012-04-24 00:00:00,HF000009EG
1.019594,2012-04-25 00:00:00,HF000009EG
1.019386,2012-04-26 00:00:00,HF000009EG
1.015883,2012-04-27 00:00:00,HF000009EG
1.005448,2012-05-02 00:00:00,HF000009EG
1.024454,2012-05-03 00:00:00,HF000009EG
1.018543,2012-05-04 00:00:00,HF000009EG
1.01384,2012-05-07 00:00:00,HF000009EG
1.023499,2012-05-08 00:00:00,HF000009EG
1.052683,2012-05-09 00:00:00,HF000009EG
1.040814,2012-05-10 00:00:00,HF000009EG
1.089113,2012-05-11 00:00:00,HF000009EG
1.142948,2012-05-14 00:00:00,HF000009EG
1.233641,2012-05-15 00:00:00,HF000009EG
1.25719,2012-05-16 00:00:00,HF000009EG
1.220222,2012-05-17 00:00:00,HF000009EG
1.199344,2012-05-18 00:00:00,HF000009EG
1.150032,2012-05-21 00:00:00,HF000009EG
1.13993,2012-05-22 00:00:00,HF000009EG
1.252507,2012-05-23 00:00:00,HF000009EG
1.251981,2012-05-24 00:00:00,HF000009EG
1.219767,2012-05-25 00:00:00,HF000009EG
1.229461,2012-05-28 00:00:00,HF000009EG
1.193126,2012-05-29 00:00:00,HF000009EG
1.175562,2012-05-30 00:00:00,HF000009EG
1.200514,2012-05-31 00:00:00,HF000009EG
1.215927,2012-06-01 00:00:00,HF000009EG
1.341526,2012-06-04 00:00:00,HF000009EG
1.301217,2012-06-05 00:00:00,HF000009EG
1.303995,2012-06-06 00:00:00,HF000009EG
1.301141,2012-06-07 00:00:00,HF000009EG
1.39147,2012-06-08 00:00:00,HF000009EG
1.320416,2012-06-11 00:00:00,HF000009EG
1.334795,2012-06-12 00:00:00,HF000009EG
1.344245,2012-06-13 00:00:00,HF000009EG
1.335128,2012-06-14 00:00:00,HF000009EG
1.362099,2012-06-15 00:00:00,HF000009EG
1.409522,2012-06-18 00:00:00,HF000009EG
1.437257,2012-06-19 00:00:00,HF000009EG
1.452315,2012-06-20 00:00:00,HF000009EG
1.4006,2012-06-21 00:00:00,HF000009EG
1.420063,2012-06-25 00:00:00,HF000009EG
1.39668,2012-06-26 00:00:00,HF000009EG
1.395809,2012-06-27 00:00:00,HF000009EG
1.34886,2012-06-28 00:00:00,HF000009EG
